"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:08:57 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","2","all","0","5.095746","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.316772","-","-","1"
"FAPP-time-stat","0","1","all","0","5.066953","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.313156","-","-","1"
"FAPP-time-stat","0","3","all","0","5.044248","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316381","-","-","1"
"FAPP-time-stat","0","0","all","0","5.024719","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312596","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80c0","0x80c1","0x0017","0x0018","0x0325","0x0326","0x0121","0x8000"
"FAPP-cpupa","Process","0","2","-","all","0","12","2387255648","42203963483","4765833644","1808814756","36854516","4557641","8592724","1118767","14610793148","4597744559"
"FAPP-cpupa","Thread","0","2","0","all","0","1","509578528","4798501186","397203884","261591496","4075671","1723907","783587","127688","7226273924","385168092"
"FAPP-cpupa","Thread","0","2","1","all","0","1","175810304","3506460130","397148160","140656660","2978640","272645","694593","103838","671325632","382961497"
"FAPP-cpupa","Thread","0","2","2","all","0","1","175417792","3471270830","397148160","140656660","2978069","232145","689953","107864","671360344","382961497"
"FAPP-cpupa","Thread","0","2","3","all","0","1","175441280","3508722360","397148160","140656660","2978670","251215","715296","83318","671320862","382961497"
"FAPP-cpupa","Thread","0","2","4","all","0","1","181272512","3624241613","397148160","140656660","2985605","238263","715918","89933","671332843","382961497"
"FAPP-cpupa","Thread","0","2","5","all","0","1","165638624","3281312937","397148160","140656660","2977891","274084","696250","101812","671309526","382961497"
"FAPP-cpupa","Thread","0","2","6","all","0","1","165643712","3292304023","397148160","140656660","2981026","261755","715862","85394","671309204","382961497"
"FAPP-cpupa","Thread","0","2","7","all","0","1","165634208","3286669463","397148160","140656660","2984736","242298","715740","89268","671308070","382961497"
"FAPP-cpupa","Thread","0","2","8","all","0","1","165902912","3313820134","397148160","140656660","2975973","269961","712037","84106","671309961","382961497"
"FAPP-cpupa","Thread","0","2","9","all","0","1","175639040","3512750419","397148160","140656660","2979431","241700","717827","81741","671315164","382961497"
"FAPP-cpupa","Thread","0","2","10","all","0","1","165643360","3310475637","397148160","140656660","2975762","250398","714084","85421","671310045","382961497"
"FAPP-cpupa","Thread","0","2","11","all","0","1","165633376","3297434751","397148160","140656660","2983042","299270","721577","78384","671317573","382961497"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","380182304","7602954509","4718592000","1671168000","35381831","3078140","8407661","1074597","7973644658","4550037000"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","31684256","633601568","393216000","139264000","2936328","296755","676397","95469","664499104","379169750"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","31679680","633546856","393216000","139264000","2948369","267706","687710","102646","664468815","379169750"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","31679488","633544227","393216000","139264000","2947551","227602","683078","106646","664467844","379169750"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","31683328","633606112","393216000","139264000","2948372","246595","708191","82248","664467805","379169750"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","31678976","633533124","393216000","139264000","2955153","233424","708736","88861","664467293","379169750"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","31683552","633605686","393216000","139264000","2947595","269010","689262","100617","664468613","379169750"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","31683264","633605736","393216000","139264000","2950834","257005","708727","84350","664467794","379169750"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","31683456","633605560","393216000","139264000","2954438","237711","708612","88141","664467219","379169750"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","31683104","633605570","393216000","139264000","2945699","265221","704931","83038","664467349","379169750"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","31683232","633605909","393216000","139264000","2949108","237008","710658","80765","664468404","379169750"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","31683232","633606319","393216000","139264000","2945539","245804","706952","84369","664468124","379169750"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","31676736","633487842","393216000","139264000","2952845","294299","714407","77447","664466294","379169750"
"FAPP-cpupa","Process","0","1","-","all","0","12","2324808064","41604482839","4765833644","1808814756","39145625","4562268","8976139","1502061","17392043415","4597742498"
"FAPP-cpupa","Thread","0","1","0","all","0","1","506699200","5445124949","397203884","261591496","4290789","1697673","819974","171615","10007597039","385166031"
"FAPP-cpupa","Thread","0","1","1","all","0","1","169123072","3360595108","397148160","140656660","3182510","279738","740346","123786","671316992","382961497"
"FAPP-cpupa","Thread","0","1","2","all","0","1","178721472","3574269509","397148160","140656660","3180961","258698","735754","127747","671358103","382961497"
"FAPP-cpupa","Thread","0","1","3","all","0","1","169573536","3376170239","397148160","140656660","3161532","244182","740411","121005","671319006","382961497"
"FAPP-cpupa","Thread","0","1","4","all","0","1","160338016","3180637624","397148160","140656660","3180725","266484","736792","125298","671301871","382961497"
"FAPP-cpupa","Thread","0","1","5","all","0","1","160580576","3211520138","397148160","140656660","3181191","210202","741235","121483","671303711","382961497"
"FAPP-cpupa","Thread","0","1","6","all","0","1","160336832","3182054352","397148160","140656660","3160553","274650","741392","120938","671308636","382961497"
"FAPP-cpupa","Thread","0","1","7","all","0","1","169166112","3353261853","397148160","140656660","3160806","279391","743632","119068","671313153","382961497"
"FAPP-cpupa","Thread","0","1","8","all","0","1","160337696","3186071433","397148160","140656660","3156587","348120","739906","120793","671303812","382961497"
"FAPP-cpupa","Thread","0","1","9","all","0","1","169261600","3368864201","397148160","140656660","3161122","257256","746547","113781","671314443","382961497"
"FAPP-cpupa","Thread","0","1","10","all","0","1","160338400","3187591484","397148160","140656660","3158960","234608","741623","121631","671303307","382961497"
"FAPP-cpupa","Thread","0","1","11","all","0","1","160331552","3178321949","397148160","140656660","3169889","211266","748527","114916","671303342","382961497"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","375788704","7515124756","4718592000","1671168000","37626916","3078188","8787052","1444739","7973645127","4550037000"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","31321792","626369509","393216000","139264000","3124672","265266","711976","129217","664499150","379169750"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","31318272","626320049","393216000","139264000","3150345","274509","732988","122386","664468607","379169750"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","31321664","626373296","393216000","139264000","3148458","254053","728396","126372","664467944","379169750"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","31317984","626314589","393216000","139264000","3129544","239746","733100","119599","664468012","379169750"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","31321600","626371264","393216000","139264000","3148523","261810","729473","123873","664466751","379169750"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","31317632","626308791","393216000","139264000","3149137","205902","733847","120173","664468662","379169750"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","31317856","626312616","393216000","139264000","3128566","269880","734044","119581","664467499","379169750"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","31319104","626331941","393216000","139264000","3128930","274376","736239","117737","664468196","379169750"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","31321760","626372731","393216000","139264000","3124694","342747","732571","119366","664467251","379169750"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","31321760","626372100","393216000","139264000","3129181","252752","739136","112505","664468069","379169750"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","31321792","626372881","393216000","139264000","3126883","230033","734187","120275","664468076","379169750"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","31267488","625304989","393216000","139264000","3137983","207114","741095","113655","664466910","379169750"
"FAPP-cpupa","Process","0","3","-","all","0","12","2344074368","42669366908","4765833644","1808814756","36887031","4577110","8603957","1105990","19539750678","4597742568"
"FAPP-cpupa","Thread","0","3","0","all","0","1","504428576","6119978422","397203884","261591496","4108657","1737553","771589","140977","12155282869","385166101"
"FAPP-cpupa","Thread","0","3","1","all","0","1","173268032","3465262636","397148160","140656660","2978354","257755","690474","107781","671315153","382961497"
"FAPP-cpupa","Thread","0","3","2","all","0","1","173268384","3432596005","397148160","140656660","2980057","307196","717035","83474","671321086","382961497"
"FAPP-cpupa","Thread","0","3","3","all","0","1","162232032","3224227783","397148160","140656660","2985340","234500","715027","89585","671347227","382961497"
"FAPP-cpupa","Thread","0","3","4","all","0","1","162459808","3249104423","397148160","140656660","2979143","244295","697403","101423","671303658","382961497"
"FAPP-cpupa","Thread","0","3","5","all","0","1","173104128","3434816854","397148160","140656660","2980867","263879","716234","84428","671317389","382961497"
"FAPP-cpupa","Thread","0","3","6","all","0","1","162231328","3207980429","397148160","140656660","2983119","244397","713935","89186","671302615","382961497"
"FAPP-cpupa","Thread","0","3","7","all","0","1","173036096","3426886653","397148160","140656660","2979026","308870","714231","84560","671312269","382961497"
"FAPP-cpupa","Thread","0","3","8","all","0","1","162186336","3227406157","397148160","140656660","2978232","242900","717140","81496","671311490","382961497"
"FAPP-cpupa","Thread","0","3","9","all","0","1","173402688","3442292553","397148160","140656660","2979152","253913","713823","85121","671318647","382961497"
"FAPP-cpupa","Thread","0","3","10","all","0","1","162225312","3222580381","397148160","140656660","2972950","244652","719861","76928","671313704","382961497"
"FAPP-cpupa","Thread","0","3","11","all","0","1","162231648","3216234612","397148160","140656660","2982134","237200","717205","81031","671304571","382961497"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","379715424","7593594198","4718592000","1671168000","35377922","3077925","8418367","1059169","7973644912","4550037000"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","31644512","632819896","393216000","139264000","2933721","290966","664172","105881","664499098","379169750"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","31640800","632771198","393216000","139264000","2947970","252845","683565","106583","664468376","379169750"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","31640384","632762462","393216000","139264000","2949766","302130","709891","82458","664468211","379169750"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","31644224","632823380","393216000","139264000","2954204","229226","707823","88478","664467818","379169750"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","31640352","632761848","393216000","139264000","2948804","239668","690466","100268","664467729","379169750"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","31644512","632822452","393216000","139264000","2950576","259216","709099","83399","664468060","379169750"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","31644352","632823008","393216000","139264000","2952878","239811","706824","88129","664467966","379169750"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","31644608","632823193","393216000","139264000","2948793","303700","707073","83569","664466255","379169750"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","31644512","632823006","393216000","139264000","2947751","238145","709995","80426","664468100","379169750"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","31644416","632823677","393216000","139264000","2948744","249507","706685","83998","664468429","379169750"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","31638144","632716571","393216000","139264000","2942825","239893","712685","76014","664467660","379169750"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","31644608","632823507","393216000","139264000","2951890","232818","710089","79966","664467210","379169750"
"FAPP-cpupa","Process","0","0","-","all","0","12","2329615680","42353487390","4765833644","1808814757","39153909","4573980","8982192","1501083","18830014087","4597743781"
"FAPP-cpupa","Thread","0","0","0","all","0","1","502475904","5908268827","397203884","261591497","4297238","1771929","821940","169938","11445558160","385167314"
"FAPP-cpupa","Thread","0","0","1","all","0","1","162165696","3243225402","397148160","140656660","3184255","268219","740821","124342","671308971","382961497"
"FAPP-cpupa","Thread","0","0","2","all","0","1","162166464","3240957253","397148160","140656660","3182602","239559","735722","128114","671305962","382961497"
"FAPP-cpupa","Thread","0","0","3","all","0","1","162160320","3226604981","397148160","140656660","3162253","252698","742094","121384","671305440","382961497"
"FAPP-cpupa","Thread","0","0","4","all","0","1","162429632","3247460163","397148160","140656660","3180435","256457","737822","124796","671305621","382961497"
"FAPP-cpupa","Thread","0","0","5","all","0","1","162165280","3228204329","397148160","140656660","3181741","214022","741808","121217","671307443","382961497"
"FAPP-cpupa","Thread","0","0","6","all","0","1","162161024","3239007738","397148160","140656660","3161509","277214","741853","120934","671307588","382961497"
"FAPP-cpupa","Thread","0","0","7","all","0","1","173093920","3452221407","397148160","140656660","3159305","266605","744107","119037","671318277","382961497"
"FAPP-cpupa","Thread","0","0","8","all","0","1","162160704","3221109868","397148160","140656660","3157175","279189","738623","121993","671306541","382961497"
"FAPP-cpupa","Thread","0","0","9","all","0","1","162115904","3242100162","397148160","140656660","3160989","281793","747220","113486","671346715","382961497"
"FAPP-cpupa","Thread","0","0","10","all","0","1","183080640","3661580086","397148160","140656660","3160645","220766","741540","121135","671322766","382961497"
"FAPP-cpupa","Thread","0","0","11","all","0","1","173440192","3442747174","397148160","140656660","3165762","245529","748642","114707","671320603","382961497"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","375176288","7502828625","4718592000","1671168000","37627199","3078124","8791687","1445399","7973644221","4550037000"
