"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:02 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.963417","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316409","-","-","1"
"FAPP-time-stat","0","2","all","0","4.945802","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.316679","-","-","1"
"FAPP-time-stat","0","0","all","0","4.916677","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312613","-","-","1"
"FAPP-time-stat","0","1","all","0","4.896988","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.316826","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8091","0x8092","0x80bc","0x80af","0x809f","0x009f","0x8043","0x0012"
"FAPP-cpupa","Process","0","3","-","all","0","12","2335665824","40747474162","12420199","11041","0","0","16","1608383","1601387","740926650"
"FAPP-cpupa","Thread","0","3","0","all","0","1","496345312","4201783285","1042481","2153","0","0","16","1608119","1601277","725926374"
"FAPP-cpupa","Thread","0","3","1","all","0","1","164396768","3252626683","1034338","808","0","0","0","24","10","1363071"
"FAPP-cpupa","Thread","0","3","2","all","0","1","164147040","3266504502","1034338","808","0","0","0","24","10","1363304"
"FAPP-cpupa","Thread","0","3","3","all","0","1","172337472","3424860992","1034338","808","0","0","0","24","10","1364909"
"FAPP-cpupa","Thread","0","3","4","all","0","1","164147520","3255603888","1034338","808","0","0","0","24","10","1362647"
"FAPP-cpupa","Thread","0","3","5","all","0","1","164147712","3250058171","1034338","808","0","0","0","24","10","1363257"
"FAPP-cpupa","Thread","0","3","6","all","0","1","181439104","3608622789","1034338","808","0","0","0","24","10","1367370"
"FAPP-cpupa","Thread","0","3","7","all","0","1","164146112","3282828048","1034338","808","0","0","0","24","10","1362556"
"FAPP-cpupa","Thread","0","3","8","all","0","1","164146560","3253126777","1034338","808","0","0","0","24","10","1363175"
"FAPP-cpupa","Thread","0","3","9","all","0","1","164097280","3256343190","1034338","808","0","0","0","24","10","1362671"
"FAPP-cpupa","Thread","0","3","10","all","0","1","164147840","3251803484","1034338","808","0","0","0","24","10","1363441"
"FAPP-cpupa","Thread","0","3","11","all","0","1","172167104","3443312353","1034338","808","0","0","0","24","10","1363875"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","379742880","7594178205","12288588","9600","0","0","0","96","0","15700712"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","31647360","632877746","1024049","800","0","0","0","8","0","1311733"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","31643648","632827709","1024049","800","0","0","0","8","0","1308198"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","31643200","632816934","1024049","800","0","0","0","8","0","1308048"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","31647328","632880064","1024049","800","0","0","0","8","0","1308067"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","31647328","632881688","1024049","800","0","0","0","8","0","1308190"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","31641152","632778177","1024049","800","0","0","0","8","0","1308006"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","31646976","632880650","1024049","800","0","0","0","8","0","1308253"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","31643488","632822056","1024049","800","0","0","0","8","0","1307833"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","31647136","632880500","1024049","800","0","0","0","8","0","1308269"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","31647232","632879996","1024049","800","0","0","0","8","0","1308128"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","31640896","632772076","1024049","800","0","0","0","8","0","1308016"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","31647136","632880609","1024049","800","0","0","0","8","0","1307971"
"FAPP-cpupa","Process","0","2","-","all","0","12","2313647520","41860230197","12420199","11041","0","0","16","1608360","1601391","2336488290"
"FAPP-cpupa","Thread","0","2","0","all","0","1","494583936","5734498942","1042481","2153","0","0","16","1608096","1601281","2321495870"
"FAPP-cpupa","Thread","0","2","1","all","0","1","161788352","3203479093","1034338","808","0","0","0","24","10","1361705"
"FAPP-cpupa","Thread","0","2","2","all","0","1","169780640","3395581940","1034338","808","0","0","0","24","10","1363365"
"FAPP-cpupa","Thread","0","2","3","all","0","1","176621536","3499713811","1034338","808","0","0","0","24","10","1365512"
"FAPP-cpupa","Thread","0","2","4","all","0","1","162060640","3241181735","1034338","808","0","0","0","24","10","1361026"
