"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:09 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.934002","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312550","-","-","1"
"FAPP-time-stat","0","2","all","0","4.902667","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312454","-","-","1"
"FAPP-time-stat","0","3","all","0","4.879063","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316478","-","-","1"
"FAPP-time-stat","0","1","all","0","4.859303","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312628","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80a5","0x80a6","0x8038","0x0105","0x0113","0x0108","0x0112","0x011a"
"FAPP-cpupa","Process","0","0","-","all","0","12","2371625024","42459748519","0","0","1283","1820270533","481931925","35076","771356707","3939"
"FAPP-cpupa","Thread","0","0","0","all","0","1","493404064","5041369868","0","0","1085","171724007","60990602","33943","168389386","3939"
"FAPP-cpupa","Thread","0","0","1","all","0","1","166402208","3323764598","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","184205888","3684023751","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","166352544","3290049384","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","166351392","3300975163","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","176249760","3509829443","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","166351360","3295404320","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","176576320","3521745012","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","166623680","3332325112","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","176403616","3526884452","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","166351488","3326931869","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","166352704","3306445547","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","375116576","7501637332","0","0","0","1780608024","454665115","1212","651273123","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","31261408","625156249","0","0","0","148384013","37892440","101","54276624","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","31261280","625158696","0","0","0","148384001","37888425","101","54272409","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","31257280","625101687","0","0","0","148384001","37888425","101","54272409","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","31257504","625105998","0","0","0","148384001","37888425","101","54272409","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","31261344","625159463","0","0","0","148384001","37888425","101","54272409","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","31261408","625159176","0","0","0","148384001","37888425","101","54272409","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","31261376","625158909","0","0","0","148384001","37888425","101","54272409","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","31258016","625114706","0","0","0","148384001","37888425","101","54272409","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","31257056","625095604","0","0","0","148384001","37888425","101","54272409","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","31261024","625159340","0","0","0","148384001","37888425","101","54272409","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","31257696","625109096","0","0","0","148384001","37888425","101","54272409","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","31261184","625158408","0","0","0","148384001","37888425","101","54272409","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2332430880","42328861689","0","0","1281","1820270315","481932732","34369","771357539","3939"
"FAPP-cpupa","Thread","0","2","0","all","0","1","490270400","5631281742","0","0","1083","171723789","60991409","33236","168390218","3939"
"FAPP-cpupa","Thread","0","2","1","all","0","1","172275584","3445415663","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","164055072","3255079066","0","0","18","149867866","38267393","103","54815211","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","164052544","3260405071","0","0","18","149867866","38267393","103","54815211","0"
