"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:17 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.939611","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.310406","-","-","1"
"FAPP-time-stat","0","2","all","0","4.936700","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312772","-","-","1"
"FAPP-time-stat","0","0","all","0","4.918141","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.321321","-","-","1"
"FAPP-time-stat","0","1","all","0","4.891740","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.310431","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8008","0x0198","0x0199","0x0139","0x0010","0x0012","-","-"
"FAPP-cpupa","Process","0","3","-","all","0","12","2315169536","40731050712","16284303341","69915846","97","16201759110","5682323","1104261943","0","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","493964640","4421961764","7260892780","69448056","15","7179253360","5662177","1089262692","0","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","162980384","3259519246","820303101","41981","7","820221967","1690","1362214","0","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","163294016","3237834410","820300610","41406","7","820220380","1765","1362202","0","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","162974496","3233312794","820344345","44928","8","820258272","2491","1368584","0","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","172364640","3444855695","820323842","44616","6","820237512","1930","1366065","0","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","172301376","3441754033","820320676","44094","7","820235265","1910","1365556","0","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","172410656","3433106014","820315497","43813","7","820230534","1734","1364834","0","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","162977376","3259517553","820293762","41180","8","820213927","1464","1361024","0","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","162977664","3259460466","820301877","41682","10","820221135","1733","1362263","0","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","162976736","3249871174","820302066","41652","10","820221484","1770","1362229","0","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","162974912","3231597096","820300728","41136","5","820221119","1801","1361859","0","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","162972640","3258260467","820304057","41302","7","820224155","1858","1362421","0","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","372545984","7450253287","9743361621","65329","60","9743246533","8931","15698320","0","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","31047072","620872406","811988160","7014","5","811976932","734","1312832","0","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","31043040","620817311","811943193","5389","5","811933613","745","1307780","0","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","31046976","620878037","811943695","5346","5","811934099","786","1307965","0","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","31046816","620876912","811942841","5279","5","811933457","718","1307698","0","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","31043456","620823502","811944428","5615","3","811934432","778","1308113","0","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","31043232","620818634","811942787","5245","6","811933455","774","1307785","0","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","31047072","620878786","811943618","5372","5","811934042","708","1307911","0","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","31047136","620877413","811942484","5185","4","811933264","648","1307604","0","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","31046752","620877225","811943463","5432","8","811933767","734","1307846","0","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","31047104","620877539","811943590","5448","6","811933886","739","1307854","0","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","31043712","620828251","811942228","5135","3","811933076","782","1307586","0","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","31043616","620827271","811941134","4869","5","811932510","785","1307346","0","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2289109856","41225531785","21205242321","71373016","101","21122779708","5691650","2340212292","0","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","493673600","5616990054","12181884052","70913461","21","12100309941","5671943","2325221922","0","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","160704128","3181589857","820297067","41004","5","820217794","1806","1361416","0","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","160698496","3181228326","820300850","40775","5","820221924","1834","1361864","0","0"
