"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:24 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","2","all","0","4.883701","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.309440","-","-","1"
"FAPP-time-stat","0","0","all","0","4.878568","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.309539","-","-","1"
"FAPP-time-stat","0","3","all","0","4.804703","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.309593","-","-","1"
"FAPP-time-stat","0","1","all","0","4.784434","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.309532","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8095","0x8096","0x807c","0x800e","0x0109","0x010a","0x0077","-"
"FAPP-cpupa","Process","0","2","-","all","0","12","2404112256","42324049296","2295","0","1787168560","492","1795491824","17039289","0","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","488373824","4312715315","1921","0","148932400","492","149967504","9750788","0","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","172174688","3407651478","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","186664608","3733258165","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","172176896","3418581070","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","172575776","3421179986","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","186625824","3691336800","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","172217152","3414046365","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","172174560","3418577724","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","172176256","3402245686","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","172174144","3424075587","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","172173120","3424012267","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","164605408","3256368853","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","371390816","7427109687","204","0","1769472000","0","1777344000","7872024","0","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","30950560","618941290","17","0","147456000","0","148112000","656013","0","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","30946944","618893257","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","30950464","618946608","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","30946464","618881644","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","30950496","618946136","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","30950496","618946181","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","30950528","618946006","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","30946784","618888138","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","30946592","618884067","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","30950496","618945696","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","30950592","618945053","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","30950400","618945611","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Process","0","0","-","all","0","12","2349706560","43318194977","2278","0","1787168560","492","1795492634","17040178","0","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","487860768","6164610309","1904","0","148932400","492","149968314","9751677","0","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","169872768","3382159559","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","170279840","3395735998","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","169937504","3396360786","34","0","148930560","0","149593120","662591","0","0"
