"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:31 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.931727","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.309518","-","-","1"
"FAPP-time-stat","0","3","all","0","4.903090","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.309598","-","-","1"
"FAPP-time-stat","0","2","all","0","4.880985","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.309442","-","-","1"
"FAPP-time-stat","0","1","all","0","4.858758","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.309580","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0230","0x0231","0x0232","0x0233","0x0234","0x0235","0x0236","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2411487584","44484360801","25654893","0","0","34609994","0","0","6314443","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","493176416","6267376628","2936741","0","0","3479367","0","0","1139679","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","183106432","3662097581","2065318","0","0","2908061","0","0","471616","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","173254016","3437772205","2065373","0","0","2855098","0","0","467046","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","173254912","3444423110","2065328","0","0","2890940","0","0","470371","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","173565248","3456131234","2065471","0","0","2793022","0","0","469810","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","173250752","3463925746","2064833","0","0","2860031","0","0","469195","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","173249792","3433494301","2066082","0","0","2786098","0","0","472682","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","183060128","3651470051","2065600","0","0","2838400","0","0","470681","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","173251264","3460729831","2065081","0","0","2840948","0","0","469572","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","173381216","3467533937","2064423","0","0","2858105","0","0","471803","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","173248512","3428018184","2066137","0","0","2808411","0","0","470920","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","165688896","3311387993","2064506","0","0","2691513","0","0","471068","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","371472928","7428804737","24517184","0","0","33619635","0","0","5567937","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","30957696","619086956","2024755","0","0","2799434","0","0","450688","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","30957440","619090858","2044819","0","0","2879125","0","0","466481","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","30957536","619090497","2044842","0","0","2826646","0","0","461651","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","30957728","619090441","2044788","0","0","2862058","0","0","465117","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","30953952","619034837","2044943","0","0","2765162","0","0","464572","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","30957440","619090757","2044294","0","0","2831485","0","0","463970","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","30954208","619038880","2045564","0","0","2758202","0","0","467470","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","30954304","619042605","2045080","0","0","2810204","0","0","465449","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","30953856","619030620","2044544","0","0","2812452","0","0","464385","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","30953664","619027855","2043930","0","0","2829775","0","0","466609","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","30957600","619090155","2045625","0","0","2780457","0","0","465677","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","30957504","619090276","2044000","0","0","2664635","0","0","465868","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2355078880","43803545914","25643597","0","0","34517316","0","0","6294365","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","490312800","6624561723","2929655","0","0","3457752","0","0","1118067","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","175954240","3519056716","2064389","0","0","2856722","0","0","468081","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","168882176","3357083611","2065085","0","0","2893730","0","0","469304","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","168880960","3351614954","2065423","0","0","2791243","0","0","469955","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","168882400","3340758655","2064220","0","0","2860120","0","0","471058","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","168877568","3375168155","2065371","0","0","2787049","0","0","472000","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","168886112","3367987608","2066049","0","0","2837107","0","0","471252","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","175997088","3519842922","2064468","0","0","2840298","0","0","470592","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","169273536","3384269918","2063819","0","0","2858014","0","0","470555","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","168880128","3373375110","2066065","0","0","2807310","0","0","471588","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","161333728","3211494355","2064353","0","0","2681911","0","0","471146","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","168918144","3378332187","2064700","0","0","2846060","0","0","470767","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","371580544","7430897117","24502837","0","0","33550869","0","0","5574381","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","30965984","619255487","2014364","0","0","2799671","0","0","455008","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","30965760","619255063","2043916","0","0","2828476","0","0","462946","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","30965952","619255282","2044583","0","0","2864972","0","0","464139","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","30966016","619254707","2044924","0","0","2763539","0","0","464811","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","30966016","619254306","2043723","0","0","2831602","0","0","465922","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","30965920","619254856","2044871","0","0","2759477","0","0","466842","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","30962432","619203364","2045519","0","0","2808999","0","0","466063","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","30965984","619255575","2043966","0","0","2811986","0","0","465413","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","30962144","619195960","2043333","0","0","2829638","0","0","465328","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","30966016","619255301","2045567","0","0","2779482","0","0","466353","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","30962336","619201645","2043878","0","0","2655279","0","0","465874","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","30965984","619255571","2044193","0","0","2817748","0","0","465682","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2380479008","45400996978","25649974","0","0","34593659","0","0","6295399","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","488102144","7805210781","2937058","0","0","3474488","0","0","1121111","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","170935840","3388149744","2064036","0","0","2906799","0","0","470594","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","170934976","3386197027","2064617","0","0","2853165","0","0","467834","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","170933792","3418646478","2065668","0","0","2892266","0","0","470258","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","170935968","3393593501","2064051","0","0","2791133","0","0","469770","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","170938272","3418735032","2064834","0","0","2860976","0","0","469061","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","171338144","3407142428","2065924","0","0","2786755","0","0","472412","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","180551872","3594974492","2064767","0","0","2836678","0","0","471591","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","170977504","3378089382","2064096","0","0","2837313","0","0","469248","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","180505696","3572276357","2065815","0","0","2861728","0","0","471440","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","163392544","3240841764","2064654","0","0","2804162","0","0","471625","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","170932256","3397139992","2064454","0","0","2688196","0","0","470455","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","371393920","7427184567","24512806","0","0","33608698","0","0","5569037","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","30950880","618951246","2025339","0","0","2798595","0","0","451643","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","30947232","618900818","2043559","0","0","2877893","0","0","465449","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","30950464","618951403","2044110","0","0","2824751","0","0","462540","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","30950880","618951867","2045171","0","0","2863604","0","0","465096","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","30946848","618891196","2043554","0","0","2763405","0","0","464572","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","30950624","618952324","2044336","0","0","2832566","0","0","463964","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","30950880","618951551","2045400","0","0","2758941","0","0","467255","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","30950880","618951547","2044293","0","0","2808522","0","0","466443","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","30947040","618893866","2043592","0","0","2809075","0","0","464072","0"
