"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:38 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.902192","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.309510","-","-","1"
"FAPP-time-stat","0","3","all","0","4.871451","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.309651","-","-","1"
"FAPP-time-stat","0","2","all","0","4.858127","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.309479","-","-","1"
"FAPP-time-stat","0","1","all","0","4.834818","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.309541","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x02b2","0x02b1","0x02b0","0x02b8","0x02b9","0x0260","0x0261","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2361023648","43148273890","417","350608359","1002181411","58183803308","52582568721","3636488234","3286411068","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","490223168","5881395202","417","29218279","83515521","43133761196","42483018097","2695860606","2655189157","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","170692384","3376976413","0","29217280","83515092","1369749392","916452416","85609338","57278276","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","170687648","3398655423","0","29217280","83515110","1367947312","918271072","85496705","57391944","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","170860704","3417124167","0","29217280","83515016","1368784704","917442592","85549044","57340162","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","170687776","3386425775","0","29217280","83514987","1368676912","918303840","85542306","57393985","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","170686112","3404006549","0","29217280","83515280","1369135568","917139600","85570972","57321226","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","163115520","3258093356","0","29217280","83515390","1367457664","918744480","85466101","57421528","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","170752256","3413784338","0","29217280","83514999","1368227936","918304816","85514248","57394050","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","171126496","3401925857","0","29217280","83514994","1370564256","915696752","85660265","57231047","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","170817920","3413929791","0","29217280","83514949","1366258176","920016368","85391137","57501023","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","170688416","3413739937","0","29217280","83515013","1364774032","921383456","85298377","57586467","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","170685248","3382217082","0","29217280","83515060","1368466160","917795232","85529135","57362203","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","371471136","7428730780","0","347136000","992258334","16239289456","10909283296","1014955591","681830210","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","30957344","619076770","0","28928000","82688169","1350264672","912513600","84391544","57032100","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","30957024","619078114","0","28928000","82688200","1355174832","907173648","84698427","56698353","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","30957152","619079171","0","28928000","82688222","1353356800","908981472","84584802","56811342","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","30957088","619080956","0","28928000","82688136","1354186432","908162432","84636652","56760153","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","30957120","619080014","0","28928000","82688107","1353649136","908688384","84603071","56793023","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","30953440","619023605","0","28928000","82688384","1354513520","907843408","84657095","56740213","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","30957152","619079162","0","28928000","82688504","1352904384","909452752","84556523","56840797","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","30957184","619079022","0","28928000","82688119","1353491216","908854304","84593201","56803395","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","30953728","619029365","0","28928000","82688114","1355926320","906424736","84745393","56651548","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","30953184","619018152","0","28928000","82688066","1351699184","910641376","84481198","56915086","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","30957088","619079686","0","28928000","82688133","1350244176","912083680","84390261","57005230","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","30953632","619026763","0","28928000","82688180","1353878784","908463504","84617424","56778970","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2351394464","41924740981","420","350608303","1002181230","40899534810","35370107325","2556221440","2210632236","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","487148832","4723421321","420","29218223","83515268","25851897370","25268946845","1615744114","1579309707","0"
