"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:45 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","2","all","0","4.929845","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.316689","-","-","1"
"FAPP-time-stat","0","0","all","0","4.908292","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312452","-","-","1"
"FAPP-time-stat","0","3","all","0","4.875341","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316303","-","-","1"
"FAPP-time-stat","0","1","all","0","4.862352","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.316843","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0309","0x0396","0x0370","0x0121","0x0318","0x0319","0x031a","0x031b"
"FAPP-cpupa","Process","0","2","-","all","0","12","2322347040","40573934809","439549821","103023052","13196409","11718681203","207164","114120","47984278","77052"
"FAPP-cpupa","Thread","0","2","0","all","0","1","492988256","4075500419","36903989","8593926","1116065","4334218495","100359","44247","4558178","24439"
"FAPP-cpupa","Thread","0","2","1","all","0","1","162467744","3234152928","36602977","8584428","1098358","671308073","8354","5885","3946722","4639"
"FAPP-cpupa","Thread","0","2","2","all","0","1","162463168","3247929808","36602847","8584412","1098368","671341169","8293","5878","3946747","4640"
"FAPP-cpupa","Thread","0","2","3","all","0","1","170266080","3401008969","36603627","8584457","1098413","671316764","9549","6793","3947702","4993"
"FAPP-cpupa","Thread","0","2","4","all","0","1","162469184","3243214725","36600484","8584321","1097620","671308663","8340","5859","3946464","4624"
"FAPP-cpupa","Thread","0","2","5","all","0","1","170638400","3412676775","36608963","8584623","1098314","671315517","12828","7142","3948988","5015"
"FAPP-cpupa","Thread","0","2","6","all","0","1","180470496","3599647652","36612264","8584797","1099071","671326473","13640","7734","3954304","5160"
"FAPP-cpupa","Thread","0","2","7","all","0","1","162468640","3246842129","36600696","8584325","1097648","671314219","8374","5863","3946528","4631"
"FAPP-cpupa","Thread","0","2","8","all","0","1","170469504","3409359257","36609934","8584693","1098916","671309669","12409","7114","3948962","5016"
"FAPP-cpupa","Thread","0","2","9","all","0","1","162456576","3237590386","36602964","8584422","1098358","671306598","8341","5885","3946730","4639"
"FAPP-cpupa","Thread","0","2","10","all","0","1","162462336","3228533621","36600402","8584312","1097621","671307118","8333","5859","3946446","4628"
"FAPP-cpupa","Thread","0","2","11","all","0","1","162726656","3237478140","36600674","8584336","1097657","671308445","8344","5861","3946507","4628"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","380082912","7600970554","424608941","100917637","12901243","7973649051","11167","3307","36935699","3091"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","31675328","633432782","35383830","8409716","1075106","664501556","931","276","3077918","258"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","31675104","633439806","35384293","8409823","1075130","664469078","931","276","3077995","258"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","31675328","633439641","35384243","8409819","1075119","664467826","931","276","3077988","258"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","31675264","633440446","35384326","8409828","1075139","664468172","931","276","3078000","258"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","31671648","633387145","35383922","8409802","1075074","664467023","930","275","3077966","257"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","31670816","633372391","35383863","8409794","1075066","664468722","930","275","3077949","257"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","31675296","633438755","35384143","8409811","1075108","664467570","931","276","3077982","258"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","31671104","633377177","35383940","8409802","1075084","664468292","930","275","3077972","257"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","31675008","633439864","35384189","8409812","1075118","664467701","931","276","3077990","258"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","31675232","633439704","35384292","8409823","1075132","664468365","931","276","3077998","258"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","31671456","633383264","35383945","8409804","1075083","664467601","930","275","3077968","257"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","31671328","633379579","35383955","8409803","1075084","664467145","930","275","3077973","257"
"FAPP-cpupa","Process","0","0","-","all","0","12","2318471840","40727835324","467798235","107668907","17769687","13117803468","48445138","694092","288665","252660"
"FAPP-cpupa","Thread","0","0","0","all","0","1","490833120","4457666716","39335591","8982952","1505405","5733260003","4676101","123963","109220","58408"
