"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:52 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.934676","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312620","-","-","1"
"FAPP-time-stat","0","1","all","0","4.920265","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312590","-","-","1"
"FAPP-time-stat","0","2","all","0","4.894451","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312641","-","-","1"
"FAPP-time-stat","0","3","all","0","4.863233","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316449","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0316","0x0314","0x0315","0x031e","0x031c","0x031d","0x0391","0x03ae"
"FAPP-cpupa","Process","0","0","-","all","0","12","2336873792","41585495979","342748883","60","0","48534705","41488","0","342100145","95160"
"FAPP-cpupa","Thread","0","0","0","all","0","1","493471648","4809826520","28729882","5","0","4672972","3648","0","28656887","11710"
"FAPP-cpupa","Thread","0","0","1","all","0","1","171713248","3419085380","28548979","5","0","3991075","3440","0","28495739","7986"
"FAPP-cpupa","Thread","0","0","2","all","0","1","163567136","3268957606","28545644","5","0","3984648","3440","0","28494147","7298"
"FAPP-cpupa","Thread","0","0","3","all","0","1","163617120","3251782465","28545589","5","0","3984708","3440","0","28494187","7232"
"FAPP-cpupa","Thread","0","0","4","all","0","1","163567264","3261557630","28544981","5","0","3984580","3440","0","28494059","7281"
"FAPP-cpupa","Thread","0","0","5","all","0","1","183206560","3664098964","28556057","5","0","3997427","3440","0","28499741","8496"
"FAPP-cpupa","Thread","0","0","6","all","0","1","171559424","3429983990","28548544","5","0","3989529","3440","0","28494871","8045"
"FAPP-cpupa","Thread","0","0","7","all","0","1","163838080","3276664681","28545725","5","0","3985355","3440","0","28493896","7303"
"FAPP-cpupa","Thread","0","0","8","all","0","1","171634304","3428455387","28550459","5","0","3990965","3440","0","28496283","8046"
"FAPP-cpupa","Thread","0","0","9","all","0","1","163565632","3271154006","28544361","5","0","3984523","3440","0","28493143","7299"
"FAPP-cpupa","Thread","0","0","10","all","0","1","163566176","3254705455","28544960","5","0","3984537","3440","0","28494081","7232"
"FAPP-cpupa","Thread","0","0","11","all","0","1","163567200","3249223895","28543702","5","0","3984386","3440","0","28493111","7232"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","375199584","7503335321","328721261","0","0","36949346","0","0","328697464","5784"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","31268288","625300102","27393511","0","0","3079127","0","0","27391511","482"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","31264704","625248486","27393271","0","0","3079086","0","0","27391340","482"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","31268000","625301124","27393532","0","0","3079123","0","0","27391507","482"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","31268160","625301396","27393569","0","0","3079130","0","0","27391526","482"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","31268224","625300141","27393523","0","0","3079125","0","0","27391514","482"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","31268192","625301650","27393543","0","0","3079127","0","0","27391529","482"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","31264864","625251750","27393293","0","0","3079089","0","0","27391362","482"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","31264096","625236508","27393304","0","0","3079093","0","0","27391361","482"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","31267904","625301073","27393542","0","0","3079128","0","0","27391534","482"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","31264704","625248934","27393357","0","0","3079099","0","0","27391398","482"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","31268032","625299882","27393514","0","0","3079126","0","0","27391509","482"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","31264416","625244275","27393302","0","0","3079093","0","0","27391373","482"
"FAPP-cpupa","Process","0","1","-","all","0","12","2297780192","41327499778","341632219","9706","0","48352045","4294","0","341398910","49403"
"FAPP-cpupa","Thread","0","1","0","all","0","1","492030560","5394613057","28580496","1489","0","4629568","2831","0","28537163","9343"
"FAPP-cpupa","Thread","0","1","1","all","0","1","161331872","3213838330","28458784","747","0","3973115","133","0","28441566","2952"
"FAPP-cpupa","Thread","0","1","2","all","0","1","169286752","3362057724","28460557","747","0","3977039","133","0","28442924","5294"
"FAPP-cpupa","Thread","0","1","3","all","0","1","161332096","3215326702","28458791","747","0","3973253","133","0","28441567","3087"
"FAPP-cpupa","Thread","0","1","4","all","0","1","161324992","3208199525","28457655","747","0","3973012","133","0","28440694","2952"
"FAPP-cpupa","Thread","0","1","5","all","0","1","161283104","3225569707","28457947","747","0","3973864","133","0","28441171","3157"
"FAPP-cpupa","Thread","0","1","6","all","0","1","169582624","3369456167","28461415","747","0","3977225","133","0","28443775","5294"
