"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:04 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","2","all","0","4.897615","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312588","-","-","1"
"FAPP-time-stat","0","0","all","0","4.872344","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312398","-","-","1"
"FAPP-time-stat","0","3","all","0","4.849924","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316309","-","-","1"
"FAPP-time-stat","0","1","all","0","4.831312","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312643","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0190","0x0191","0x0184","0x0186","0x0189","0x018c","0x018d","0x018e"
"FAPP-cpupa","Process","0","2","-","all","0","12","2310702752","42154544760","36346511165","895954683","1233024168","10","5069792693","29924993228","0","29813294315"
"FAPP-cpupa","Thread","0","2","0","all","0","1","489765344","5832071942","2458932503","352586277","870852831","0","993642691","476883719","0","368196235"
"FAPP-cpupa","Thread","0","2","1","all","0","1","162434080","3248513118","3027238092","49320676","32420009","0","370687809","2624027517","0","2623759961"
"FAPP-cpupa","Thread","0","2","2","all","0","1","170440000","3406295840","3184967064","49332174","32709640","0","370764707","2781378545","0","2781059631"
"FAPP-cpupa","Thread","0","2","3","all","0","1","162435168","3247554136","3026235042","49309627","32514460","0","370700337","2622918029","0","2622654331"
"FAPP-cpupa","Thread","0","2","4","all","0","1","162698400","3237527426","3016209181","49365921","33153120","0","370585157","2612369988","0","2612105616"
"FAPP-cpupa","Thread","0","2","5","all","0","1","180251712","3604935802","3383654758","49304765","32787775","0","370644353","2980110141","0","2979814516"
"FAPP-cpupa","Thread","0","2","6","all","0","1","162434496","3228114835","3006685445","49539033","32808680","0","370328107","2603447116","0","2603183294"
"FAPP-cpupa","Thread","0","2","7","all","0","1","162429760","3233466332","3012044512","49479272","33182607","0","370460301","2608300588","0","2608039604"
"FAPP-cpupa","Thread","0","2","8","all","0","1","170639520","3408447159","3187052752","49473367","33468262","10","370537496","2782939040","0","2782653716"
"FAPP-cpupa","Thread","0","2","9","all","0","1","162372384","3221431350","3000066138","49427987","33090811","0","370468262","2596406038","0","2596138324"
"FAPP-cpupa","Thread","0","2","10","all","0","1","162429056","3238835902","3017487740","49364949","32842563","0","370448271","2614094214","0","2613833333"
"FAPP-cpupa","Thread","0","2","11","all","0","1","162372832","3247350918","3025937938","49450635","33193410","0","370525202","2622118293","0","2621855754"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","375160736","7502527274","4873395011","586065131","380065106","10","4405518690","87676623","0","87310228"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","31265280","625234423","405053878","49551295","34393252","0","370363904","284606","0","247543"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","31261536","625185569","406265327","48701196","30956723","0","366961118","8336509","0","8305761"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","31265056","625238141","406291529","48694605","31118340","0","367026186","8135605","0","8104589"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","31265280","625238594","406272271","48690905","31038102","0","366973535","8249288","0","8219533"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","31265312","625238070","406272018","48746889","31670491","0","366860596","7729756","0","7700563"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","31261504","625185109","406272613","48671297","31202466","0","366913778","8144898","0","8113741"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","31265088","625238234","406161653","48919569","31342577","0","366605005","8202387","0","8171679"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","31265024","625238351","406170241","48859362","31703779","0","366737727","7717402","0","7687765"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","31259040","625133482","406105029","48844208","31922551","10","366807136","7364772","0","7335555"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","31265056","625238533","406224650","48809472","31612648","0","366744318","7855905","0","7825660"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","31261184","625177958","406185183","48744711","31368690","0","366724386","8081536","0","8051743"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","31261376","625180810","406120619","48831622","31735487","0","366801001","7573959","0","7546096"
"FAPP-cpupa","Process","0","0","-","all","0","12","2346506272","42076417739","37139556303","898849531","1267720734","53","5069511833","30684625064","0","30575589028"
"FAPP-cpupa","Thread","0","0","0","all","0","1","487238336","5029326715","2527329503","355522962","906067822","0","993318332","511414282","0","405463553"
