"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:11 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.912393","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316377","-","-","1"
"FAPP-time-stat","0","2","all","0","4.884687","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.316837","-","-","1"
"FAPP-time-stat","0","0","all","0","4.875287","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312593","-","-","1"
"FAPP-time-stat","0","1","all","0","4.851478","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312606","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0240","0x0241","0x0330","0x0274","0x01a4","0x01b4","0x01a5","0x01b5"
"FAPP-cpupa","Process","0","3","-","all","0","12","2308086400","40636790728","3552499795","4296110230","1258821115","479014684","3464269981","47571512063","2788171131","44610692672"
"FAPP-cpupa","Thread","0","3","0","all","0","1","491243104","4438752929","1700910725","1981915775","112536786","426248431","362356691","4802865279","313716110","5019407696"
"FAPP-cpupa","Thread","0","3","1","all","0","1","162080608","3241510935","168403866","210218864","104074082","4783942","281925376","3886789248","225017161","3600274704"
"FAPP-cpupa","Thread","0","3","2","all","0","1","162081088","3211178012","168343297","210303485","104059231","4788661","281973737","3887644960","224969038","3599505168"
"FAPP-cpupa","Thread","0","3","3","all","0","1","162343584","3226178762","168282690","210412449","104084190","4787114","282038997","3888737536","224904370","3598471856"
"FAPP-cpupa","Thread","0","3","4","all","0","1","170045728","3398509273","168371722","210309828","104464260","4779127","282109472","3889866080","224833734","3597340752"
"FAPP-cpupa","Thread","0","3","5","all","0","1","170342176","3402594102","168353170","210374188","104674850","4819172","281942499","3887283408","225000124","3600002240"
"FAPP-cpupa","Thread","0","3","6","all","0","1","162029696","3225455746","168254629","210475610","104018809","4804441","281999119","3888193296","224943269","3599092464"
"FAPP-cpupa","Thread","0","3","7","all","0","1","162079808","3241458627","168386445","210311359","104070320","4774793","282072427","3889384976","224869826","3597917312"
"FAPP-cpupa","Thread","0","3","8","all","0","1","162031232","3214555821","168165199","210549210","104018053","4798553","281945273","3887316064","224997140","3599954352"
"FAPP-cpupa","Thread","0","3","9","all","0","1","162030400","3230913936","168161112","210533586","104019967","4789682","281944387","3887311664","224997932","3599967104"
"FAPP-cpupa","Thread","0","3","10","all","0","1","162029408","3239428594","168460182","210296610","104022907","4788508","282017534","3888666384","224924567","3598793152"
"FAPP-cpupa","Thread","0","3","11","all","0","1","179749568","3566253991","168406758","210409266","104777660","4852260","281944469","3887453168","224997860","3599965872"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","379713536","7593508001","2002658013","2504327482","1170071603","55629053","3348883649","46170700624","2674198473","42787180640"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","31644384","632813959","171392417","213953273","97508377","4271008","277686873","3825543104","224242275","3587876864"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","31640288","632757348","166560695","208058498","97501762","4657719","279133483","3848300912","222789472","3564631680"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","31640416","632757798","166499496","208139265","97501527","4662322","279181991","3849157792","222741208","3563859888"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","31640480","632761322","166438234","208245250","97502088","4660841","279245608","3850223728","222678170","3562852656"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","31644480","632814385","166518651","208143746","97508093","4648568","279315600","3851344576","222608013","3561729216"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","31644160","632815882","166498028","208207246","97508104","4687651","279150476","3848789760","222772571","3564361392"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","31644416","632815524","166409729","208310010","97508350","4678425","279206891","3849697648","222715941","3563455200"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","31637920","632708659","166541487","208147055","97499975","4649119","279279491","3850877232","222643181","3562290992"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","31644288","632815702","166322698","208384148","97508413","4672378","279153328","3848823376","222769510","3564312272"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","31643968","632815508","166317383","208366341","97508033","4663633","279152679","3848824064","222770076","3564321392"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","31644384","632815769","166615666","208134116","97508478","4662579","279224796","3850159536","222697737","3563163872"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","31644352","632816145","166543529","208238534","97508403","4714810","279152433","3848958896","222770319","3564325216"
"FAPP-cpupa","Process","0","2","-","all","0","12","2284259520","42091163603","5662022408","6423501364","1255384925","486329875","3460278659","47507412575","2792258467","44676168236"
"FAPP-cpupa","Thread","0","2","0","all","0","1","488472512","6461604641","3810363226","4109492653","112454074","433587919","358382284","4739493199","317786287","5084608876"
"FAPP-cpupa","Thread","0","2","1","all","0","1","159635456","3151299464","168401662","210206635","103670057","4807799","281949724","3887193184","224993048","3599889056"
"FAPP-cpupa","Thread","0","2","2","all","0","1","159635136","3156202896","168411037","210219496","103683675","4784145","281924651","3886761600","225017796","3600284864"
"FAPP-cpupa","Thread","0","2","3","all","0","1","159684512","3166430612","168336974","210310591","103741703","4783561","281973805","3887613952","224968856","3599502176"
"FAPP-cpupa","Thread","0","2","4","all","0","1","167674784","3322973021","168288932","210433606","104149774","4791471","282040229","3888767168","224903392","3598456080"
"FAPP-cpupa","Thread","0","2","5","all","0","1","167788416","3324709935","168392041","210295922","104285696","4786199","282095620","3889602752","224847251","3597556672"
"FAPP-cpupa","Thread","0","2","6","all","0","1","159684960","3168621207","168344442","210370981","103732080","4811823","281941373","3887240160","225000927","3600015072"
"FAPP-cpupa","Thread","0","2","7","all","0","1","167644992","3327284091","168279033","210467544","104083933","4803797","281993876","3888090256","224948716","3599179648"
"FAPP-cpupa","Thread","0","2","8","all","0","1","159634272","3156785083","168403973","210320251","103683982","4775667","282057896","3889096080","224884442","3598151152"
"FAPP-cpupa","Thread","0","2","9","all","0","1","159900192","3197969778","168168958","210543382","103775946","4800161","281957183","3887523744","224985258","3599764480"
"FAPP-cpupa","Thread","0","2","10","all","0","1","174869824","3464696823","168174317","210537242","104439727","4796238","281938815","3887206064","225003273","3600052464"
"FAPP-cpupa","Thread","0","2","11","all","0","1","159634464","3192586052","168457813","210303061","103684278","4801095","282023203","3888824416","224919221","3598707696"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","380265920","7604562254","2002865553","2504117655","1171264813","55599457","3348954005","46171562480","2674128337","42786057952"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","31690112","633725578","171496612","213914492","97606155","4250223","277776591","3827164512","224152589","3586441584"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","31686624","633683822","166560481","208043945","97602080","4683059","279156629","3848684592","222766560","3564265248"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","31690176","633731794","166569930","208059449","97607210","4659751","279132749","3848272816","222790115","3564641968"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","31690112","633731942","166495047","208148609","97607248","4659089","279182083","3849127744","222740991","3563856320"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","31686048","633670707","166437521","208263905","97601107","4662217","279246471","3850247440","222677556","3562842672"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","31690080","633731935","166542349","208130208","97607608","4656935","279302103","3851087792","222621206","3561939952"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","31686432","633678044","166502165","208206826","97601474","4686959","279149186","3848745008","222773537","3564376816"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","31689792","633732556","166429999","208300096","97607286","4674760","279201149","3849586816","222721857","3563549888"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","31690080","633733317","166563375","208157138","97607655","4651363","279264686","3850583920","222658064","3562529104"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","31690048","633733544","166330011","208383179","97607793","4675639","279165001","3849028880","222757863","3564126160"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","31690112","633734132","166319738","208367053","97607845","4662752","279146591","3848709568","222775920","3564414816"
