"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:19 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","1","all","0","4.923389","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312629","-","-","1"
"FAPP-time-stat","0","2","all","0","4.896891","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312708","-","-","1"
"FAPP-time-stat","0","3","all","0","4.894223","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316325","-","-","1"
"FAPP-time-stat","0","0","all","0","4.878338","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312513","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0325","0x0003","0x0049","0x0017","0x0300","0x80ad","0x80ae","0x0326"
"FAPP-cpupa","Process","0","1","-","all","0","12","2310454688","43124820962","8973401","30350295","21457223","39137732","13288905","338196853","250","1503015"
"FAPP-cpupa","Thread","0","1","0","all","0","1","492342656","6882280296","819593","4583904","2527894","4287037","1394926","28183413","250","171175"
"FAPP-cpupa","Thread","0","1","1","all","0","1","161650336","3228780006","740574","2351666","1725211","3183048","1085716","28183040","0","123692"
"FAPP-cpupa","Thread","0","1","2","all","0","1","161644480","3212333575","734006","2351031","1725773","3179687","1083034","28183040","0","128699"
"FAPP-cpupa","Thread","0","1","3","all","0","1","177363872","3529324663","740698","2337684","1718009","3162131","1082039","28183040","0","121620"
"FAPP-cpupa","Thread","0","1","4","all","0","1","169439328","3386346746","736923","2349830","1724710","3177750","1082481","28183040","0","125071"
"FAPP-cpupa","Thread","0","1","5","all","0","1","161919520","3228716733","741363","2350422","1726133","3179006","1081577","28183040","0","121072"
"FAPP-cpupa","Thread","0","1","6","all","0","1","161637984","3209305253","741468","2336253","1717375","3159516","1078388","28183040","0","120800"
"FAPP-cpupa","Thread","0","1","7","all","0","1","161649568","3217877289","742342","2337398","1717643","3161191","1081887","28183040","0","119610"
"FAPP-cpupa","Thread","0","1","8","all","0","1","169612224","3392213221","739574","2335441","1715723","3157868","1080609","28183040","0","121347"
"FAPP-cpupa","Thread","0","1","9","all","0","1","169911744","3372235387","746293","2340240","1719432","3162158","1080226","28183040","0","113769"
"FAPP-cpupa","Thread","0","1","10","all","0","1","161644928","3232802765","742753","2336986","1719224","3158215","1077956","28183040","0","120166"
"FAPP-cpupa","Thread","0","1","11","all","0","1","161638048","3232605028","747814","2339440","1720096","3170125","1080066","28183040","0","115994"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","375216256","7503604863","8784719","27782852","20434103","37621567","12846938","334848000","0","1446467"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","31269376","625318161","711861","2284500","1693190","3123603","1073809","27904000","0","129808"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","31269120","625319744","733311","2327230","1708061","3150924","1074704","27904000","0","122218"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","31269248","625318045","726718","2326559","1708597","3147482","1072060","27904000","0","127227"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","31269376","625319928","733375","2313442","1700899","3130076","1071034","27904000","0","120169"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","31265504","625264348","729522","2325339","1707578","3145672","1071489","27904000","0","123741"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","31269376","625318840","734017","2325945","1708983","3146795","1070580","27904000","0","119680"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","31264736","625248492","734081","2311830","1700304","3127522","1067372","27904000","0","119475"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","31269216","625317966","734952","2312990","1700498","3129087","1070906","27904000","0","118224"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","31269376","625319550","732243","2311164","1698560","3125715","1069598","27904000","0","119962"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","31269376","625319248","738893","2315987","1702344","3130214","1069240","27904000","0","112424"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","31265728","625269458","735372","2312764","1702064","3126303","1067060","27904000","0","118819"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","31265824","625271083","740374","2315102","1703025","3138174","1069086","27904000","0","114720"
"FAPP-cpupa","Process","0","2","-","all","0","12","2345414592","41478487758","8957421","30874745","21463551","39099970","13270345","338196853","250","1498618"
"FAPP-cpupa","Thread","0","2","0","all","0","1","489692960","4626284927","816988","5103982","2528683","4261206","1398166","28183413","250","170428"
