"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:26 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.861981","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312387","-","-","1"
"FAPP-time-stat","0","1","all","0","4.838732","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.316883","-","-","1"
"FAPP-time-stat","0","2","all","0","4.813723","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312521","-","-","1"
"FAPP-time-stat","0","3","all","0","4.736404","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316354","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8010","0x8028","0x8034","0x0070","0x0071","0x8085","0x8086","0x8087"
"FAPP-cpupa","Process","0","0","-","all","0","12","2335563328","43030486938","3596982026","595739502","1763","6104682769","840243989","1173260154","494619629","74532328"
"FAPP-cpupa","Thread","0","0","0","all","0","1","486202016","6098971587","411522606","49660782","1763","5063380735","378577553","201964147","62292778","6270970"
"FAPP-cpupa","Thread","0","0","1","all","0","1","172246720","3444903901","289587220","49643520","0","94662189","41968996","88299637","39302441","6205577"
"FAPP-cpupa","Thread","0","0","2","all","0","1","172274080","3444347213","289587220","49643520","0","94663633","41969758","88299637","39302441","6205577"
"FAPP-cpupa","Thread","0","0","3","all","0","1","164219072","3272969951","289587220","49643520","0","94662243","41968703","88299637","39302441","6205579"
"FAPP-cpupa","Thread","0","0","4","all","0","1","182594880","3651745443","289587220","49643520","0","94665654","41971384","88299637","39302441","6205576"
"FAPP-cpupa","Thread","0","0","5","all","0","1","164269920","3282905964","289587220","49643520","0","94669432","41972234","88299637","39302441","6205582"
"FAPP-cpupa","Thread","0","0","6","all","0","1","164220288","3282522540","289587220","49643520","0","94662819","41969000","88299637","39302441","6205578"
"FAPP-cpupa","Thread","0","0","7","all","0","1","164218976","3280793989","289587220","49643520","0","94663625","41969417","88299637","39302441","6205578"
"FAPP-cpupa","Thread","0","0","8","all","0","1","172388512","3443550877","289587220","49643520","0","94663833","41969868","88299637","39302441","6205577"
"FAPP-cpupa","Thread","0","0","9","all","0","1","164490848","3274646757","289587220","49643520","0","94663344","41969332","88299637","39302441","6205578"
"FAPP-cpupa","Thread","0","0","10","all","0","1","164218816","3274714749","289587220","49643520","0","94662808","41968994","88299637","39302441","6205578"
"FAPP-cpupa","Thread","0","0","11","all","0","1","164219200","3278413967","289587220","49643520","0","94662454","41968750","88299637","39302441","6205578"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","374927648","7497864361","3440640000","589824000","0","1124390079","498388116","1049107311","466962715","73729285"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","31244928","624833416","286720000","49152000","0","93709847","41539839","87429473","38917240","6144108"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","31244864","624836461","286720000","49152000","0","93698184","41531650","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","31244864","624837908","286720000","49152000","0","93698224","41531670","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","31244960","624836599","286720000","49152000","0","93698246","41531685","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","31241344","624781237","286720000","49152000","0","93698076","41531596","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","31244960","624835951","286720000","49152000","0","93698255","41531687","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","31244800","624837436","286720000","49152000","0","93698242","41531683","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","31241152","624778955","286720000","49152000","0","93698208","41531666","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","31244864","624837724","286720000","49152000","0","93698210","41531663","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","31241056","624775339","286720000","49152000","0","93698251","41531689","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","31244928","624836552","286720000","49152000","0","93698232","41531678","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","31244928","624836783","286720000","49152000","0","93698104","41531610","87425258","38913225","6144107"
"FAPP-cpupa","Process","0","1","-","all","0","12","2320351360","42456029509","3596982019","595739502","1763","6102151164","836049079","1173258126","494617148","74531843"
