"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:33 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.954183","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312387","-","-","1"
"FAPP-time-stat","0","1","all","0","4.934028","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312663","-","-","1"
"FAPP-time-stat","0","2","all","0","4.898527","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312493","-","-","1"
"FAPP-time-stat","0","3","all","0","4.883955","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316372","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0185","0x0182","0x0183","0x0180","0x0181","0x0187","0x0188","0x018a"
"FAPP-cpupa","Process","0","0","-","all","0","12","2331497280","44288571075","573888163","117061325","55261219","292356961","22162061","0","0","4975221035"
"FAPP-cpupa","Thread","0","0","0","all","0","1","495422336","7690236041","527088592","59646255","53531219","47919460","19934591","0","0","910790711"
"FAPP-cpupa","Thread","0","0","1","all","0","1","171620608","3406396336","4266507","4630550","147202","22208008","208507","0","0","369635600"
"FAPP-cpupa","Thread","0","0","2","all","0","1","171922656","3417879147","4303484","4844553","152795","22215327","186883","0","0","369666655"
"FAPP-cpupa","Thread","0","0","3","all","0","1","163591776","3262039222","4289162","4737350","167348","22129729","196264","0","0","369674935"
"FAPP-cpupa","Thread","0","0","4","all","0","1","163641440","3257697051","4273151","5145292","156773","22464718","220999","0","0","369518756"
"FAPP-cpupa","Thread","0","0","5","all","0","1","163635296","3268401297","4217968","4968062","154546","22219088","187685","0","0","369567916"
"FAPP-cpupa","Thread","0","0","6","all","0","1","163641440","3248276064","4212821","5437136","158676","22262315","215164","0","0","369247632"
"FAPP-cpupa","Thread","0","0","7","all","0","1","163590976","3271787843","4222360","5379223","160071","22323136","210260","0","0","369413514"
"FAPP-cpupa","Thread","0","0","8","all","0","1","163862208","3276023459","4255797","5453965","159933","22446897","223837","0","0","369445604"
"FAPP-cpupa","Thread","0","0","9","all","0","1","183336384","3666695142","4283351","5534853","152066","22317764","168738","0","0","369388299"
"FAPP-cpupa","Thread","0","0","10","all","0","1","163641760","3270375332","4246144","5487503","159057","21870108","209414","0","0","369419365"
"FAPP-cpupa","Thread","0","0","11","all","0","1","163590400","3252764141","4228826","5796583","161533","21980411","199719","0","0","369452048"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","374923104","7497769608","39338082","59758456","1190314","263911129","1825495","0","0","4393519817"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","31245024","624833789","3693640","3594204","97854","22547569","159139","0","0","369339230"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","31244960","624833251","3230391","4527310","94084","21930569","154028","0","0","365976126"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","31245056","624834445","3264487","4733952","96625","21933612","133573","0","0","366005660"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","31244704","624833497","3239422","4616074","97251","21847304","137922","0","0","366013114"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","31245184","624834689","3279565","5031247","98209","22176844","164959","0","0","365859900"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","31240640","624767944","3227798","4858528","98374","21938735","140976","0","0","365907794"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","31241216","624780237","3226164","5324273","102106","21977021","167805","0","0","365592291"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","31244864","624834257","3241126","5268263","105594","22040544","162054","0","0","365755531"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","31240992","624773672","3257509","5331325","98061","22178540","176957","0","0","365786552"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","31244672","624834556","3186331","5423848","99047","22031606","119696","0","0","365730826"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","31241024","624775752","3252284","5373191","99980","21614440","162672","0","0","365759277"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","31244768","624833519","3239365","5676241","103129","21694345","145714","0","0","365793516"
"FAPP-cpupa","Process","0","1","-","all","0","12","2357069728","42751822216","589496974","124669935","62672418","294406017","22350721","0","0","4975128629"
"FAPP-cpupa","Thread","0","1","0","all","0","1","493406656","5626333418","542729773","67253013","60993937","48601983","20206305","0","0","910526922"
"FAPP-cpupa","Thread","0","1","1","all","0","1","165552160","3295932483","4204615","4624410","150018","22335763","174942","0","0","369662478"
