"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:40 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.949850","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316303","-","-","1"
"FAPP-time-stat","0","0","all","0","4.940422","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312474","-","-","1"
"FAPP-time-stat","0","2","all","0","4.908751","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312673","-","-","1"
"FAPP-time-stat","0","1","all","0","4.893446","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312691","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0192","0x0193","0x0194","0x018b","0x80c6","0x80c4","0x80c7","0x80c5"
"FAPP-cpupa","Process","0","3","-","all","0","12","2321841696","42663483201","642542770","420644992","4378051208","43038808","4765833644","0","1808814756","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","494988672","6391231994","394191121","190260544","2964572584","42397413","397203884","0","261591496","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","162281536","3223782375","22595640","20908397","128540547","56988","397148160","0","140656660","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","162551424","3231202325","22587039","20915889","128522140","57253","397148160","0","140656660","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","170500128","3377264687","22562384","20988651","128474157","59506","397148160","0","140656660","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","179650752","3562240738","22620767","20938808","128489048","63550","397148160","0","140656660","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","162280928","3245484023","22589516","20991126","128443701","57033","397148160","0","140656660","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","162287648","3220486196","22560617","21016637","128453860","56966","397148160","0","140656660","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","170124288","3375192491","22546026","20956424","128505541","59391","397148160","0","140656660","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","162282336","3217652734","22562746","20918091","128512941","57077","397148160","0","140656660","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","162282624","3229273838","22609608","20919561","128487654","56988","397148160","0","140656660","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","162281536","3212190876","22554721","20917729","128527770","56783","397148160","0","140656660","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","170329824","3377480924","22562585","20913135","128521265","59860","397148160","0","140656660","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","379617568","7591677336","268890193","249210101","1525707708","55667","4718592000","0","1671168000","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","31636704","632667670","23271335","21131750","126250583","4794","393216000","0","139264000","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","31636672","632667428","22347823","20698975","127265723","4805","393216000","0","139264000","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","31636576","632667876","22339293","20706291","127247383","4840","393216000","0","139264000","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","31636480","632669233","22314007","20778324","127200266","4496","393216000","0","139264000","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","31633120","632615974","22369943","20729040","127214755","4780","393216000","0","139264000","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","31630176","632558958","22341163","20781568","127169017","4548","393216000","0","139264000","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","31636576","632668190","22312815","20806600","127179363","4718","393216000","0","139264000","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","31636640","632667415","22297690","20747011","127230335","4239","393216000","0","139264000","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","31632800","632611022","22314449","20708763","127237757","4605","393216000","0","139264000","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","31636480","632668260","22361424","20710329","127213122","4801","393216000","0","139264000","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","31632608","632606258","22306836","20708244","127252581","4536","393216000","0","139264000","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","31632736","632609052","22313415","20703206","127246823","4505","393216000","0","139264000","0"
"FAPP-cpupa","Process","0","0","-","all","0","12","2311671968","42113356400","644314902","420762152","3840942154","41838722","4765833644","0","1808814757","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","494046016","5875843738","396389044","191736968","2426409248","41188608","397203884","0","261591497","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","161984960","3239604641","22485432","20833264","128631172","57855","397148160","0","140656660","0"
