"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:48 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","2","all","0","4.892357","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.316848","-","-","1"
"FAPP-time-stat","0","3","all","0","4.873962","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316418","-","-","1"
"FAPP-time-stat","0","0","all","0","4.855236","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312577","-","-","1"
"FAPP-time-stat","0","1","all","0","4.837770","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312656","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x01a6","0x01e0","0x03e0","0x03e8","0x01a0","0x01a1","0x01a2","0x01a3"
"FAPP-cpupa","Process","0","2","-","all","0","12","2306809376","42672849464","36181","4856960907","867148010","173624294","4859905101","5265152441","2664499195","2844900470"
"FAPP-cpupa","Thread","0","2","0","all","0","1","489239488","6366902748","35048","804688290","127379758","24457618","3444485104","3687718916","2440384700","2315092675"
"FAPP-cpupa","Thread","0","2","1","all","0","1","169644768","3383124730","103","377427457","68876362","13853239","128739788","143359407","20455218","48068737"
"FAPP-cpupa","Thread","0","2","2","all","0","1","161469088","3229350911","103","360594123","65856561","13308361","128770945","143295026","20342995","48191514"
"FAPP-cpupa","Thread","0","2","3","all","0","1","161469408","3226950542","103","360344156","65809098","13299754","128631718","143377583","20543644","48074846"
"FAPP-cpupa","Thread","0","2","4","all","0","1","161475712","3228298704","103","360494981","65835615","13304536","128634729","143459049","20319973","48216423"
"FAPP-cpupa","Thread","0","2","5","all","0","1","169273120","3381197169","103","377210141","68823815","13846380","128633775","143424826","20359384","48200510"
"FAPP-cpupa","Thread","0","2","6","all","0","1","161475168","3229403569","103","360592432","65857367","13308479","128764611","143342628","20416114","48087378"
"FAPP-cpupa","Thread","0","2","7","all","0","1","169475776","3388387832","103","378002152","68978452","13871972","128688441","143422196","20261020","48252478"
"FAPP-cpupa","Thread","0","2","8","all","0","1","161696192","3229668420","103","360638389","65863039","13309409","128654641","143376775","20359013","48216657"
"FAPP-cpupa","Thread","0","2","9","all","0","1","178703552","3563891099","103","397191829","72410370","14494094","128609538","143503309","20319434","48184295"
"FAPP-cpupa","Thread","0","2","10","all","0","1","161423968","3226124073","103","360254523","65792999","13296900","128572778","143526059","20340281","48173308"
"FAPP-cpupa","Thread","0","2","11","all","0","1","161463136","3219549667","103","359522434","65664574","13273552","128719033","143346667","20397419","48141649"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","380275328","7604807160","1212","919636032","179666966","48101069","1529090010","1704124217","240084281","571160622"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","31691296","633752648","101","76764084","14972631","4008468","128287508","142775649","18929077","47080336"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","31687040","633694788","101","76626656","14971367","4008274","127410098","141895730","20183884","47547836"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","31691232","633760068","101","76620445","14972811","4008520","127445313","141838081","20079757","47673981"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","31687040","633694425","101","76624800","14971383","4008280","127300756","141912474","20269896","47552510"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","31684736","633649062","101","76623491","14970464","4008119","127303235","141991943","20047938","47692290"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","31691264","633759439","101","76627705","14972804","4008518","127304343","141963444","20090333","47679030"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","31687200","633698461","101","76606298","14971481","4008298","127437588","141882434","20149559","47569533"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","31691296","633760356","101","76632574","14972822","4008522","127358330","141957646","19990514","47729200"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","31691008","633759235","101","76629611","14972796","4008517","127325469","141918278","20091546","47697034"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","31691072","633760260","101","76626825","14972813","4008520","127280832","142039920","20048463","47663384"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","31691072","633758297","101","76632797","14972773","4008511","127244759","142061293","20071780","47652312"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","31691072","633760121","101","76620746","14972821","4008522","127391779","141887325","20131534","47623176"
"FAPP-cpupa","Process","0","3","-","all","0","12","2304057312","40799040313","36286","4607341015","830386504","166986800","3062578756","3471047619","1807579647","1905641446"
"FAPP-cpupa","Thread","0","3","0","all","0","1","487399904","4598717155","35153","566694596","92824909","18193144","1647225211","1893694093","1583503383","1375802976"
"FAPP-cpupa","Thread","0","3","1","all","0","1","161175744","3223412581","103","359953168","65727202","13287349","128752062","143328771","20334045","48185784"
"FAPP-cpupa","Thread","0","3","2","all","0","1","161126528","3201958119","103","357605846","65307202","13211326","128617554","143370169","20529841","48081553"
"FAPP-cpupa","Thread","0","3","3","all","0","1","169183584","3383641328","103","377489762","68869230","13855318","128641404","143428244","20313974","48210548"
"FAPP-cpupa","Thread","0","3","4","all","0","1","161175328","3222362928","103","359833123","65706658","13283631","128621160","143432099","20350581","48197780"
"FAPP-cpupa","Thread","0","3","5","all","0","1","161175904","3197435649","103","357100762","65219262","13195205","128769724","143329730","20429686","48075436"
"FAPP-cpupa","Thread","0","3","6","all","0","1","169300032","3376260440","103","376662651","68727748","13829064","128715307","143380631","20285150","48234028"
"FAPP-cpupa","Thread","0","3","7","all","0","1","161120352","3218105671","103","359351136","65622190","13268433","128667773","143362001","20350841","48228674"
"FAPP-cpupa","Thread","0","3","8","all","0","1","169154496","3380700975","103","377155105","68809392","13844819","128635393","143483496","20316600","48170658"
"FAPP-cpupa","Thread","0","3","9","all","0","1","161391520","3196368742","103","356974426","65199357","13191537","128561615","143515109","20324624","48191136"
"FAPP-cpupa","Thread","0","3","10","all","0","1","180683392","3576697605","103","398593866","72646745","14539680","128704124","143359180","20404126","48146256"
"FAPP-cpupa","Thread","0","3","11","all","0","1","161170528","3223379120","103","359926574","65726609","13287294","128667429","143364096","20436796","48116617"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","379762560","7594540737","1212","918471144","179455297","48063343","1529055180","1704150426","240170131","571091161"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","31648160","632897707","101","76688952","14955029","4005350","128262086","142831389","19027820","46942645"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","31648224","632898292","101","76535450","14955055","4005354","127428733","141872131","20069645","47668983"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","31648192","632898321","101","76534687","14955052","4005355","127294015","141913062","20262425","47565856"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","31648160","632898412","101","76546803","14955054","4005356","127318390","141974181","20049195","47694620"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","31648224","632897853","101","76530006","14955042","4005352","127299388","141973927","20085722","47680013"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","31644448","632842872","101","76518202","14953831","4005149","127444172","141872244","20161336","47559086"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","31644160","632835075","101","76519771","14953637","4005112","127389724","141919396","20015827","47712858"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","31643968","632833841","101","76506780","14953617","4005109","127343055","141901214","20082510","47709007"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","31648000","632897856","101","76533767","14955046","4005354","127310401","142025361","20048138","47652944"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","31648224","632897621","101","76514602","14955037","4005350","127239450","142057568","20060429","47674455"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","31644512","632843651","101","76528986","14953832","4005146","127377247","141899640","20132496","47627006"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","31648288","632899236","101","76513138","14955065","4005356","127348519","141910313","20174588","47603688"
"FAPP-cpupa","Process","0","0","-","all","0","12","2330110496","42616015884","36792","4834264466","868123806","174674818","4157449469","4567460558","2345261878","2478390550"
"FAPP-cpupa","Thread","0","0","0","all","0","1","485527552","5777587249","35659","723695846","116066394","22481774","2741481683","2991359372","2119820239","1949240380"
"FAPP-cpupa","Thread","0","0","1","all","0","1","172407328","3445050097","103","384205824","70259574","14176578","128737605","143204615","20495917","48170689"
"FAPP-cpupa","Thread","0","0","2","all","0","1","163208192","3254499532","103","363350937","66518091","13500851","128654632","143241713","20614555","48085028"
"FAPP-cpupa","Thread","0","0","3","all","0","1","163202176","3253524704","103","363241773","66498879","13497393","128694454","143267826","20383884","48245327"
