"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:55 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.971936","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312586","-","-","1"
"FAPP-time-stat","0","1","all","0","4.930656","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312607","-","-","1"
"FAPP-time-stat","0","3","all","0","4.908242","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316329","-","-","1"
"FAPP-time-stat","0","2","all","0","4.876101","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.316693","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0049","0x0202","0x0059","0x0302","0x0005","0x002d","0x0001","0x0326"
"FAPP-cpupa","Process","0","0","-","all","0","12","2395253632","43769376618","21454367","21247504","25837272","25836634","3655621","18748","1149632","1505694"
"FAPP-cpupa","Thread","0","0","0","all","0","1","497197568","6100092932","2526974","2501938","2885272","2885155","3629368","18329","1129560","172568"
"FAPP-cpupa","Thread","0","0","1","all","0","1","168722912","3374428388","1726258","1709648","2097177","2097129","2187","32","1422","123215"
"FAPP-cpupa","Thread","0","0","2","all","0","1","168729216","3352766546","1725618","1708955","2096670","2096623","2258","36","1616","128701"
"FAPP-cpupa","Thread","0","0","3","all","0","1","176733632","3511002027","1717408","1700786","2077765","2077726","3478","88","3738","122463"
"FAPP-cpupa","Thread","0","0","4","all","0","1","168729280","3336385242","1725546","1708857","2097561","2097514","2374","34","1777","125558"
"FAPP-cpupa","Thread","0","0","5","all","0","1","176571392","3493067953","1726850","1710276","2098546","2098498","2281","32","1718","121148"
"FAPP-cpupa","Thread","0","0","6","all","0","1","168679552","3335226886","1717693","1701316","2081509","2081460","2254","39","1606","120491"
"FAPP-cpupa","Thread","0","0","7","all","0","1","186607008","3732109109","1716566","1700044","2077601","2077544","2234","25","1366","119068"
"FAPP-cpupa","Thread","0","0","8","all","0","1","176936672","3495092293","1716285","1699748","2078068","2078021","2282","33","1711","122015"
"FAPP-cpupa","Thread","0","0","9","all","0","1","168717664","3341430305","1718006","1701592","2082030","2081988","2312","32","1649","113794"
"FAPP-cpupa","Thread","0","0","10","all","0","1","168949888","3351743236","1718628","1702289","2080841","2080798","2280","34","1674","121149"
"FAPP-cpupa","Thread","0","0","11","all","0","1","168678848","3346031701","1718535","1702055","2084232","2084178","2313","34","1795","115524"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","375154880","7502483079","20432704","20238566","24771361","24771179","2382","2","3938","1447581"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","31265344","625233965","1693260","1678668","2050011","2049933","301","2","414","128981"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","31264224","625232856","1709098","1692696","2076137","2076127","192","0","300","121843"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","31263872","625226253","1708469","1692012","2075538","2075525","189","0","324","127368"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","31263872","625225876","1700407","1683993","2056769","2056768","189","0","323","121025"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","31260544","625165702","1708427","1691945","2076570","2076559","192","0","336","124211"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","31260704","625169373","1709732","1693364","2077479","2077469","191","0","327","119841"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","31264000","625229927","1700589","1684413","2060617","2060607","188","0","315","119230"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","31264064","625232616","1699543","1683232","2056786","2056768","192","0","303","117760"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","31259776","625150380","1699320","1682991","2057268","2057261","184","0","322","120663"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","31264384","625232155","1700919","1684715","2061091","2061086","191","0","315","112602"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","31263680","625221158","1701528","1685394","2059901","2059897","186","0","327","119793"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","31260416","625162818","1701412","1685143","2063194","2063179","187","0","332","114264"
"FAPP-cpupa","Process","0","1","-","all","0","12","2366038304","41196052253","21465447","21257500","25840535","25839959","3350446","18303","1103801","1504153"
"FAPP-cpupa","Thread","0","1","0","all","0","1","493069408","3911412447","2531744","2506170","2878313","2878220","3336917","17937","1086138","170533"
"FAPP-cpupa","Thread","0","1","1","all","0","1","166706432","3334098271","1726543","1709949","2098686","2098641","1093","29","1390","123997"
