"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:27:47 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.682754","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109176","-","-","1"
"FAPP-time-stat","0","2","all","0","4.655089","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.105371","-","-","1"
"FAPP-time-stat","0","3","all","0","4.639670","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105505","-","-","1"
"FAPP-time-stat","0","1","all","0","4.613163","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.105408","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80c0","0x80c1","0x0017","0x0018","0x0325","0x0326","0x0121","0x8000"
"FAPP-cpupa","Process","0","0","-","all","0","12","2038478592","38490088140","2655984044","120935077","36586129","4553177","7692607","675663","19930417196","1587722429"
"FAPP-cpupa","Thread","0","0","0","all","0","1","468280320","7152176791","221383084","120934857","4084088","1643202","701165","89907","18000687428","134212250"
"FAPP-cpupa","Thread","0","0","1","all","0","1","139325088","2785295286","221327360","20","2956100","263268","636664","51055","175429785","132137289"
"FAPP-cpupa","Thread","0","0","2","all","0","1","147303712","2941775565","221327360","20","2953569","247208","628397","57941","175433952","132137289"
"FAPP-cpupa","Thread","0","0","3","all","0","1","139055712","2781010461","221327360","20","2952873","227401","640329","48678","175419180","132137289"
"FAPP-cpupa","Thread","0","0","4","all","0","1","146978528","2929685182","221327360","20","2957802","310039","631621","58072","175461654","132137289"
"FAPP-cpupa","Thread","0","0","5","all","0","1","139054560","2770161697","221327360","20","2956072","250665","638511","50713","175420192","132137289"
"FAPP-cpupa","Thread","0","0","6","all","0","1","139054752","2764720252","221327360","20","2955190","258892","634452","56228","175416890","132137289"
"FAPP-cpupa","Thread","0","0","7","all","0","1","139055136","2778713553","221327360","20","2954215","278935","639673","49318","175419674","132137289"
"FAPP-cpupa","Thread","0","0","8","all","0","1","139061312","2766042717","221327360","20","2954773","269135","635191","55242","175420768","132137289"
"FAPP-cpupa","Thread","0","0","9","all","0","1","146863520","2931778620","221327360","20","2955463","257319","639738","50840","175430527","132137289"
"FAPP-cpupa","Thread","0","0","10","all","0","1","155389792","3107643103","221327360","20","2949596","276644","627050","58326","175464631","132137289"
"FAPP-cpupa","Thread","0","0","11","all","0","1","139056160","2781084913","221327360","20","2956388","270469","639816","49343","175412515","132137289"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","131071264","2620682849","2629632000","0","35062940","3080474","7514979","628276","2081959384","1569947400"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10924192","218414255","219136000","0","2891492","226110","593083","49871","173524984","130828950"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10916800","218287434","219136000","0","2925885","258091","630225","50444","173495403","130828950"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10920320","218357441","219136000","0","2923727","242398","622157","57275","173493989","130828950"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10924256","218416062","219136000","0","2922780","222620","633891","48031","173493860","130828950"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10920480","218360134","219136000","0","2926967","304032","625259","57329","173493843","130828950"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10924224","218415789","219136000","0","2926168","245667","632174","50062","173495499","130828950"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10924192","218415249","219136000","0","2925334","253910","628238","55499","173493934","130828950"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10924128","218415716","219136000","0","2924464","273730","633398","48690","173493517","130828950"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10920064","218353690","219136000","0","2924903","264348","628946","54515","173493544","130828950"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10924288","218415711","219136000","0","2925631","252458","633450","50220","173494571","130828950"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10924192","218415552","219136000","0","2919211","271342","620807","57613","173493253","130828950"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10924128","218415816","219136000","0","2926378","265768","633351","48727","173492987","130828950"
"FAPP-cpupa","Process","0","2","-","all","0","12","2086662976","36355536257","2655984044","120935076","37770701","4565117","8303413","1000650","7184807663","1587721323"
"FAPP-cpupa","Thread","0","2","0","all","0","1","465514144","4069721594","221383084","120934856","4288754","1640902","765993","134072","5255012040","134211144"
