"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:51 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.798982","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109238","-","-","1"
"FAPP-time-stat","0","2","all","0","4.773803","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.105380","-","-","1"
"FAPP-time-stat","0","1","all","0","4.747421","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109076","-","-","1"
"FAPP-time-stat","0","3","all","0","4.716597","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105359","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8091","0x8092","0x80bc","0x80af","0x809f","0x009f","0x8043","0x0012"
"FAPP-cpupa","Process","0","0","-","all","0","12","2074677376","36673673400","283908346","15204673","0","0","16","1609045","1513430","1613349621"
"FAPP-cpupa","Thread","0","0","0","all","0","1","479903008","4804206146","23666628","1268289","0","0","16","1608781","1513320","1609718321"
"FAPP-cpupa","Thread","0","0","1","all","0","1","150153824","2997568146","23658338","1266944","0","0","0","24","10","346981"
"FAPP-cpupa","Thread","0","0","2","all","0","1","150036256","3000539725","23658338","1266944","0","0","0","24","10","330631"
"FAPP-cpupa","Thread","0","0","3","all","0","1","140044928","2800858919","23658338","1266944","0","0","0","24","10","326772"
"FAPP-cpupa","Thread","0","0","4","all","0","1","164158720","3283132901","23658338","1266944","0","0","0","24","10","332420"
"FAPP-cpupa","Thread","0","0","5","all","0","1","150006080","3000012967","23658338","1266944","0","0","0","24","10","330360"
"FAPP-cpupa","Thread","0","0","6","all","0","1","140039488","2796466895","23658338","1266944","0","0","0","24","10","327667"
"FAPP-cpupa","Thread","0","0","7","all","0","1","140265664","2795631537","23658338","1266944","0","0","0","24","10","327385"
"FAPP-cpupa","Thread","0","0","8","all","0","1","140039840","2798401285","23658338","1266944","0","0","0","24","10","327264"
"FAPP-cpupa","Thread","0","0","9","all","0","1","139994528","2797479871","23658338","1266944","0","0","0","24","10","327282"
"FAPP-cpupa","Thread","0","0","10","all","0","1","139994944","2799791124","23658338","1266944","0","0","0","24","10","326746"
"FAPP-cpupa","Thread","0","0","11","all","0","1","140040096","2799583884","23658338","1266944","0","0","0","24","10","327792"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","131142592","2622166975","281088588","15052800","0","0","0","96","0","3407642"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10930944","218537334","23424049","1254400","0","0","0","8","0","287532"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10929888","218538614","23424049","1254400","0","0","0","8","0","284085"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10925856","218469128","23424049","1254400","0","0","0","8","0","283655"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10929920","218538242","23424049","1254400","0","0","0","8","0","283805"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10930016","218539314","23424049","1254400","0","0","0","8","0","283674"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10929728","218539250","23424049","1254400","0","0","0","8","0","283928"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10925504","218462203","23424049","1254400","0","0","0","8","0","283532"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10929888","218539356","23424049","1254400","0","0","0","8","0","283729"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10929888","218538586","23424049","1254400","0","0","0","8","0","283462"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10929952","218539859","23424049","1254400","0","0","0","8","0","283588"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10925312","218458883","23424049","1254400","0","0","0","8","0","283252"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10925696","218466206","23424049","1254400","0","0","0","8","0","283400"
"FAPP-cpupa","Process","0","2","-","all","0","12","2044063104","35298307081","283908346","15204673","0","0","16","1608368","1514125","900249322"
"FAPP-cpupa","Thread","0","2","0","all","0","1","477385184","3985391559","23666628","1268289","0","0","16","1608104","1514015","896633674"
"FAPP-cpupa","Thread","0","2","1","all","0","1","137711296","2749931026","23658338","1266944","0","0","0","24","10","327582"
"FAPP-cpupa","Thread","0","2","2","all","0","1","137717376","2751892918","23658338","1266944","0","0","0","24","10","327652"
"FAPP-cpupa","Thread","0","2","3","all","0","1","159337408","3185531529","23658338","1266944","0","0","0","24","10","332954"
