"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:58 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.732272","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109130","-","-","1"
"FAPP-time-stat","0","3","all","0","4.691428","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105366","-","-","1"
"FAPP-time-stat","0","1","all","0","4.679445","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109046","-","-","1"
"FAPP-time-stat","0","2","all","0","4.657765","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109167","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80a5","0x80a6","0x8038","0x0105","0x0113","0x0108","0x0112","0x011a"
"FAPP-cpupa","Process","0","0","-","all","0","12","2115385312","38146567858","0","0","1283","209546045","30485763","35079","302850838","37309299"
"FAPP-cpupa","Thread","0","0","0","all","0","1","473231936","5451670224","0","0","1085","37469635","23369720","33946","129347233","3112719"
"FAPP-cpupa","Thread","0","0","1","all","0","1","152394176","3043629678","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","0","2","all","0","1","161895424","3237867432","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","0","3","all","0","1","146198592","2903175822","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","0","4","all","0","1","152019008","3025171899","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","0","5","all","0","1","146205280","2924068433","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","0","6","all","0","1","146199072","2921573916","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","0","7","all","0","1","146427008","2902509382","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","0","8","all","0","1","146197792","2914255781","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","0","9","all","0","1","152219520","3012845456","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","0","10","all","0","1","146198240","2922800431","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","0","11","all","0","1","146199264","2886999404","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","131016288","2619628488","0","0","0","185860824","7689115","1212","187405923","36936000"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10920352","218325149","0","0","0","15488413","644440","101","15621024","3078000"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10919200","218325863","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10919296","218326220","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10915552","218263002","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10914912","218249576","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10919264","218325348","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10919072","218325421","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10919584","218325110","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10919168","218325711","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10915264","218256372","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10919456","218326181","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10915168","218254535","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Process","0","3","-","all","0","12","2046173760","37091690575","0","0","1281","209546151","30486285","34370","302851555","37309299"
"FAPP-cpupa","Thread","0","3","0","all","0","1","469147520","5679693144","0","0","1083","37469741","23370242","33237","129347950","3112719"
"FAPP-cpupa","Thread","0","3","1","all","0","1","139815360","2775663171","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","3","2","all","0","1","147769120","2933584638","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","3","3","all","0","1","139815904","2796212442","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","3","4","all","0","1","147914144","2955877146","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","3","5","all","0","1","147795840","2940775252","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","3","6","all","0","1","139809952","2791950678","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","3","7","all","0","1","140037920","2784390392","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","3","8","all","0","1","154732064","3084874324","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","3","9","all","0","1","139810496","2785280181","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","3","10","all","0","1","139765920","2779002535","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","3","11","all","0","1","139759520","2784386672","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","126505856","2529379368","0","0","0","185860824","7689115","1212","187405923","36936000"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","10543648","210801606","0","0","0","15488413","644440","101","15621024","3078000"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","10539712","210745534","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","10543616","210802837","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","10539136","210735242","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","10543456","210802993","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","10543552","210803498","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","10543520","210802971","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","10543520","210803407","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","10539264","210734456","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","10543616","210803366","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","10539488","210740054","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","10543328","210803404","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Process","0","1","-","all","0","12","2059901152","37670438455","0","0","1281","209546301","30486694","34366","302852021","37309299"
"FAPP-cpupa","Thread","0","1","0","all","0","1","467949184","5898315918","0","0","1083","37469891","23370651","33233","129348416","3112719"
"FAPP-cpupa","Thread","0","1","1","all","0","1","141805952","2831831470","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","1","2","all","0","1","157049504","3139718475","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","1","3","all","0","1","141856192","2827390273","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","1","4","all","0","1","141857088","2831547763","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","1","5","all","0","1","141856448","2837031535","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","1","6","all","0","1","141805536","2832874891","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","1","7","all","0","1","149823168","2981350359","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","1","8","all","0","1","150121792","3002397987","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","1","9","all","0","1","141856864","2826158206","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","1","10","all","0","1","141805280","2836004133","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Thread","0","1","11","all","0","1","142114144","2825817445","0","0","18","15643310","646913","103","15773055","3108780"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","130907808","2617482446","0","0","0","185860824","7689115","1212","187405923","36936000"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","10910880","218151988","0","0","0","15488413","644440","101","15621024","3078000"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","10906688","218086327","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","10910560","218152583","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","10907136","218095522","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","10910688","218152592","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","10910880","218153143","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","10910624","218152420","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","10910528","218153116","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","10910880","218152683","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","10907072","218091831","0","0","0","15488401","640425","101","15616809","3078000"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","10907200","218095933","0","0","0","15488401","640425","101","15616809","3078000"
