"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:05 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.714433","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.122488","-","-","1"
"FAPP-time-stat","0","3","all","0","4.680922","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.117976","-","-","1"
"FAPP-time-stat","0","2","all","0","4.662667","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.122360","-","-","1"
"FAPP-time-stat","0","1","all","0","4.640749","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.117854","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8008","0x0198","0x0199","0x0139","0x0010","0x0012","-","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2085646400","37211279130","12735353286","71046582","4","12653004881","5560848","2142375171","0","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","471448128","5127869472","10800431647","70575272","4","10718988286","5533593","2138752704","0","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","155758400","3115127865","175905109","44941","0","175818317","2288","330686","0","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","155652224","3094630661","175910751","44727","0","175824694","2320","331295","0","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","143340768","2837515372","175888450","41363","0","175808887","2372","327070","0","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","155713120","3090937144","175916655","44889","0","175830261","2115","331915","0","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","143343904","2841796249","175893652","41730","0","175813444","2053","327872","0","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","143340768","2866660488","175935180","45428","0","175848812","2426","334251","0","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","143338432","2842849266","175897197","41769","0","175817110","3979","328269","0","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","143342080","2838134993","175887964","41236","0","175809021","2060","326842","0","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","143339264","2848962945","175892969","41693","0","175812826","1972","327803","0","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","143348160","2852819255","175893337","41684","0","175813097","1854","327729","0","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","143681152","2853975420","175900375","41850","0","175820126","3816","328735","0","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","147044032","2940189233","2087023696","68894","0","2086908442","14077","3409860","0","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","12255456","245035584","173953444","6708","0","173943326","508","287714","0","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","12255072","245036752","173917561","6130","0","173907069","1286","284355","0","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","12254848","245036147","173915964","5749","0","173906312","1046","283987","0","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","12254976","245036774","173915749","5700","0","173906045","1251","283856","0","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","12250976","244971872","173915518","5589","0","173906026","839","283878","0","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","12251328","244980598","173916058","5788","0","173906126","865","283961","0","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","12254720","245036226","173915408","5721","0","173905876","528","283774","0","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","12251200","244975840","173915127","5601","0","173905711","2737","283736","0","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","12254912","245036862","173913639","5412","0","173904799","938","283432","0","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","12254880","245036990","173915805","5682","0","173906093","818","283876","0","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","12254848","245036610","173915369","5544","0","173905833","700","283756","0","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","12250816","244968978","173914054","5270","0","173905226","2561","283535","0","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2042386144","35583913803","9892578844","70971396","4","9810458368","5547876","1434484196","0","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","468096768","4269441917","7957735545","70512349","4","7876496316","5528644","1430874770","0","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","148656192","2951328161","175897513","43095","0","175814681","1513","329022","0","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","141021792","2805937256","175937385","44885","0","175852240","2865","334596","0","0"
