"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:11 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.738064","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.118006","-","-","1"
"FAPP-time-stat","0","3","all","0","4.688157","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.109142","-","-","1"
"FAPP-time-stat","0","2","all","0","4.683679","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.117110","-","-","1"
"FAPP-time-stat","0","1","all","0","4.669761","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.117920","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8095","0x8096","0x807c","0x800e","0x0109","0x010a","0x0077","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2170663904","39319608390","2312","0","1840","492","186484226","9059778","0","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","473811136","5510323194","1938","0","1840","492","15830182","9059437","0","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","154941088","3096435459","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","155048064","3100861648","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","154875936","3096308752","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","155048576","3100823332","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","154876768","3082365190","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","154874048","3065906367","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","154874624","3093209645","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","155273184","3068460078","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","154871904","3097329890","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","147296736","2936207738","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","154871840","3071377097","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","141669312","2832683296","204","0","0","0","184324800","24","0","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11807680","236073750","17","0","0","0","15360400","13","0","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11806720","236075098","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11806816","236074893","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11802560","236003004","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11806624","236076001","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11806880","236075501","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11802816","236008552","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11806560","236073576","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11806752","236075089","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11802368","235998991","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11806720","236074008","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11806816","236074833","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2159869856","37374030204","2312","0","1840","492","186482765","9058536","0","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","468820256","3700941423","1938","0","1840","492","15828721","9058195","0","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","152541568","3050793950","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","152536544","3049579270","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","152850496","3020038925","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","144968512","2895130471","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","152540864","3041067460","34","0","0","0","15514004","31","0","0"
