"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:19 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.796145","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117235","-","-","1"
"FAPP-time-stat","0","3","all","0","4.766273","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.116995","-","-","1"
"FAPP-time-stat","0","2","all","0","4.749885","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.116998","-","-","1"
"FAPP-time-stat","0","1","all","0","4.723228","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.117098","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0230","0x0231","0x0232","0x0233","0x0234","0x0235","0x0236","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2089634304","37786467553","18477354","0","0","24467214","0","0","7127326","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","479619200","5703494033","2559429","0","0","2709362","0","0","1519309","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","147114304","2929857831","1446523","0","0","1972089","0","0","509112","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","147430080","2937680763","1447244","0","0","1974743","0","0","511921","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","147158848","2943043366","1448751","0","0","1985164","0","0","509865","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","146976672","2922988232","1446061","0","0","1982449","0","0","505549","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","147040544","2925858833","1446561","0","0","1972694","0","0","515081","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","146977472","2939511046","1449399","0","0","1979731","0","0","509750","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","146978304","2923034976","1446229","0","0","1980064","0","0","511765","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","146975136","2924844882","1447216","0","0","1983023","0","0","504820","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","146977056","2939501896","1446055","0","0","1973991","0","0","507469","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","146976032","2928532182","1445046","0","0","1980340","0","0","514423","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","139410656","2768119513","1448840","0","0","1973564","0","0","508262","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","140738816","2814078466","17507280","0","0","23763163","0","0","6340951","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11730560","234532213","1747410","0","0","2221705","0","0","792322","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11725760","234467464","1432150","0","0","1952353","0","0","503549","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11729472","234531696","1432781","0","0","1955099","0","0","506511","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11723360","234419582","1434365","0","0","1965532","0","0","504551","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11729952","234532591","1431711","0","0","1962883","0","0","500229","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11729632","234532267","1432210","0","0","1952962","0","0","509676","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11729600","234533305","1435023","0","0","1960123","0","0","504369","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11725568","234464534","1431834","0","0","1960314","0","0","506174","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11729760","234532284","1432877","0","0","1963249","0","0","499462","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11729632","234532747","1431734","0","0","1954351","0","0","502141","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11725920","234468444","1430719","0","0","1960698","0","0","509007","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11729600","234531339","1434466","0","0","1953894","0","0","502960","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2132363712","39460953344","18472985","0","0","24475072","0","0","7114745","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","476631936","6391397935","2562720","0","0","2711572","0","0","1510706","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","148624704","2968132394","1447103","0","0","1969503","0","0","507833","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","148622080","2968636903","1445778","0","0","1979556","0","0","509132","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","149025152","2976014897","1446251","0","0","1986832","0","0","509657","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","148665184","2970654823","1446976","0","0","1974118","0","0","510982","0"
