"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:26 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.791782","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117194","-","-","1"
"FAPP-time-stat","0","1","all","0","4.746886","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.117143","-","-","1"
"FAPP-time-stat","0","3","all","0","4.726786","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.117100","-","-","1"
"FAPP-time-stat","0","2","all","0","4.724808","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.116953","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x02b2","0x02b1","0x02b0","0x02b8","0x02b9","0x0260","0x0261","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2155628352","37463120538","481","12411790","37233127","27974733723","23967990614","1748421400","1497999967","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","479182880","4019005795","481","1035150","3103207","19548086443","19015572326","1221755955","1188473823","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","151796672","3034737529","0","1034240","3102720","765171408","450540464","47823215","28158777","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","161466656","3212594228","0","1034240","3102720","766116384","451602624","47882272","28225165","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","151400352","3007372456","0","1034240","3102720","764233456","451550256","47764591","28221892","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","151403776","3012775402","0","1034240","3102720","766560032","449322816","47910000","28082674","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","161508576","3230132467","0","1034240","3102720","765194016","450580928","47824626","28161310","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","151399008","3027827116","0","1034240","3102720","765946896","449664624","47871676","28104038","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","151398688","3023528102","0","1034240","3102720","766672640","450418608","47917039","28151163","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","151400640","3025574617","0","1034240","3102720","767267232","449814176","47954202","28113387","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","151401536","3023821406","0","1034240","3102720","765588384","450175280","47849274","28135955","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","151438496","3019020409","0","1034240","3102720","768391712","448498528","48024481","28031159","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","141831072","2826731011","0","1034240","3102720","765505120","450249984","47844069","28140624","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","140695328","2813189015","0","12288000","36864000","9087043056","5346785584","567940191","334174100","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11726432","234446509","0","1024000","3072000","756031664","446242752","47251985","27890165","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11725472","234448643","0","1024000","3072000","756508864","445854672","47281803","27865917","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11721696","234385782","0","1024000","3072000","757024544","446595008","47314033","27912190","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11725696","234449133","0","1024000","3072000","755629600","446878192","47226850","27929888","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11725536","234449754","0","1024000","3072000","757771328","444532368","47360707","27783275","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11725280","234449088","0","1024000","3072000","756531392","445944928","47283212","27871558","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11725632","234448951","0","1024000","3072000","757283280","444989632","47330204","27811852","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11721376","234379683","0","1024000","3072000","758016304","445725888","47376018","27857869","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11725568","234449571","0","1024000","3072000","758626160","445127120","47414135","27820445","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11725600","234448751","0","1024000","3072000","756954208","445482528","47309637","27842660","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11725504","234449918","0","1024000","3072000","759757136","443837472","47484823","27739841","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11721536","234383232","0","1024000","3072000","756908576","445575024","47306784","27848440","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2121391584","38526850706","434","12411714","37233069","59288938272","55299870817","3705559191","3456242488","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","474693312","5883819685","434","1035074","3103149","50860546848","50344266913","3178784738","3146517242","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","148966016","2938227022","0","1034240","3102720","766924512","449831888","47932781","28114493","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","156582976","3131561301","0","1034240","3102720","765307712","450261760","47831731","28141361","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","148969760","2939355515","0","1034240","3102720","765259696","451999296","47828730","28249957","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","148965792","2939256302","0","1034240","3102720","766078304","450846352","47879893","28177895","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","148969984","2950239108","0","1034240","3102720","766000528","450965024","47875033","28185314","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","148962688","2955596276","0","1034240","3102720","767441984","450191936","47965119","28136995","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","149272256","2950826342","0","1034240","3102720","765454480","450292768","47840905","28143298","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","148962784","2944653481","0","1034240","3102720","766051184","450363264","47878198","28147704","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","141422528","2799272397","0","1034240","3102720","766041392","450514864","47877587","28157180","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","156525632","3112123543","0","1034240","3102720","767425136","449613792","47964070","28100863","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","149097856","2981919734","0","1034240","3102720","766406496","450722960","47900406","28170186","0"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","140624256","2811810187","0","12288000","36864000","9089710112","5350504688","568106875","334406544","0"
