"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:33 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.780213","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109132","-","-","1"
"FAPP-time-stat","0","3","all","0","4.753636","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105499","-","-","1"
"FAPP-time-stat","0","1","all","0","4.730494","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109074","-","-","1"
"FAPP-time-stat","0","2","all","0","4.703824","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109083","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0309","0x0396","0x0370","0x0121","0x0318","0x0319","0x031a","0x031b"
"FAPP-cpupa","Process","0","0","-","all","0","12","2086865472","36924760603","435713020","92214604","7807483","10696550840","48158440","366914","360488","183036"
"FAPP-cpupa","Thread","0","0","0","all","0","1","478026144","4896354426","36494201","7693488","664153","8766773363","4589023","66597","62697","35736"
"FAPP-cpupa","Thread","0","0","1","all","0","1","150532832","2990074060","36295589","7683971","649711","175434564","3962264","28288","27993","13597"
"FAPP-cpupa","Thread","0","0","2","all","0","1","142330368","2820581205","36292192","7683697","649411","175422430","3959407","26516","26394","13310"
"FAPP-cpupa","Thread","0","0","3","all","0","1","142329792","2845244057","36289954","7683540","649021","175462149","3959005","26225","26020","12849"
"FAPP-cpupa","Thread","0","0","4","all","0","1","150141888","3002729007","36291549","7683632","649246","175432105","3961683","27892","27604","13170"
"FAPP-cpupa","Thread","0","0","5","all","0","1","142331040","2844215771","36292174","7683695","649404","175423772","3959431","26543","26394","13308"
"FAPP-cpupa","Thread","0","0","6","all","0","1","161253440","3224813817","36296007","7683997","649672","175480242","3968333","31298","30608","15128"
"FAPP-cpupa","Thread","0","0","7","all","0","1","142323616","2809449046","36292215","7683696","649412","175418585","3959390","26071","25991","12859"
"FAPP-cpupa","Thread","0","0","8","all","0","1","150360640","3002961019","36294719","7683948","649641","175431644","3961985","28175","27950","13589"
"FAPP-cpupa","Thread","0","0","9","all","0","1","142330688","2831474249","36292165","7683696","649407","175422907","3959405","26538","26394","13309"
"FAPP-cpupa","Thread","0","0","10","all","0","1","142329792","2815056775","36290041","7683551","649011","175425324","3959079","26232","26049","12872"
"FAPP-cpupa","Thread","0","0","11","all","0","1","142575232","2841807171","36292214","7683693","649394","175423755","3959435","26539","26394","13309"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","131016768","2619638619","420743262","90187245","7546056","2081958697","36978544","15771","19166","7435"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10920672","218326997","35061944","7515592","628834","173524980","3081543","1325","1609","637"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10919360","218329551","35062109","7515616","628868","173495379","3081563","1330","1610","645"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10919264","218328677","35062060","7515612","628854","173493570","3081563","1322","1609","633"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10915328","218257928","35061704","7515592","628806","173494558","3081520","1291","1574","582"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10914944","218249759","35061641","7515586","628796","173493913","3081516","1291","1572","582"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10919648","218329411","35062173","7515627","628870","173494869","3081570","1325","1609","637"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10914624","218244776","35061476","7515560","628768","173493749","3081490","1291","1572","582"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10919552","218329647","35062184","7515629","628874","173493784","3081572","1325","1609","637"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10919424","218329323","35062085","7515607","628862","173493388","3081557","1330","1610","645"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10919392","218329180","35062129","7515622","628863","173494103","3081566","1321","1609","631"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10915136","218253780","35061635","7515583","628794","173492830","3081514","1291","1574","582"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10919424","218329590","35062122","7515619","628867","173493574","3081570","1329","1609","642"
"FAPP-cpupa","Process","0","3","-","all","0","12","2057674976","34973519969","448656468","99472943","11472300","5708321395","83661","126162","237988","48000650"
"FAPP-cpupa","Thread","0","3","0","all","0","1","475368384","3587212885","37639433","8297776","972336","3778631283","34593","42712","72819","4565701"
