"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:40 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.717142","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109178","-","-","1"
"FAPP-time-stat","0","3","all","0","4.688684","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105402","-","-","1"
"FAPP-time-stat","0","2","all","0","4.669639","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109130","-","-","1"
"FAPP-time-stat","0","1","all","0","4.653823","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109033","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0316","0x0314","0x0315","0x031e","0x031c","0x031d","0x0391","0x03ae"
"FAPP-cpupa","Process","0","0","-","all","0","12","2102798144","37947487204","335954991","60","0","48129544","28","0","335373170","36486"
"FAPP-cpupa","Thread","0","0","0","all","0","1","471719104","5459557386","28097961","5","0","4600644","28","0","28033619","5411"
"FAPP-cpupa","Thread","0","0","1","all","0","1","153344960","3066792929","27988932","5","0","3958555","0","0","27940339","3013"
"FAPP-cpupa","Thread","0","0","2","all","0","1","145361728","2904752888","27986570","5","0","3956302","0","0","27940005","2762"
"FAPP-cpupa","Thread","0","0","3","all","0","1","145361184","2906024115","27986970","5","0","3956354","0","0","27939958","2775"
"FAPP-cpupa","Thread","0","0","4","all","0","1","145310912","2874586676","27984575","5","0","3955894","0","0","27938698","2705"
"FAPP-cpupa","Thread","0","0","5","all","0","1","153612800","3072215071","27990589","5","0","3959913","0","0","27941911","3016"
"FAPP-cpupa","Thread","0","0","6","all","0","1","145311520","2905997668","27986132","5","0","3956785","0","0","27939386","2775"
"FAPP-cpupa","Thread","0","0","7","all","0","1","153301760","3045365738","27988046","5","0","3958371","0","0","27940269","2949"
"FAPP-cpupa","Thread","0","0","8","all","0","1","145578240","2907238251","27986565","5","0","3956383","0","0","27940038","2753"
"FAPP-cpupa","Thread","0","0","9","all","0","1","145355904","2870111854","27986029","5","0","3956254","0","0","27940031","2668"
"FAPP-cpupa","Thread","0","0","10","all","0","1","153229472","3054750375","27986275","5","0","3957890","0","0","27938976","2954"
"FAPP-cpupa","Thread","0","0","11","all","0","1","145310560","2880094253","27986347","5","0","3956199","0","0","27939940","2705"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","131078944","2620815008","323024276","0","0","36967205","0","0","323001624","1140"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10924320","218416231","26918714","0","0","3080601","0","0","26916807","95"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10924224","218416952","26918755","0","0","3080605","0","0","26916835","95"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10924320","218416870","26918753","0","0","3080607","0","0","26916843","95"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10924384","218417123","26918773","0","0","3080618","0","0","26916852","95"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10920288","218357968","26918498","0","0","3080572","0","0","26916707","95"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10924064","218416925","26918743","0","0","3080609","0","0","26916828","95"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10919904","218350629","26918482","0","0","3080566","0","0","26916697","95"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10924288","218416590","26918712","0","0","3080601","0","0","26916809","95"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10924320","218417537","26918798","0","0","3080614","0","0","26916846","95"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10924384","218417910","26918800","0","0","3080621","0","0","26916851","95"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10920160","218353208","26918495","0","0","3080580","0","0","26916719","95"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10924288","218417065","26918753","0","0","3080611","0","0","26916830","95"
"FAPP-cpupa","Process","0","3","-","all","0","12","2066943936","37596482328","337359005","60","0","48017253","21","0","337204007","34205"
"FAPP-cpupa","Thread","0","3","0","all","0","1","468873024","5686201356","28182434","5","0","4584714","21","0","28155544","5582"
"FAPP-cpupa","Thread","0","3","1","all","0","1","148818464","2971905927","28106369","5","0","3948471","0","0","28094554","3354"
"FAPP-cpupa","Thread","0","3","2","all","0","1","155853696","3112811631","28110723","5","0","3955715","0","0","28097255","3431"
"FAPP-cpupa","Thread","0","3","3","all","0","1","141003616","2820035091","28106695","5","0","3947386","0","0","28095467","1963"
