"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:27:55 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.860425","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109129","-","-","1"
"FAPP-time-stat","0","1","all","0","4.787472","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.105545","-","-","1"
"FAPP-time-stat","0","2","all","0","4.779112","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109028","-","-","1"
"FAPP-time-stat","0","3","all","0","4.766924","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105447","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0190","0x0191","0x0184","0x0186","0x0189","0x018c","0x018d","0x018e"
"FAPP-cpupa","Process","0","0","-","all","0","12","2117918208","39145761816","34251181550","419362454","1912642328","0","1543535735","30671934093","0","30558776560"
"FAPP-cpupa","Thread","0","0","0","all","0","1","486047328","6561569989","2277121901","317603979","954520412","0","695471757","505275761","0","396008823"
"FAPP-cpupa","Thread","0","0","1","all","0","1","153204512","3054313447","2998812074","9271122","85492676","0","77242059","2835953500","0","2835511337"
"FAPP-cpupa","Thread","0","0","2","all","0","1","145216576","2889111333","2833692880","9238718","85434963","0","77163348","2670990574","0","2670671247"
"FAPP-cpupa","Thread","0","0","3","all","0","1","145217056","2903194006","2847729971","9265912","86055431","0","76981504","2684583246","0","2684215558"
"FAPP-cpupa","Thread","0","0","4","all","0","1","145216320","2901799765","2846328129","9242457","87418765","0","76884059","2681900942","0","2681455156"
"FAPP-cpupa","Thread","0","0","5","all","0","1","145437056","2903185188","2847740134","9262755","86269586","0","77056412","2684308875","0","2683983137"
"FAPP-cpupa","Thread","0","0","6","all","0","1","145209440","2904146561","2848663727","9249476","86915407","0","77071720","2684573576","0","2684254117"
"FAPP-cpupa","Thread","0","0","7","all","0","1","163468736","3269263307","3213754876","9258281","87722733","0","77021533","3048890953","0","3048519396"
"FAPP-cpupa","Thread","0","0","8","all","0","1","153407616","3064873559","3009419217","9251060","87992634","0","77119833","2844198352","0","2843880504"
"FAPP-cpupa","Thread","0","0","9","all","0","1","145164512","2903123587","2847627336","9250520","87865013","0","77330661","2682321983","0","2681966503"
"FAPP-cpupa","Thread","0","0","10","all","0","1","145164736","2892295811","2836862372","9237740","88705053","0","77072122","2670982401","0","2670673881"
"FAPP-cpupa","Thread","0","0","11","all","0","1","145164320","2898885263","2843428933","9230434","88249655","0","77120727","2677953930","0","2677636901"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","131021600","2619659189","1962898272","108166036","1019341549","0","915066182","28318410","0","27446778"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10919520","218319638","163771951","8927112","84666404","0","76053432","3039451","0","3008605"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10919488","218320100","163540317","9039828","83359219","0","76416445","3738214","0","3569142"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10919584","218319949","163612978","9014948","83364939","0","76341286","3895136","0","3840362"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10919584","218319226","163573967","9038600","83935118","0","76159467","3463755","0","3383349"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10919552","218319565","163588389","9002870","85157939","0","76057087","2351813","0","2224534"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10919488","218319650","163589122","9037260","84189986","0","76234963","3151840","0","3092714"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10919488","218320714","163548593","9026246","84830569","0","76251243","2455991","0","2407123"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10915200","218256484","163479087","9018659","85522186","0","76197051","1744676","0","1663573"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10919168","218320761","163589307","9018724","85834184","0","76295784","1448740","0","1399438"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10915584","218263291","163486502","9022955","85722822","0","76507375","1241638","0","1163708"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10919552","218320179","163598526","9014186","86610013","0","76251272","726498","0","682775"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10915392","218259632","163519533","9004648","86148170","0","76300777","1060658","0","1011455"
"FAPP-cpupa","Process","0","1","-","all","0","12","2105061280","37317506325","33855255579","413052900","1785120790","0","1553523027","30399209330","0","30287936589"
"FAPP-cpupa","Thread","0","1","0","all","0","1","478751776","5053651694","2201747069","311252698","921074633","0","697510457","466962721","0","359224302"
"FAPP-cpupa","Thread","0","1","1","all","0","1","144738528","2858337601","2802851103","9283396","76205147","0","78042924","2648496766","0","2648194674"
"FAPP-cpupa","Thread","0","1","2","all","0","1","150941280","2978185401","2922683180","9264599","77123187","0","77822091","2767630657","0","2767329543"
"FAPP-cpupa","Thread","0","1","3","all","0","1","160765600","3215076766","3159527865","9266170","77980372","0","77581463","3003838424","0","3003451417"
"FAPP-cpupa","Thread","0","1","4","all","0","1","144689152","2868175315","2812712125","9267641","78027946","0","77844336","2656734927","0","2656439929"
"FAPP-cpupa","Thread","0","1","5","all","0","1","144738880","2865015535","2809535446","9239820","77975580","0","77664761","2653786573","0","2653457567"
"FAPP-cpupa","Thread","0","1","6","all","0","1","150607008","2992033294","2936551079","9278402","78573152","0","77935363","2779935200","0","2779635115"
"FAPP-cpupa","Thread","0","1","7","all","0","1","144689504","2858590319","2803096576","9245016","79363985","0","77696662","2645927467","0","2645597968"
"FAPP-cpupa","Thread","0","1","8","all","0","1","144682784","2869338670","2813863161","9239553","79764355","0","77790190","2656201953","0","2655868996"
"FAPP-cpupa","Thread","0","1","9","all","0","1","150763648","3015230693","2959774986","9235184","79204898","0","77621040","2802841112","0","2802536590"
"FAPP-cpupa","Thread","0","1","10","all","0","1","144960000","2880261374","2824762178","9257847","79254091","0","78055366","2667343667","0","2667019299"
"FAPP-cpupa","Thread","0","1","11","all","0","1","144733120","2863609663","2808150811","9222574","80573444","0","77958374","2649509863","0","2649181189"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","126717632","2533610999","1876605005","108246931","916907824","0","923490989","36031231","0","35213853"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","10561088","211152383","156597613","8945580","74627366","0","76601701","5355915","0","5322343"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","10561024","211153570","156377807","9060656","74286442","0","77213335","4863146","0","4799862"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","10561088","211153725","156367543","9037476","75161013","0","76989320","4204629","0","4153506"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","10556896","211090679","156291934","9016823","75835527","0","76740163","3698695","0","3607474"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","10556992","211093400","156345945","9043057","76084748","0","77015233","3234254","0","3182774"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","10561248","211153975","156386242","9016674","76028545","0","76838197","3502162","0","3418423"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","10561152","211153188","156388761","9050229","76587571","0","77107927","2681527","0","2634068"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","10561184","211152465","156371314","9021939","77388924","0","76871681","2093643","0","2008885"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","10561152","211153310","156390503","9015883","77797031","0","76967224","1611186","0","1524732"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","10561024","211154844","156416067","9006968","77221203","0","76792001","2389960","0","2334890"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","10557536","211101452","156317397","9033974","77298637","0","77225708","1777586","0","1694034"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","10557248","211098008","156353879","8997672","78590817","0","77128499","618528","0","532862"
"FAPP-cpupa","Process","0","2","-","all","0","12","2058581280","35320286345","33127055712","403418226","1869910836","4","1543935168","29602366268","0","29492733524"
"FAPP-cpupa","Thread","0","2","0","all","0","1","477916128","3745125232","2161930891","301699039","915078958","0","695878836","441308884","0","335167067"
"FAPP-cpupa","Thread","0","2","1","all","0","1","140792960","2814710559","2759245544","9272332","84662265","0","77191857","2597288979","0","2596996456"
"FAPP-cpupa","Thread","0","2","2","all","0","1","140794336","2813494583","2758054080","9267573","85199275","0","77011538","2595737659","0","2595424812"
"FAPP-cpupa","Thread","0","2","3","all","0","1","156307584","3126108591","3070656407","9255127","85978543","0","77123088","2907444801","0","2907131142"
"FAPP-cpupa","Thread","0","2","4","all","0","1","140788896","2805990695","2750561585","9199429","86814632","0","77174282","2586466752","0","2586154167"
"FAPP-cpupa","Thread","0","2","5","all","0","1","140793088","2810829213","2755423842","9216037","86188205","0","77121555","2592004273","0","2591658045"
"FAPP-cpupa","Thread","0","2","6","all","0","1","149054752","2981053114","2925592863","9263128","86921756","0","77039563","2761521411","0","2761184740"
"FAPP-cpupa","Thread","0","2","7","all","0","1","140793952","2811572749","2756089841","9240087","87391411","0","77184037","2591408751","0","2591099777"
"FAPP-cpupa","Thread","0","2","8","all","0","1","140786720","2805259584","2749782078","9245510","87340217","0","77034393","2585306721","0","2585022867"
