"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:02 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","1","all","0","4.737298","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109045","-","-","1"
"FAPP-time-stat","0","0","all","0","4.709463","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109116","-","-","1"
"FAPP-time-stat","0","2","all","0","4.684312","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109139","-","-","1"
"FAPP-time-stat","0","3","all","0","4.659543","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105452","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0240","0x0241","0x0330","0x0274","0x01a4","0x01b4","0x01a5","0x01b5"
"FAPP-cpupa","Process","0","1","-","all","0","12","2063884608","37817118629","4408301867","4583145986","1325125480","468767445","666892704","8958258693","520282090","8324519966"
"FAPP-cpupa","Thread","0","1","0","all","0","1","473734496","6092884012","3719466927","3966459486","118870973","439034159","126892360","1546550501","126793259","2028640942"
"FAPP-cpupa","Thread","0","1","1","all","0","1","148784512","2960449695","62688154","55980609","109827859","2686011","49040686","672821440","35847063","573561856"
"FAPP-cpupa","Thread","0","1","2","all","0","1","148858080","2975893590","62556075","56022645","110030259","2628131","49087778","673775376","35784953","572565584"
"FAPP-cpupa","Thread","0","1","3","all","0","1","140869760","2817275211","62554277","56028080","109480124","2709069","49067031","673439280","35783126","572532576"
"FAPP-cpupa","Thread","0","1","4","all","0","1","141091104","2811951936","62619606","56040623","109485979","2736933","49082336","673711184","35770798","572334960"
"FAPP-cpupa","Thread","0","1","5","all","0","1","157499104","3145611852","62778480","56131891","110297904","2798745","49059828","673182832","35831188","573301728"
"FAPP-cpupa","Thread","0","1","6","all","0","1","140818848","2813975093","62552557","56048290","109406959","2662757","49122281","674334768","35734983","571767264"
"FAPP-cpupa","Thread","0","1","7","all","0","1","140819232","2806708027","62644227","56084255","109405251","2758068","49065322","673429104","35786903","572592768"
"FAPP-cpupa","Thread","0","1","8","all","0","1","140820224","2816366783","62617325","56047036","109418266","2677297","49108394","674087136","35749514","571997200"
"FAPP-cpupa","Thread","0","1","9","all","0","1","148950784","2958391452","62654065","56138095","110081484","2785242","49112299","674180592","35742264","571881952"
"FAPP-cpupa","Thread","0","1","10","all","0","1","140819072","2816344478","62566374","56068344","109416832","2654813","49119199","674232640","35726622","571633040"
"FAPP-cpupa","Thread","0","1","11","all","0","1","140819392","2801266500","62603800","56096632","109403590","2636220","49135190","674513840","35731417","571710096"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","130923104","2617671410","740160679","663204492","1227473525","30636369","583242724","8004025936","424950600","6799268304"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","10911456","218155707","60209982","53574253","102290827","2091499","48594873","665755312","35357265","565718112"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","10911424","218155349","61876341","55338884","102290678","2576157","48554457","666151104","35492163","567883328"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","10905120","218055466","61741712","55375374","102283972","2517418","48600799","667093008","35431280","566906704"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","10911456","218155970","61751253","55388484","102290881","2602004","48580536","666762976","35429396","566872880"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","10907808","218107844","61813826","55397957","102285856","2630982","48595909","667039568","35416025","566658480"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","10911136","218155982","61952656","55484941","102290905","2682585","48573621","666513360","35476728","567630304"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","10911264","218157044","61748753","55406993","102291193","2556956","48635699","667659200","35380533","566095968"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","10911456","218156292","61839698","55444329","102290992","2651754","48579170","666759824","35432543","566922960"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","10911456","218157488","61815592","55409616","102291219","2571542","48621845","667409696","35395176","566327776"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","10907616","218101870","61842419","55494367","102285086","2674591","48625065","667494528","35388993","566229552"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","10911456","218156387","61769442","55433575","102290954","2549705","48632456","667555632","35372789","565971552"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","10911456","218156011","61799005","55455719","102290962","2531176","48648294","667831728","35377709","566050688"
