"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:08 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","1","all","0","4.721038","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.108977","-","-","1"
"FAPP-time-stat","0","0","all","0","4.708089","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109223","-","-","1"
"FAPP-time-stat","0","2","all","0","4.546014","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109120","-","-","1"
"FAPP-time-stat","0","3","all","0","4.523966","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105466","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0325","0x0003","0x0049","0x0017","0x0300","0x80ad","0x80ae","0x0326"
"FAPP-cpupa","Process","0","1","-","all","0","12","2073041344","36228607192","7689559","32340899","15701984","36547225","17629822","12411253","250","675341"
"FAPP-cpupa","Thread","0","1","0","all","0","1","472108544","4337489012","702798","4808253","1963369","4051470","1767177","1034613","250","85750"
"FAPP-cpupa","Thread","0","1","1","all","0","1","141760800","2832776344","638667","2502819","1248209","2954156","1446776","1034240","0","51100"
"FAPP-cpupa","Thread","0","1","2","all","0","1","141762176","2835084832","628778","2504128","1252902","2953965","1438900","1034240","0","58246"
"FAPP-cpupa","Thread","0","1","3","all","0","1","149568960","2991277378","638161","2502340","1248123","2953712","1444827","1034240","0","49513"
"FAPP-cpupa","Thread","0","1","4","all","0","1","142024960","2839302263","632648","2503477","1249453","2956069","1442953","1034240","0","57227"
"FAPP-cpupa","Thread","0","1","5","all","0","1","149936448","2983423869","638001","2502705","1248941","2955190","1442681","1034240","0","50882"
"FAPP-cpupa","Thread","0","1","6","all","0","1","159100128","3177772666","633301","2503936","1252306","2954212","1437178","1034240","0","56596"
"FAPP-cpupa","Thread","0","1","7","all","0","1","141754560","2809089403","642977","2502449","1246861","2954996","1443901","1034240","0","48227"
"FAPP-cpupa","Thread","0","1","8","all","0","1","149763776","2995176298","629197","2502579","1248644","2953172","1441610","1034240","0","57636"
"FAPP-cpupa","Thread","0","1","9","all","0","1","141749600","2803547348","638580","2503548","1249440","2953816","1442756","1034240","0","50707"
"FAPP-cpupa","Thread","0","1","10","all","0","1","141755872","2798227721","626932","2501942","1244840","2947356","1443002","1034240","0","59287"
"FAPP-cpupa","Thread","0","1","11","all","0","1","141755520","2825440058","639519","2502723","1248896","2959111","1438061","1034240","0","50170"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","130837504","2615989684","7512515","29688046","14810938","35061349","17085360","12288000","0","631538"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","10904704","218015216","594401","2442008","1209042","2894535","1383784","1024000","0","49909"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","10900832","217968352","632415","2476766","1235752","2924352","1432313","1024000","0","50430"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","10904320","218016829","622596","2477697","1240455","2923852","1424037","1024000","0","57450"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","10900384","217957395","631879","2476447","1235743","2923930","1430050","1024000","0","48827"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","10900672","217964144","626480","2477522","1237114","2926339","1428159","1024000","0","56530"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","10900992","217968793","631744","2476203","1236469","2925070","1427998","1024000","0","50216"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","10904544","218016724","627120","2477952","1239824","2924146","1422504","1024000","0","55771"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","10904192","218016335","636590","2476459","1234400","2925079","1429355","1024000","0","47623"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","10904256","218016479","622956","2476630","1236210","2923215","1427025","1024000","0","56870"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","10904320","218016851","632301","2477554","1236975","2923978","1428269","1024000","0","49980"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","10904256","218016225","620731","2476052","1232483","2917497","1428305","1024000","0","58460"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","10904032","218016341","633302","2476756","1236471","2929356","1423561","1024000","0","49472"
"FAPP-cpupa","Process","0","0","-","all","0","12","2047504736","35739121494","7680642","32196534","15705092","36530109","17617495","12411253","250","675141"
"FAPP-cpupa","Thread","0","0","0","all","0","1","470813696","4290073418","701181","4664273","1961757","4029458","1767987","1034613","250","84283"
