"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:16 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.797254","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109198","-","-","1"
"FAPP-time-stat","0","3","all","0","4.768242","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105406","-","-","1"
"FAPP-time-stat","0","1","all","0","4.751393","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109094","-","-","1"
"FAPP-time-stat","0","2","all","0","4.731103","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109224","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8010","0x8028","0x8034","0x0070","0x0071","0x8085","0x8086","0x8087"
"FAPP-cpupa","Process","0","0","-","all","0","12","2122774944","37998303616","854177546","595739502","1763","5056691414","422191877","891353310","108009548","20227719"
"FAPP-cpupa","Thread","0","0","0","all","0","1","479730304","5281415657","182955566","49660782","1763","4325337514","341748614","178458127","30073921","1739156"
"FAPP-cpupa","Thread","0","0","1","all","0","1","152074912","3040275564","61020180","49643520","0","66487736","7313815","64808653","7085057","1680780"
"FAPP-cpupa","Thread","0","0","2","all","0","1","152442912","3039109778","61020180","49643520","0","66487554","7313676","64808653","7085057","1680781"
"FAPP-cpupa","Thread","0","0","3","all","0","1","162192608","3243809809","61020180","49643520","0","66485861","7313182","64808653","7085057","1680777"
"FAPP-cpupa","Thread","0","0","4","all","0","1","146267840","2893890007","61020180","49643520","0","66485281","7312077","64808653","7085057","1680778"
"FAPP-cpupa","Thread","0","0","5","all","0","1","146267040","2888231984","61020180","49643520","0","66493890","7316573","64808653","7085057","1680780"
"FAPP-cpupa","Thread","0","0","6","all","0","1","146260576","2922748890","61020180","49643520","0","66486242","7312614","64808653","7085057","1680777"
"FAPP-cpupa","Thread","0","0","7","all","0","1","146261920","2925200008","61020180","49643520","0","66484076","7311513","64808653","7085057","1680778"
"FAPP-cpupa","Thread","0","0","8","all","0","1","146261440","2910028110","61020180","49643520","0","66486431","7312762","64808653","7085057","1680779"
"FAPP-cpupa","Thread","0","0","9","all","0","1","152271776","3019411873","61020180","49643520","0","66486206","7312820","64808653","7085057","1680778"
"FAPP-cpupa","Thread","0","0","10","all","0","1","146488928","2929664753","61020180","49643520","0","66485228","7312059","64808653","7085057","1680776"
"FAPP-cpupa","Thread","0","0","11","all","0","1","146254688","2904517183","61020180","49643520","0","66485395","7312172","64808653","7085057","1680779"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","131093216","2621181751","724992000","589824000","0","789606784","86621855","770006511","84181915","19969284"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10927264","218461517","60416000","49152000","0","65810906","7225797","64171073","7018840","1664107"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10921568","218382140","60416000","49152000","0","65799626","7217825","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10921728","218384745","60416000","49152000","0","65799606","7217811","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10926272","218461658","60416000","49152000","0","65799624","7217820","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10926016","218461920","60416000","49152000","0","65799593","7217810","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10922304","218398028","60416000","49152000","0","65799739","7217879","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10922144","218394616","60416000","49152000","0","65799606","7217815","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10925856","218461566","60416000","49152000","0","65799614","7217819","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10921952","218390608","60416000","49152000","0","65799596","7217810","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10925888","218461570","60416000","49152000","0","65799640","7217828","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10926304","218461596","60416000","49152000","0","65799616","7217820","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10925920","218461787","60416000","49152000","0","65799618","7217821","64166858","7014825","1664107"
"FAPP-cpupa","Process","0","3","-","all","0","12","2080341280","36266175044","854177539","595739502","1763","3261826868","414483790","891354399","108010146","20227158"
