"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:23 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.758567","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109195","-","-","1"
"FAPP-time-stat","0","3","all","0","4.733681","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105340","-","-","1"
"FAPP-time-stat","0","1","all","0","4.707876","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109067","-","-","1"
"FAPP-time-stat","0","2","all","0","4.682589","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109174","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0185","0x0182","0x0183","0x0180","0x0181","0x0187","0x0188","0x018a"
"FAPP-cpupa","Process","0","0","-","all","0","12","2101816064","37298829429","534583539","137927582","54794144","900710530","14831940","0","0","1446660726"
"FAPP-cpupa","Thread","0","0","0","all","0","1","475861600","4912896340","519534342","60101879","52989232","100814490","13021142","0","0","613865336"
"FAPP-cpupa","Thread","0","0","1","all","0","1","151975712","3013484141","1390595","6105618","158245","71894110","191297","0","0","75613567"
"FAPP-cpupa","Thread","0","0","2","all","0","1","143977056","2879393146","1331199","6588109","155935","71688737","170238","0","0","75664184"
"FAPP-cpupa","Thread","0","0","3","all","0","1","143927264","2878436329","1327129","6390205","151067","72381747","172231","0","0","75731832"
"FAPP-cpupa","Thread","0","0","4","all","0","1","152180672","3006590257","1384616","7032451","161159","72607629","173973","0","0","75619486"
"FAPP-cpupa","Thread","0","0","5","all","0","1","151817632","3033953756","1393569","6792498","155721","72496510","160679","0","0","75834854"
"FAPP-cpupa","Thread","0","0","6","all","0","1","162079392","3241420062","1531404","6989763","176804","72634196","174988","0","0","75805558"
"FAPP-cpupa","Thread","0","0","7","all","0","1","143977440","2858964522","1361923","7584670","160802","72987268","156931","0","0","75654509"
"FAPP-cpupa","Thread","0","0","8","all","0","1","143927936","2877342548","1330891","7638512","167049","72691554","156097","0","0","75838079"
"FAPP-cpupa","Thread","0","0","9","all","0","1","143926912","2847063875","1311891","7481022","167538","73151809","152833","0","0","75661854"
"FAPP-cpupa","Thread","0","0","10","all","0","1","144198720","2874214866","1315781","7361030","182716","74145570","139616","0","0","75411882"
"FAPP-cpupa","Thread","0","0","11","all","0","1","143965728","2875069587","1370199","7861825","167876","73216910","161915","0","0","75959585"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","131089504","2621110803","4291654","80673817","1216636","866660884","1338262","0","0","899455482"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10926752","218452406","430502","4383375","82857","75757271","180626","0","0","74979447"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10925440","218453507","360041","5980570","101052","71092019","132751","0","0","74858326"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10919104","218334900","353316","6460493","100486","70888155","120260","0","0","74906095"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10925440","218453804","344654","6264306","98007","71568646","109107","0","0","74975619"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10921568","218382148","354084","6893492","100727","71792117","115866","0","0","74860538"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10925536","218453492","361749","6662069","98289","71676573","98981","0","0","75079709"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10925536","218454103","336831","6836255","102737","71791253","102781","0","0","75048722"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10925792","218453992","376606","7441037","99856","72166617","99674","0","0","74896804"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10921664","218385120","340922","7486540","101115","71882539","100965","0","0","75084753"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10925536","218453541","327567","7334637","103266","72333634","97181","0","0","74904001"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10921408","218379892","324298","7212872","120036","73314637","81412","0","0","74656588"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10925728","218453898","381084","7718171","108208","72397423","98658","0","0","75204880"
"FAPP-cpupa","Process","0","3","-","all","0","12","2048786048","34825571112","520738245","147270962","50889985","784571908","21516955","0","0","1453979438"
"FAPP-cpupa","Thread","0","3","0","all","0","1","473372928","3365156618","505253638","62171887","49161157","89333574","18996409","0","0","612676719"
"FAPP-cpupa","Thread","0","3","1","all","0","1","139622336","2790049924","1324906","6792515","149876","62267639","204063","0","0","76705054"
