"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:30 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.799780","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109097","-","-","1"
"FAPP-time-stat","0","2","all","0","4.779116","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109206","-","-","1"
"FAPP-time-stat","0","1","all","0","4.753198","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109052","-","-","1"
"FAPP-time-stat","0","3","all","0","4.727493","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105321","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0192","0x0193","0x0194","0x018b","0x80c6","0x80c4","0x80c7","0x80c5"
"FAPP-cpupa","Process","0","0","-","all","0","12","2076565920","36010787404","451623564","214802830","1649685429","36017268","2655984044","0","120935077","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","479982880","4365565482","372835652","167271040","1267707172","35377996","221383084","0","120934857","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","141175776","2792710463","7147452","4306680","34743110","56777","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","149333216","2959637030","7139374","4312006","34743987","59749","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","141397152","2791744296","7109561","4328005","34742050","56157","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","141124960","2802588117","7122679","4335626","34739674","60407","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","141174400","2791081146","7139017","4317684","34736219","56641","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","149159488","2967115325","7162257","4319864","34720996","58937","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","141169056","2784254133","7189340","4313039","34710033","55740","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","141118880","2822228766","7215485","4306369","34722799","56297","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","148995072","2942052174","7227998","4383301","34650309","58739","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","160765920","3193730306","7129052","4321701","34739888","63790","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","141169120","2798080166","7205697","4287515","34729192","56038","221327360","0","20","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","130968352","2618692291","84553902","51339691","412679664","49440","2629632000","0","0","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10917184","218259066","6829998","4308595","34507742","4861","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10911872","218190452","7051874","4261199","34396930","4350","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10911328","218178027","7041637","4266411","34397894","3995","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10915712","218259759","7014741","4283380","34395687","4247","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10915840","218259159","7021286","4287701","34392089","3990","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10916224","218260383","7042969","4271925","34391214","4447","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10915712","218259276","7066296","4274510","34374990","3930","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10916032","218259636","7093909","4268218","34364590","4028","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10908896","218130358","7120164","4261110","34376769","3941","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10915808","218259141","7131476","4337899","34304946","4024","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10911648","218183604","7029380","4276182","34394250","3933","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10912096","218193430","7110172","4242561","34382563","3694","219136000","0","0","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2043021920","36855326683","450443228","218958822","3070579704","40509787","2655984044","0","120935076","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","477916512","5656798769","371583574","171345206","2688676058","39879138","221383084","0","120934856","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","146514080","2919377879","7149599","4284640","34764926","58840","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","138735520","2758254915","7122732","4321669","34752779","59706","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","138734944","2763773296","7215288","4356181","34666781","55523","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","146720480","2924815282","7136121","4297948","34767243","58963","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","138730272","2770203892","7205046","4280557","34738323","56948","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","138730688","2774512693","7146353","4338496","34715818","55226","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","153604096","3072042243","7144468","4325479","34726308","60325","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","138724800","2759346967","7208576","4325904","34699221","55485","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","138956832","2763793606","7206889","4398637","34647396","55875","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","138729248","2763761822","7147683","4358693","34705909","55202","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","146924448","2928645319","7176899","4325412","34718942","58556","221327360","0","20","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","131098912","2621316684","84643489","51410872","412608424","49495","2629632000","0","0","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","10926848","218470399","6842762","4298535","34510543","5000","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","10923136","218414119","7053169","4238972","34419032","4170","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","10923680","218426474","7022048","4274299","34405026","3950","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","10926848","218470650","7120340","4310430","34321808","4280","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","10926848","218472438","7038988","4252137","34421516","4000","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","10922880","218410235","7107913","4234966","34391811","4388","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","10922400","218400518","7052124","4293911","34369518","4063","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","10926528","218471090","7047508","4280756","34381136","3918","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","10923264","218418072","7112823","4280125","34353895","3875","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","10923456","218420143","7111989","4352937","34301469","4124","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","10926368","218471413","7053193","4313517","34359669","3776","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","10926656","218471133","7080632","4280287","34373001","3951","219136000","0","0","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2043498304","35498365610","449167692","213737489","1643696425","35331708","2655984044","0","120935076","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","475324544","4268793678","370619483","166292535","1261532975","34702411","221383084","0","120934856","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","138806912","2776100122","7090594","4329395","34744029","55062","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","138801184","2775923679","7159109","4309015","34728382","55379","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","147084832","2925151255","7165138","4287906","34762731","62928","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","139028640","2780534801","7136178","4352418","34710624","54960","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","146781056","2919163326","7102184","4323219","34748598","58529","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","155944224","3107851462","7119747","4330375","34731441","61965","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","146633952","2917490569","7144286","4282667","34771428","58280","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","138744640","2758476626","7157323","4269174","34781998","55833","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","138745280","2754042080","7194542","4331487","34698007","55700","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","138801728","2754182935","7137748","4325554","34735411","55132","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","138801312","2760655077","7141360","4303744","34750801","55529","221327360","0","20","0"
