"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:37 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.776531","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109228","-","-","1"
"FAPP-time-stat","0","1","all","0","4.748640","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109074","-","-","1"
"FAPP-time-stat","0","2","all","0","4.729731","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109051","-","-","1"
"FAPP-time-stat","0","3","all","0","4.702272","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105473","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x01a6","0x01e0","0x03e0","0x03e8","0x01a0","0x01a1","0x01a2","0x01a3"
"FAPP-cpupa","Process","0","0","-","all","0","12","2118878176","38190399243","36882","4274558813","782621168","158565949","3442543511","3466111750","2248569271","2128793700"
"FAPP-cpupa","Thread","0","0","0","all","0","1","477657920","5504553299","35741","691850035","110786340","21474496","2854887848","3078252854","2198176398","2015152487"
"FAPP-cpupa","Thread","0","0","1","all","0","1","151875680","3016896980","105","330682076","61968757","12623967","53540258","35349519","4665633","10381053"
"FAPP-cpupa","Thread","0","0","2","all","0","1","146153344","2920631723","104","320156079","60079731","12282745","53334194","35222797","4539974","10300952"
"FAPP-cpupa","Thread","0","0","3","all","0","1","145930720","2903441444","103","318268817","59743252","12221809","53327290","35216618","4544059","10287997"
"FAPP-cpupa","Thread","0","0","4","all","0","1","152017760","3040184702","103","333220670","62428794","12706532","53391889","35271463","4567080","10328066"
"FAPP-cpupa","Thread","0","0","5","all","0","1","151902880","3006548280","103","329542158","61768547","12587290","53341153","35208820","4567439","10285415"
"FAPP-cpupa","Thread","0","0","6","all","0","1","145882240","2917539951","104","319806868","60017108","12271768","53443909","35252820","4586710","10337189"
"FAPP-cpupa","Thread","0","0","7","all","0","1","163890784","3277774302","103","359203053","67074294","13548901","53468839","35309327","4568968","10353026"
"FAPP-cpupa","Thread","0","0","8","all","0","1","145881184","2891559177","104","316957393","59509595","12179686","53341104","35222003","4516400","10293021"
"FAPP-cpupa","Thread","0","0","9","all","0","1","145925120","2917290950","103","319771357","60013401","12270868","53431722","35238998","4570769","10296598"
"FAPP-cpupa","Thread","0","0","10","all","0","1","145880320","2880654658","104","315758504","59296535","12141050","53489467","35256045","4612702","10388659"
"FAPP-cpupa","Thread","0","0","11","all","0","1","145880224","2913323777","105","319341803","59934814","12256837","53545838","35310486","4653139","10389237"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","131135520","2622007043","1240","294956627","84934458","31217349","633984672","418482962","53643214","122106661"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10929952","218517380","125","24537482","7078228","2601504","52706492","34890078","4478939","10051086"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10928896","218518304","102","24594963","7078260","2601513","52960569","34961604","4553767","10236778"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10928704","218517884","102","24597970","7078243","2601508","52754166","34834845","4428484","10156899"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10928960","218517715","101","24591048","7078238","2601508","52749121","34829747","4433914","10145581"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10924992","218450448","101","24578990","7076784","2601256","52809502","34880085","4450864","10180908"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10928832","218518400","101","24587103","7078252","2601512","52760243","34820461","4454615","10139675"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10924672","218445276","101","24579402","7076685","2601244","52864649","34865427","4476310","10193654"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10929056","218519582","101","24582438","7078284","2601519","52887490","34923012","4456018","10208744"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10928896","218517045","101","24579361","7078225","2601505","52763558","34835169","4406585","10150063"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10924896","218449136","101","24571314","7076762","2601259","52850349","34848316","4455813","10150314"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10928896","218517692","102","24573244","7078243","2601509","52911272","34870525","4504986","10246468"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10928768","218518181","102","24583312","7078254","2601512","52967261","34923693","4542919","10246491"
"FAPP-cpupa","Process","0","1","-","all","0","12","2053908320","37100837994","36118","4157575154","761059293","154706040","3592315345","3602084384","2295273185","2192426887"
"FAPP-cpupa","Thread","0","1","0","all","0","1","474868800","5597969167","34977","704265024","112605460","21806135","3004880566","3214311483","2245037286","2078623218"
"FAPP-cpupa","Thread","0","1","1","all","0","1","139585088","2789241229","104","305782918","57486674","11817062","53454241","35297529","4602756","10409138"
"FAPP-cpupa","Thread","0","1","2","all","0","1","147528000","2946140023","103","322945398","60564147","12373319","53343667","35231986","4564050","10319860"
"FAPP-cpupa","Thread","0","1","3","all","0","1","139591520","2776910290","105","304432497","57246330","11773458","53517673","35321949","4667426","10410031"
"FAPP-cpupa","Thread","0","1","4","all","0","1","147825792","2941320821","104","322411215","60475880","12356332","53310072","35252240","4508890","10305294"
"FAPP-cpupa","Thread","0","1","5","all","0","1","139541632","2770470201","104","303721634","57119591","11750628","53330589","35217381","4539856","10294216"
"FAPP-cpupa","Thread","0","1","6","all","0","1","139585088","2781951014","104","304977346","57344149","11791223","53450412","35279934","4570434","10368706"
"FAPP-cpupa","Thread","0","1","7","all","0","1","139812928","2786780112","103","305499318","57439736","11808434","53426822","35247806","4534077","10381730"
"FAPP-cpupa","Thread","0","1","8","all","0","1","139540960","2789599974","103","305802642","57493030","11818332","53335396","35216852","4524219","10290307"
"FAPP-cpupa","Thread","0","1","9","all","0","1","139585824","2791678160","104","306030092","57534874","11825839","53507712","35273161","4646580","10361605"
"FAPP-cpupa","Thread","0","1","10","all","0","1","159057536","3181112539","103","348612999","65164212","13206498","53388331","35203458","4554528","10327876"
"FAPP-cpupa","Thread","0","1","11","all","0","1","147385152","2947664464","104","323094071","60585210","12378780","53369864","35230605","4523083","10334906"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","130947680","2618279435","1247","294536645","84860919","31206140","633758259","418419503","53501492","122259481"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","10913920","218209177","131","24500245","7072138","2600555","52694060","34914103","4487798","10040072"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","10910400","218161525","101","24557063","7071098","2600404","52877031","34909550","4492806","10266136"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","10909888","218150328","101","24555939","7070864","2600372","52750371","34826866","4431743","10161011"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","10913760","218213922","102","24561125","7072286","2600603","52939259","34935278","4558381","10267508"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","10910528","218163120","101","24551666","7071131","2600409","52731472","34864674","4398372","10161247"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","10913888","218213876","102","24554679","7072276","2600600","52753121","34831375","4432160","10152391"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","10910016","218153573","102","24547980","7070931","2600378","52870873","34891455","4458797","10224225"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","10913664","218213968","101","24548498","7072293","2600604","52850102","34861997","4426011","10239047"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","10910176","218155486","101","24537046","7070971","2600385","52757746","34829275","4413996","10147124"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","10913856","218214608","102","24543932","7072302","2600607","52931136","34889111","4540867","10221568"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","10913792","218214996","101","24531898","7072317","2600612","52809796","34819080","4445097","10185185"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","10913792","218214856","102","24546574","7072312","2600611","52793292","34846739","4415464","10193967"
"FAPP-cpupa","Process","0","2","-","all","0","12","2073072736","36122330304","36082","4016321663","742112864","151248767","2178169006","2192044336","1638147382","1449198354"
"FAPP-cpupa","Thread","0","2","0","all","0","1","472978112","4198983510","34947","517020605","85271675","16848023","1590789702","1804231824","1587921070","1335463013"
"FAPP-cpupa","Thread","0","2","1","all","0","1","141485024","2829602107","103","310193290","58291515","11961131","53503891","35349042","4659611","10389389"
"FAPP-cpupa","Thread","0","2","2","all","0","1","141435712","2808092991","103","307851376","57869457","11884830","53497041","35318621","4637594","10428464"
"FAPP-cpupa","Thread","0","2","3","all","0","1","161214304","3224246554","104","353363207","66021483","13360295","53332936","35214329","4552253","10292798"
"FAPP-cpupa","Thread","0","2","4","all","0","1","141434880","2818960186","103","309022598","58081704","11923327","53396613","35275329","4574555","10317666"
"FAPP-cpupa","Thread","0","2","5","all","0","1","141702464","2833951580","104","310669177","58376898","11976511","53523417","35345379","4648922","10429472"
"FAPP-cpupa","Thread","0","2","6","all","0","1","141436224","2826273202","103","309829051","58224614","11949238","53334124","35206910","4538990","10285673"
"FAPP-cpupa","Thread","0","2","7","all","0","1","149391296","2987786413","103","327482071","61388453","12522013","53364448","35239281","4503000","10345817"
"FAPP-cpupa","Thread","0","2","8","all","0","1","141434624","2824462472","103","309612609","58189568","11942916","53367871","35234394","4531853","10330948"
"FAPP-cpupa","Thread","0","2","9","all","0","1","149578112","2991463202","103","327886812","61469326","12535075","53341344","35210379","4536680","10290909"
"FAPP-cpupa","Thread","0","2","10","all","0","1","141484480","2814567882","103","308527546","57997743","11907866","53340143","35197327","4513251","10305181"
"FAPP-cpupa","Thread","0","2","11","all","0","1","149497504","2963940205","103","324863321","60930428","12437542","53377476","35221521","4529603","10319024"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","130920320","2617708751","1239","294471753","84856837","31213352","633718460","418481410","53502264","122191002"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","10911680","218163760","126","24491029","7071847","2601165","52701058","34923397","4485861","10027349"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","10911680","218166889","101","24553499","7071954","2601205","52926786","34963162","4549953","10248052"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","10907680","218105218","101","24557270","7070573","2600976","52916801","34928922","4524745","10283458"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","10911392","218167681","102","24558866","7071965","2601207","52752903","34828309","4440593","10149286"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","10908064","218111944","101","24540853","7070725","2601003","52818434","34887712","4463998","10174163"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","10907840","218108371","102","24547405","7070642","2600986","52944836","34958408","4539415","10286375"
