"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:44 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.727426","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109097","-","-","1"
"FAPP-time-stat","0","1","all","0","4.706416","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.108961","-","-","1"
"FAPP-time-stat","0","2","all","0","4.661130","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.105401","-","-","1"
"FAPP-time-stat","0","3","all","0","4.641796","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105381","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0049","0x0202","0x0059","0x0302","0x0005","0x002d","0x0001","0x0326"
"FAPP-cpupa","Process","0","0","-","all","0","12","2059107008","36968540585","15705717","11938158","18909893","15809097","2200903","18290","1130600","675224"
"FAPP-cpupa","Thread","0","0","0","all","0","1","472747424","5273184081","1962541","1657001","2266665","2010018","2186400","17926","1112501","84341"
"FAPP-cpupa","Thread","0","0","1","all","0","1","140927232","2815586969","1249605","934934","1511916","1253358","1241","31","1583","51502"
"FAPP-cpupa","Thread","0","0","2","all","0","1","148939616","2978686219","1253942","939143","1517817","1259257","1221","33","1549","59887"
"FAPP-cpupa","Thread","0","0","3","all","0","1","160848768","3216866376","1249594","934844","1511832","1253273","1279","26","1507","48393"
"FAPP-cpupa","Thread","0","0","4","all","0","1","140926816","2816141376","1248416","933672","1513291","1254731","1231","25","1585","57285"
"FAPP-cpupa","Thread","0","0","5","all","0","1","141195616","2820199102","1249798","935083","1512804","1254244","1246","33","1586","51281"
"FAPP-cpupa","Thread","0","0","6","all","0","1","140875008","2813039407","1252302","937550","1516151","1257595","1856","54","2475","56531"
"FAPP-cpupa","Thread","0","0","7","all","0","1","149142848","2977855484","1246986","932227","1511975","1253416","1275","31","1533","49893"
"FAPP-cpupa","Thread","0","0","8","all","0","1","140876416","2815394658","1250306","935519","1516706","1258147","1262","33","1721","57479"
"FAPP-cpupa","Thread","0","0","9","all","0","1","140875776","2817475793","1248886","934244","1509406","1250847","1286","27","1327","50456"
"FAPP-cpupa","Thread","0","0","10","all","0","1","140876320","2816313081","1245431","930701","1506942","1248382","1272","29","1699","58417"
"FAPP-cpupa","Thread","0","0","11","all","0","1","140875168","2807798039","1247910","933240","1514388","1255829","1334","42","1534","49759"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","130978240","2618826671","14814986","11095607","17985337","14915250","2393","2","3513","632864"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10916288","218255734","1208623","916908","1510675","1256585","299","2","382","49905"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10916288","218256354","1237162","925610","1496466","1240466","188","0","283","50755"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10915968","218256814","1241462","929785","1502363","1246363","191","0","283","59110"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10912032","218191598","1237122","925496","1496498","1240499","192","0","289","47765"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10916160","218255228","1236003","924382","1498071","1242071","187","0","284","56508"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10916160","218256644","1237357","925766","1497514","1241511","191","0","279","50584"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10912480","218201219","1239765","928140","1500597","1244597","185","0","295","55834"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10916192","218256176","1234573","922937","1496686","1240686","205","0","291","49196"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10911808","218189004","1237894","926231","1501434","1245438","188","0","292","56746"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10916256","218255750","1236466","924949","1494127","1238127","188","0","264","49815"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10912320","218196335","1233049","921440","1491726","1235727","188","0","288","57567"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10916288","218255815","1235510","923963","1499180","1243180","191","0","283","49079"
"FAPP-cpupa","Process","0","1","-","all","0","12","2057249856","35138126209","15703674","11935441","18925217","15824373","1800499","17330","1071120","677709"
"FAPP-cpupa","Thread","0","1","0","all","0","1","470646272","3561199740","1961871","1655606","2283408","2026712","1787320","16971","1054708","84846"
"FAPP-cpupa","Thread","0","1","1","all","0","1","140597376","2811845822","1251344","936649","1511526","1252966","1135","26","1402","52449"
