"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:27:49 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.725034","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117462","-","-","1"
"FAPP-time-stat","0","2","all","0","4.702515","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.114110","-","-","1"
"FAPP-time-stat","0","3","all","0","4.681202","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114140","-","-","1"
"FAPP-time-stat","0","1","all","0","4.656671","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.114001","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80c0","0x80c1","0x0017","0x0018","0x0325","0x0326","0x0121","0x8000"
"FAPP-cpupa","Process","0","0","-","all","0","12","2064616384","37790092010","2655984044","120935077","37960851","4560255","8597028","1363231","16678000577","1942850782"
"FAPP-cpupa","Thread","0","0","0","all","0","1","472509984","6059486465","221383084","120934857","4213383","1720059","793421","162217","13818791792","163808715"
"FAPP-cpupa","Thread","0","0","1","all","0","1","149093088","2980634797","221327360","20","3048750","222345","682263","116225","259943818","161731097"
"FAPP-cpupa","Thread","0","0","2","all","0","1","141091648","2821785056","221327360","20","3064620","250704","703436","111644","259882299","161731097"
"FAPP-cpupa","Thread","0","0","3","all","0","1","141084736","2817379909","221327360","20","3049763","276151","690428","110452","259932885","161731097"
"FAPP-cpupa","Thread","0","0","4","all","0","1","141354880","2811962002","221327360","20","3070100","247257","709922","110792","259923883","161731097"
"FAPP-cpupa","Thread","0","0","5","all","0","1","148906624","2957506428","221327360","20","3060841","224539","696626","113973","259937083","161731097"
"FAPP-cpupa","Thread","0","0","6","all","0","1","149282496","2953953627","221327360","20","3074529","274579","721346","104262","259978476","161731097"
"FAPP-cpupa","Thread","0","0","7","all","0","1","141091264","2819400616","221327360","20","3066795","260115","704402","113814","259927686","161731097"
"FAPP-cpupa","Thread","0","0","8","all","0","1","141079072","2795534218","221327360","20","3070040","276420","717971","102963","259923608","161731097"
"FAPP-cpupa","Thread","0","0","9","all","0","1","141085184","2821530725","221327360","20","3080787","305212","722894","108792","259931665","161731097"
"FAPP-cpupa","Thread","0","0","10","all","0","1","156952352","3138996117","221327360","20","3081682","237642","727882","105013","259899260","161731097"
"FAPP-cpupa","Thread","0","0","11","all","0","1","141085056","2811922050","221327360","20","3079561","265232","726437","103084","259928122","161731097"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","141011168","2819510015","2629632000","0","36444791","3079810","8412322","1313848","3085522005","1921557000"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11752576","234982058","219136000","0","3039627","290848","685834","126554","257153016","160129750"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11748544","234922196","219136000","0","3018126","217987","675744","115019","257125492","160129750"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11752544","234982859","219136000","0","3033252","246053","696225","110297","257124719","160129750"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11748640","234925802","219136000","0","3018927","271476","683633","109222","257124189","160129750"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11752512","234983959","219136000","0","3038789","242654","702697","109482","257123727","160129750"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11752608","234983406","219136000","0","3029646","219895","689828","112657","257125582","160129750"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11749056","234931986","219136000","0","3043126","269613","714166","103052","257124366","160129750"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11752320","234982699","219136000","0","3035755","255571","697443","112511","257124275","160129750"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11752576","234983411","219136000","0","3039004","271669","710953","101775","257123549","160129750"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11748896","234929790","219136000","0","3049787","300492","715937","107606","257124853","160129750"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11752512","234983190","219136000","0","3050213","233054","720571","103742","257124476","160129750"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11748384","234918659","219136000","0","3048539","260498","719291","101931","257123761","160129750"
"FAPP-cpupa","Process","0","2","-","all","0","12","2100474496","37695440482","2655984044","120935076","38394769","4560914","9018716","1219118","13197156646","1942850885"
"FAPP-cpupa","Thread","0","2","0","all","0","1","470258304","5294263639","221383084","120934856","4221223","1654331","817628","148051","10338049988","163808818"
"FAPP-cpupa","Thread","0","2","1","all","0","1","142678688","2828124725","221327360","20","3095578","227483","730449","99722","259919629","161731097"
"FAPP-cpupa","Thread","0","2","2","all","0","1","161053312","3221013292","221327360","20","3092100","254094","729555","99455","259905185","161731097"
"FAPP-cpupa","Thread","0","2","3","all","0","1","142672288","2832313840","221327360","20","3099114","259937","736223","99139","259921132","161731097"
"FAPP-cpupa","Thread","0","2","4","all","0","1","142678048","2837939569","221327360","20","3103586","257481","742361","97433","259916099","161731097"
"FAPP-cpupa","Thread","0","2","5","all","0","1","161002272","3204420611","221327360","20","3095144","246110","735009","96875","259940563","161731097"
"FAPP-cpupa","Thread","0","2","6","all","0","1","150466784","2988252862","221327360","20","3112505","251687","755071","93341","259928736","161731097"
"FAPP-cpupa","Thread","0","2","7","all","0","1","142666368","2826800281","221327360","20","3108870","255248","747533","97654","259916038","161731097"
"FAPP-cpupa","Thread","0","2","8","all","0","1","150761920","2995172580","221327360","20","3111814","299555","751113","98173","259931457","161731097"
"FAPP-cpupa","Thread","0","2","9","all","0","1","142666080","2853205846","221327360","20","3116714","277756","760015","92675","259888503","161731097"
"FAPP-cpupa","Thread","0","2","10","all","0","1","150633824","2981778877","221327360","20","3115490","290044","755810","98310","259922388","161731097"
"FAPP-cpupa","Thread","0","2","11","all","0","1","142936608","2832154360","221327360","20","3122631","287188","757949","98290","259916928","161731097"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","136995296","2739186691","2629632000","0","36889522","3078920","8826766","1170739","3085519492","1921557000"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","11417632","228284664","219136000","0","3065097","225376","707875","113629","257155222","160129750"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","11417536","228284521","219136000","0","3064203","223149","723422","98414","257125172","160129750"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","11417408","228285711","219136000","0","3060476","249350","722292","98281","257124659","160129750"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","11414080","228232514","219136000","0","3067414","255577","728833","97897","257124014","160129750"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","11417600","228285187","219136000","0","3071694","252504","734761","96191","257123554","160129750"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","11417632","228285545","219136000","0","3063223","241414","727555","95499","257125075","160129750"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","11417440","228284538","219136000","0","3080642","246922","747452","92093","257124622","160129750"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","11417344","228285763","219136000","0","3077213","250282","740005","96396","257123648","160129750"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","11413664","228222227","219136000","0","3079852","294268","743444","96819","257123185","160129750"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","11413568","228222311","219136000","0","3085219","272909","752531","91600","257124435","160129750"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","11417504","228285841","219136000","0","3083757","285017","748335","96921","257122989","160129750"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","11413888","228227869","219136000","0","3090732","282152","750261","96999","257122917","160129750"
"FAPP-cpupa","Process","0","3","-","all","0","12","2108578592","38186579993","2655984044","120935076","38364002","4566404","9029714","1208846","13912555100","1942849954"
"FAPP-cpupa","Thread","0","3","0","all","0","1","468127104","5487583268","221383084","120934856","4186845","1657142","820626","140478","11053418507","163807887"
"FAPP-cpupa","Thread","0","3","1","all","0","1","152782816","3053246558","221327360","20","3095538","219989","731187","99549","259930852","161731097"
"FAPP-cpupa","Thread","0","3","2","all","0","1","152565472","3051261388","221327360","20","3093330","211351","730655","99752","259897338","161731097"
"FAPP-cpupa","Thread","0","3","3","all","0","1","152563104","3036050738","221327360","20","3097042","247133","735394","97870","259932682","161731097"
"FAPP-cpupa","Thread","0","3","4","all","0","1","144776320","2874928576","221327360","20","3103349","226411","742950","96958","259920148","161731097"
"FAPP-cpupa","Thread","0","3","5","all","0","1","152686400","3023531332","221327360","20","3094646","243155","734658","96582","259933518","161731097"
"FAPP-cpupa","Thread","0","3","6","all","0","1","144771744","2895285164","221327360","20","3115386","300905","756005","95374","259892429","161731097"
"FAPP-cpupa","Thread","0","3","7","all","0","1","152718720","3044669904","221327360","20","3110745","294788","749794","97629","259931262","161731097"
