"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:52 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.797815","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117514","-","-","1"
"FAPP-time-stat","0","2","all","0","4.766977","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.117598","-","-","1"
"FAPP-time-stat","0","3","all","0","4.745901","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114026","-","-","1"
"FAPP-time-stat","0","1","all","0","4.730870","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.117654","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8091","0x8092","0x80bc","0x80af","0x809f","0x009f","0x8043","0x0012"
"FAPP-cpupa","Process","0","0","-","all","0","12","2084841760","37266924507","122566906","15524641","0","0","16","1609304","3070171","2337742635"
"FAPP-cpupa","Thread","0","0","0","all","0","1","479786944","5453401219","10221508","1294953","0","0","16","1609040","1647981","2322744962"
"FAPP-cpupa","Thread","0","0","1","all","0","1","149724352","2968792921","10213218","1293608","0","0","0","24","129290","1364185"
"FAPP-cpupa","Thread","0","0","2","all","0","1","141882112","2811171534","10213218","1293608","0","0","0","24","129290","1367699"
"FAPP-cpupa","Thread","0","0","3","all","0","1","161963136","3197588579","10213218","1293608","0","0","0","24","129290","1366363"
"FAPP-cpupa","Thread","0","0","4","all","0","1","149854048","2965181016","10213218","1293608","0","0","0","24","129290","1365043"
"FAPP-cpupa","Thread","0","0","5","all","0","1","141887616","2800444136","10213218","1293608","0","0","0","24","129290","1362463"
"FAPP-cpupa","Thread","0","0","6","all","0","1","150151296","2982771107","10213218","1293608","0","0","0","24","129290","1364038"
"FAPP-cpupa","Thread","0","0","7","all","0","1","141881280","2806427851","10213218","1293608","0","0","0","24","129290","1361916"
"FAPP-cpupa","Thread","0","0","8","all","0","1","141837408","2800166519","10213218","1293608","0","0","0","24","129290","1360820"
"FAPP-cpupa","Thread","0","0","9","all","0","1","141882720","2822180752","10213218","1293608","0","0","0","24","129290","1361819"
"FAPP-cpupa","Thread","0","0","10","all","0","1","141882112","2816730652","10213218","1293608","0","0","0","24","129290","1361689"
"FAPP-cpupa","Thread","0","0","11","all","0","1","142108736","2842068221","10213218","1293608","0","0","0","24","129290","1361638"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","141077280","2820800605","121344588","15369600","0","0","0","96","1536000","15696091"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11757952","235087726","10112049","1280800","0","0","0","8","128000","1310896"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11757856","235088922","10112049","1280800","0","0","0","8","128000","1308122"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11757952","235089585","10112049","1280800","0","0","0","8","128000","1307686"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11757920","235088928","10112049","1280800","0","0","0","8","128000","1307799"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11751616","234984034","10112049","1280800","0","0","0","8","128000","1307657"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11754080","235034772","10112049","1280800","0","0","0","8","128000","1308109"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11757792","235089060","10112049","1280800","0","0","0","8","128000","1307678"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11754272","235037970","10112049","1280800","0","0","0","8","128000","1307564"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11757952","235088850","10112049","1280800","0","0","0","8","128000","1307458"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11757984","235089293","10112049","1280800","0","0","0","8","128000","1307838"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11757824","235089008","10112049","1280800","0","0","0","8","128000","1307644"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11754080","235032457","10112049","1280800","0","0","0","8","128000","1307640"
"FAPP-cpupa","Process","0","2","-","all","0","12","2109941280","38833844666","122566955","15524641","0","0","16","1608376","3066649","3241150733"
"FAPP-cpupa","Thread","0","2","0","all","0","1","476703104","6286368540","10221557","1294953","0","0","16","1608112","1644459","3226134330"
"FAPP-cpupa","Thread","0","2","1","all","0","1","145530688","2906362846","10213218","1293608","0","0","0","24","129290","1364746"
"FAPP-cpupa","Thread","0","2","2","all","0","1","145529984","2910334661","10213218","1293608","0","0","0","24","129290","1371149"
