"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:06 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.664397","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.124303","-","-","1"
"FAPP-time-stat","0","2","all","0","4.638080","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.125156","-","-","1"
"FAPP-time-stat","0","1","all","0","4.624567","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.125194","-","-","1"
"FAPP-time-stat","0","0","all","0","4.598194","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.125081","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8008","0x0198","0x0199","0x0139","0x0010","0x0012","-","-"
"FAPP-cpupa","Process","0","3","-","all","0","12","2075268224","37869212376","17307235715","71119736","2","17225074467","5572533","3048844068","0","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","466446080","5947817453","14447666213","70656813","2","14366398017","5551851","3033850799","0","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","143703552","2874025131","259949026","41664","0","259868532","1667","1361351","0","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","152968288","3021427564","260003863","45258","0","259916952","2724","1369990","0","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","152906656","3027674479","259967698","43530","0","259883606","1879","1364516","0","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","153011456","3040601337","259972288","43631","0","259888015","1892","1364991","0","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","143699296","2838085382","259953104","41212","0","259873445","1876","1361745","0","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","144020320","2853456121","259953974","41144","0","259874505","1839","1362007","0","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","143703776","2849003271","259956671","41248","0","259877045","1898","1362121","0","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","143701728","2832693398","259946733","40527","0","259868420","1614","1360607","0","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","143702784","2874007841","259948890","41749","0","259868523","1629","1361239","0","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","143704480","2852582646","259953709","41237","0","259874104","1799","1361669","0","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","143699808","2857837753","259963546","41723","0","259883303","1865","1363033","0","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","149231776","2983900413","3085770801","64156","0","3085660567","14337","15695346","0","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","12437056","248674405","257179568","5701","0","257171198","5144","1310840","0","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","12436928","248675223","257145890","5681","0","257135950","870","1307972","0","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","12437024","248675374","257144820","5255","0","257135596","888","1307759","0","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","12437056","248674334","257145047","5354","0","257135739","864","1307821","0","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","12433440","248617244","257143797","5078","0","257134989","760","1307515","0","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","12437088","248675595","257145663","5474","0","257135951","887","1307886","0","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","12437056","248675862","257144595","5218","0","257135451","848","1307691","0","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","12433856","248629396","257144372","5232","0","257135200","863","1307580","0","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","12437056","248674875","257143481","5026","0","257134725","722","1307384","0","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","12436800","248676728","257145599","5749","0","257135823","861","1307886","0","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","12437088","248674784","257144165","5203","0","257135061","841","1307542","0","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","12431328","248576593","257143804","5185","0","257134884","789","1307470","0","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2062349536","37130132898","14483767575","71213845","2","14401513282","5563088","2340067155","0","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","463814208","5215990158","11624232225","70754251","2","11542865056","5542410","2325080394","0","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","143384416","2866535122","259954439","41560","0","259874166","1861","1361951","0","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","143382304","2863404596","259954400","41378","0","259874519","1903","1361857","0","0"
