"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:13 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.834460","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.124187","-","-","1"
"FAPP-time-stat","0","1","all","0","4.805338","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.120620","-","-","1"
"FAPP-time-stat","0","3","all","0","4.782864","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.120711","-","-","1"
"FAPP-time-stat","0","2","all","0","4.754023","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.120705","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8095","0x8096","0x807c","0x800e","0x0109","0x010a","0x0077","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2201836288","37843791289","2363","0","1840","492","347823432","9060992","0","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","483452512","3539318126","1989","0","1840","492","29277512","9060651","0","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","154917024","3088664988","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","155316608","3105182894","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","164646272","3282093281","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","149367936","2987194815","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","154915584","3095168021","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","154916352","3095937461","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","154916224","3098214202","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","164598816","3275764310","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","154917824","3098182111","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","154913504","3094035449","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","154957632","3084035631","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","149081312","2980930281","204","0","0","0","344064000","24","0","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","12424928","248432512","17","0","0","0","28672000","13","0","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","12425024","248433484","17","0","0","0","28672000","1","0","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","12424544","248432002","17","0","0","0","28672000","1","0","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","12421696","248386607","17","0","0","0","28672000","1","0","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","12421504","248383453","17","0","0","0","28672000","1","0","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","12421440","248379906","17","0","0","0","28672000","1","0","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","12424800","248432580","17","0","0","0","28672000","1","0","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","12420352","248358859","17","0","0","0","28672000","1","0","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","12422208","248390696","17","0","0","0","28672000","1","0","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","12424960","248434250","17","0","0","0","28672000","1","0","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","12424928","248432136","17","0","0","0","28672000","1","0","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","12424928","248433796","17","0","0","0","28672000","1","0","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2175378848","38711892115","2380","0","1840","492","347821829","9059850","0","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","480540288","5077962113","2006","0","1840","492","29275909","9059509","0","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","154510464","3090160589","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","154572800","3060400114","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","154506656","3089902312","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","154509664","3064625792","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","154511040","3070147642","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","154506880","3053744821","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","154683328","3069245744","34","0","0","0","28958720","31","0","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","154907392","3057343516","34","0","0","0","28958720","31","0","0"
