"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:20 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.723234","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.120635","-","-","1"
"FAPP-time-stat","0","2","all","0","4.697157","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.120754","-","-","1"
"FAPP-time-stat","0","1","all","0","4.648398","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.120568","-","-","1"
"FAPP-time-stat","0","3","all","0","4.627178","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.120179","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0230","0x0231","0x0232","0x0233","0x0234","0x0235","0x0236","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2138458368","36438502604","17675959","0","0","21585066","0","0","11935665","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","472329920","3378377608","2326470","0","0","2267974","0","0","1652683","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","150354816","2982211351","1393914","0","0","1758604","0","0","944980","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","150353952","2987691385","1396416","0","0","1761915","0","0","937311","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","160032480","3159490362","1394397","0","0","1756334","0","0","938878","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","150393440","2977428602","1397339","0","0","1755653","0","0","946158","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","150752128","3014935956","1394887","0","0","1755607","0","0","943939","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","150348928","3006930173","1396912","0","0","1754599","0","0","930236","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","150348864","2987504200","1394091","0","0","1757386","0","0","927530","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","142766176","2824968717","1395500","0","0","1755352","0","0","928537","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","150353696","2982062410","1396371","0","0","1752104","0","0","927527","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","160071744","3165654960","1395879","0","0","1755446","0","0","930554","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","150352224","2971246880","1393783","0","0","1754092","0","0","927332","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","144815552","2895603360","16724060","0","0","20931661","0","0","11101399","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","12069792","241327079","1527675","0","0","1807682","0","0","925281","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","12065856","241268907","1379908","0","0","1741089","0","0","935056","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","12069472","241325678","1382715","0","0","1744523","0","0","927580","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","12069600","241327030","1380469","0","0","1738713","0","0","929239","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","12066016","241271433","1383315","0","0","1738021","0","0","936201","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","12066048","241273658","1380984","0","0","1738041","0","0","934274","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","12069600","241327199","1383108","0","0","1737221","0","0","920666","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","12069600","241326303","1380181","0","0","1739822","0","0","917891","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","12069760","241326832","1381471","0","0","1737566","0","0","918986","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","12063680","241224368","1382489","0","0","1734611","0","0","917817","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","12066400","241279316","1382012","0","0","1737907","0","0","920684","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","12069728","241325557","1379733","0","0","1736465","0","0","917724","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2154256288","39162787835","17665558","0","0","21585245","0","0","11928149","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","469722112","5594427442","2321709","0","0","2278052","0","0","1640689","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","151976384","3008048761","1393958","0","0","1753139","0","0","945140","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","152371904","3032182072","1395301","0","0","1760308","0","0","936846","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","161911712","3217646924","1395388","0","0","1758684","0","0","939878","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","152018240","3040316018","1396354","0","0","1755273","0","0","946931","0"
