"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:27 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.728114","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.124308","-","-","1"
"FAPP-time-stat","0","3","all","0","4.698456","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.120164","-","-","1"
"FAPP-time-stat","0","1","all","0","4.652417","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.120613","-","-","1"
"FAPP-time-stat","0","2","all","0","4.642843","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.120858","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x02b2","0x02b1","0x02b0","0x02b8","0x02b9","0x0260","0x0261","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2167963808","38974574043","426","297866476","99287424","47280940599","43664381646","2955059307","2729024426","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","472817952","5127728653","426","24827116","8274304","36820858471","36326376238","2301304184","2270399082","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","164677632","3291102757","0","24821760","8273920","952352160","665719232","59522010","41607453","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","144980832","2899509072","0","24821760","8273920","952329952","665577504","59520621","41598595","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","152945216","3057701770","0","24821760","8273920","952312080","665694656","59519504","41605916","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","152584992","3049763433","0","24821760","8273920","950813216","667150784","59425826","41696923","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","152542880","3041023572","0","24821760","8273920","953426784","664868896","59589173","41554308","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","152538080","3035646871","0","24821760","8273920","948449184","669500784","59278071","41843797","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","152539424","3046558379","0","24821760","8273920","951697008","666266144","59481063","41641635","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","152538496","3039212149","0","24821760","8273920","948700912","669315824","59293806","41832239","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","164720096","3294350835","0","24821760","8273920","949252528","668721184","59328283","41795075","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","152538144","3047189842","0","24821760","8273920","949297568","668691408","59331097","41793214","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","152540064","3044786710","0","24821760","8273920","951450736","666498992","59465669","41656189","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","149222880","2983779825","0","294916184","98304000","11279121648","7930202592","704945105","495637659","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","12437504","248669506","0","24580184","8192000","934507536","667235312","58406721","41702206","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","12432928","248612384","0","24576000","8192000","941779696","658904032","58861231","41181501","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","12436576","248673811","0","24576000","8192000","941919552","658759664","58869971","41172480","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","12432768","248606151","0","24576000","8192000","941809616","658879008","58863101","41179938","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","12436320","248672683","0","24576000","8192000","940341568","660342960","58771349","41271435","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","12433120","248613576","0","24576000","8192000","942791056","657903056","58924441","41118941","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","12436608","248673088","0","24576000","8192000","937982112","662705408","58623882","41419087","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","12436736","248674287","0","24576000","8192000","941231952","659452064","58826997","41215753","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","12430592","248563378","0","24576000","8192000","938208160","662491440","58638011","41405716","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","12436512","248674003","0","24576000","8192000","938745376","661945344","58671586","41371583","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","12436480","248672792","0","24576000","8192000","938823632","661892192","58676478","41368262","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","12436736","248674166","0","24576000","8192000","940981392","659692112","58811337","41230757","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2156800896","38001861196","480","297872886","99287494","38771362313","35122840006","2423210691","2195178072","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","469851872","4526060101","480","24833430","8274374","28301545513","27795662006","1768847150","1737229448","0"
