"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:34 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.744155","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117611","-","-","1"
"FAPP-time-stat","0","3","all","0","4.713101","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114121","-","-","1"
"FAPP-time-stat","0","1","all","0","4.700461","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.113971","-","-","1"
"FAPP-time-stat","0","2","all","0","4.674569","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.114059","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0309","0x0396","0x0370","0x0121","0x0318","0x0319","0x031a","0x031b"
"FAPP-cpupa","Process","0","0","-","all","0","12","2121671744","38745060508","453217052","102943613","16113617","15344636324","48428591","523412","262002","240464"
"FAPP-cpupa","Thread","0","0","0","all","0","1","474422080","5837502473","38126667","8589882","1365598","12485665661","4680591","113617","83024","60373"
"FAPP-cpupa","Thread","0","0","1","all","0","1","145932128","2907540677","37727510","8577176","1340242","259988544","3972280","34884","15788","15849"
"FAPP-cpupa","Thread","0","0","2","all","0","1","153900576","3077963177","37742037","8577802","1341433","259896788","3981181","39594","17377","17089"
"FAPP-cpupa","Thread","0","0","3","all","0","1","153928512","3078521312","37742398","8577836","1341480","259897259","3981316","39597","17377","17089"
"FAPP-cpupa","Thread","0","0","4","all","0","1","145882496","2917481280","37730386","8577447","1340008","259896760","3974384","35285","15503","15896"
"FAPP-cpupa","Thread","0","0","5","all","0","1","145925984","2915836546","37731008","8577481","1340140","259901616","3974541","35352","15424","15428"
"FAPP-cpupa","Thread","0","0","6","all","0","1","145881376","2916473929","37732115","8577552","1340430","259893101","3974538","35675","15234","15999"
"FAPP-cpupa","Thread","0","0","7","all","0","1","145926112","2914281805","37732116","8577579","1340445","259892436","3974602","35651","15776","15861"
"FAPP-cpupa","Thread","0","0","8","all","0","1","154046560","3076466506","37742292","8577838","1341483","259902370","3980699","39564","16732","16552"
"FAPP-cpupa","Thread","0","0","9","all","0","1","163790208","3274422019","37747860","8577964","1341938","259913412","3985301","43307","19104","19217"
"FAPP-cpupa","Thread","0","0","10","all","0","1","146153824","2920680557","37732814","8577599","1340478","259892698","3974873","35732","15881","15877"
"FAPP-cpupa","Thread","0","0","11","all","0","1","145881888","2907890227","37729849","8577457","1339942","259895679","3974285","35154","14782","15234"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","141193792","2823138746","437159960","100813588","15724599","3085524322","36962650","8117","5847","8341"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11767296","235274939","36429528","8401008","1310352","257155580","3080177","691","496","711"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11767040","235278702","36430182","8401157","1310408","257125744","3080235","679","496","709"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11767136","235278997","36430183","8401162","1310403","257124698","3080239","701","496","726"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11767264","235279490","36430232","8401163","1310411","257124767","3080239","701","496","717"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11763136","235214378","36429677","8401111","1310340","257123685","3080196","629","462","639"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11762496","235201457","36429807","8401130","1310371","257125557","3080206","629","459","639"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11767104","235278109","36430121","8401149","1310393","257124027","3080231","696","496","714"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11767264","235277958","36430124","8401148","1310392","257123870","3080231","678","496","708"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11767264","235277372","36430051","8401137","1310382","257123941","3080229","691","496","711"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11767104","235279576","36430223","8401163","1310408","257124711","3080238","696","496","714"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11767264","235277764","36430091","8401144","1310389","257124028","3080229","696","496","714"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11763424","235220004","36429741","8401116","1310350","257123714","3080200","630","462","639"
"FAPP-cpupa","Process","0","3","-","all","0","12","2068310336","36068972871","457913345","108143021","14378725","9582490942","167934","115598","48181","48078012"
"FAPP-cpupa","Thread","0","3","0","all","0","1","471316544","4256700304","38421792","9020524","1213509","6723645885","73217","50814","21651","4590338"
