"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:41 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.574229","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117536","-","-","1"
"FAPP-time-stat","0","2","all","0","4.565119","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.114068","-","-","1"
"FAPP-time-stat","0","3","all","0","4.542665","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114094","-","-","1"
"FAPP-time-stat","0","1","all","0","4.527231","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.117544","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0316","0x0314","0x0315","0x031e","0x031c","0x031d","0x0391","0x03ae"
"FAPP-cpupa","Process","0","0","-","all","0","12","2078528544","38099647775","333866804","2196","0","48468469","510","0","333406479","79408"
"FAPP-cpupa","Thread","0","0","0","all","0","1","457429504","5822055843","28025865","1118","0","4689721","405","0","27951755","12900"
"FAPP-cpupa","Thread","0","0","1","all","0","1","144213536","2884158930","27802546","65","0","3977639","7","0","27768070","5831"
"FAPP-cpupa","Thread","0","0","2","all","0","1","144256128","2883913934","27800980","65","0","3977458","7","0","27766978","5830"
"FAPP-cpupa","Thread","0","0","3","all","0","1","144215136","2863640844","27801859","65","0","3977674","7","0","27768180","5762"
"FAPP-cpupa","Thread","0","0","4","all","0","1","152257600","3019042814","27805654","66","0","3983403","7","0","27770235","6243"
"FAPP-cpupa","Thread","0","0","5","all","0","1","152462496","3017636430","27804597","66","0","3983436","7","0","27769689","6246"
"FAPP-cpupa","Thread","0","0","6","all","0","1","144213248","2874489939","27801889","65","0","3977682","7","0","27768200","5771"
"FAPP-cpupa","Thread","0","0","7","all","0","1","144263968","2882818998","27800480","65","0","3977492","7","0","27766910","5826"
"FAPP-cpupa","Thread","0","0","8","all","0","1","144263488","2848206608","27799958","65","0","3977320","7","0","27766854","5742"
"FAPP-cpupa","Thread","0","0","9","all","0","1","144485824","2874496467","27801982","65","0","3977765","7","0","27768279","5773"
"FAPP-cpupa","Thread","0","0","10","all","0","1","144263040","2885212046","27803337","65","0","3978436","7","0","27768868","5832"
"FAPP-cpupa","Thread","0","0","11","all","0","1","162204576","3243974922","27817657","426","0","3990443","35","0","27772461","7652"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","141099456","2821290868","320654372","60","0","36968344","36","0","320633286","3732"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11760032","235130271","26721266","5","0","3080699","3","0","26719467","311"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11760032","235132700","26721390","5","0","3080716","3","0","26719542","311"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11756128","235074175","26720955","5","0","3080668","3","0","26719326","311"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11759744","235132280","26721390","5","0","3080716","3","0","26719538","311"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11759776","235131935","26721354","5","0","3080710","3","0","26719522","311"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11756480","235080013","26720949","5","0","3080667","3","0","26719305","311"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11759584","235130438","26721275","5","0","3080700","3","0","26719463","311"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11756416","235079921","26721083","5","0","3080689","3","0","26719377","311"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11755968","235071181","26721006","5","0","3080680","3","0","26719356","311"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11759744","235131926","26721366","5","0","3080716","3","0","26719533","311"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11759936","235132381","26721380","5","0","3080718","3","0","26719540","311"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11755616","235063647","26720958","5","0","3080665","3","0","26719317","311"
"FAPP-cpupa","Process","0","2","-","all","0","12","2042582400","35573463563","334927428","60","0","48001630","29","0","334839716","24966"
"FAPP-cpupa","Thread","0","2","0","all","0","1","456518368","3896606289","27967779","5","0","4559948","29","0","27953439","4345"
"FAPP-cpupa","Thread","0","2","1","all","0","1","140613664","2806610731","27903843","5","0","3947486","0","0","27897724","1530"
"FAPP-cpupa","Thread","0","2","2","all","0","1","155807040","3116090167","27909047","5","0","3957167","0","0","27901036","2583"
"FAPP-cpupa","Thread","0","2","3","all","0","1","140835392","2814228730","27904002","5","0","3947592","0","0","27897805","1533"
