"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:27:55 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.689619","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117560","-","-","1"
"FAPP-time-stat","0","1","all","0","4.664538","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.113956","-","-","1"
"FAPP-time-stat","0","2","all","0","4.586130","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.117599","-","-","1"
"FAPP-time-stat","0","3","all","0","4.547350","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114143","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0190","0x0191","0x0184","0x0186","0x0189","0x018c","0x018d","0x018e"
"FAPP-cpupa","Process","0","0","-","all","0","12","2115017152","37796928169","34244055152","427745370","1834752337","0","1498833641","30793550109","0","30683367879"
"FAPP-cpupa","Thread","0","0","0","all","0","1","468968448","4987928241","2291847708","315042208","939127741","0","690683214","546285670","0","439133580"
"FAPP-cpupa","Thread","0","0","1","all","0","1","145117824","2898005176","2820128472","10260981","79188507","0","73546086","2667290296","0","2667026314"
"FAPP-cpupa","Thread","0","0","2","all","0","1","155059008","3080499327","3002574953","10282253","80105868","0","73507311","2848853188","0","2848570876"
"FAPP-cpupa","Thread","0","0","3","all","0","1","145067840","2901117815","2823191120","10265058","80205467","0","73499864","2669376898","0","2669082951"
"FAPP-cpupa","Thread","0","0","4","all","0","1","155203744","3094224362","3016333726","10223490","80914350","0","73610832","2861698915","0","2861418397"
"FAPP-cpupa","Thread","0","0","5","all","0","1","155086848","3099321054","3021393978","10276727","80223403","0","73494894","2867565601","0","2867280355"
"FAPP-cpupa","Thread","0","0","6","all","0","1","164858144","3297000149","3219156848","10233103","82061621","0","73468554","3063511427","0","3063211809"
"FAPP-cpupa","Thread","0","0","7","all","0","1","145068640","2886136343","2808217602","10241160","82037005","0","73485364","2652592964","0","2652326911"
"FAPP-cpupa","Thread","0","0","8","all","0","1","145067712","2875230314","2797302153","10253159","82339421","0","73439945","2641421308","0","2641158149"
"FAPP-cpupa","Thread","0","0","9","all","0","1","145118048","2902305999","2824473828","10211066","82498440","0","73305351","2668567930","0","2668305162"
"FAPP-cpupa","Thread","0","0","10","all","0","1","145067200","2900113926","2822325994","10205925","83040291","0","73315054","2665866995","0","2665598445"
"FAPP-cpupa","Thread","0","0","11","all","0","1","145333696","2875045463","2797108770","10250240","83010223","0","73477172","2640518917","0","2640254930"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","141128320","2821870397","1895273870","123168850","956642642","0","871213187","67285091","0","66958344"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11762336","235180875","155024719","13088167","83084451","0","71723892","202617","0","167152"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11762048","235181609","158240151","10026900","77232525","0","72759842","8236089","0","8206768"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11762272","235180739","158200904","10039759","78084149","0","72718263","7387457","0","7360664"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11762208","235182118","158207866","10021359","78178703","0","72707790","7310403","0","7283698"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11758176","235114778","158172150","9979568","78883560","0","72819878","6458448","0","6432464"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11762240","235182234","158200168","10034437","78195862","0","72705770","7286538","0","7258438"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11755648","235064430","158176146","9982246","79966454","0","72676332","5522991","0","5496215"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11762080","235180850","158196449","10008269","80049888","0","72700484","5435207","0","5409382"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11762208","235180053","158185847","10020497","80352327","0","72654507","5168693","0","5144248"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11762272","235182000","158281234","9979363","80524349","0","72523962","5221592","0","5194609"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11758240","235116537","158265532","9971357","81060541","0","72530425","4664232","0","4638989"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11758592","235124174","158122704","10016928","81029833","0","72692042","4390824","0","4365717"
"FAPP-cpupa","Process","0","1","-","all","0","12","2092455040","35589586146","33301097485","421206643","1740568916","21","1510547318","29939164641","0","29832700874"
"FAPP-cpupa","Thread","0","1","0","all","0","1","466460256","3682928741","2253297388","306809619","901029100","0","689118544","553479979","0","450019439"
"FAPP-cpupa","Thread","0","1","1","all","0","1","144745696","2857901106","2779810145","10429528","74066468","0","74616876","2631024603","0","2630756152"
"FAPP-cpupa","Thread","0","1","2","all","0","1","162252928","3186215841","3108127696","10423711","75051943","0","74611399","2958351167","0","2958058186"
"FAPP-cpupa","Thread","0","1","3","all","0","1","144739360","2824933372","2746812076","10464100","75357687","0","74636917","2596708716","0","2596412808"
"FAPP-cpupa","Thread","0","1","4","all","0","1","144745408","2811274261","2733194911","10413982","75575925","0","74583468","2582934200","0","2582673128"
"FAPP-cpupa","Thread","0","1","5","all","0","1","144695040","2840559465","2762481147","10369922","75364356","0","74685450","2612328847","0","2612060324"
