"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:03 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.830326","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117463","-","-","1"
"FAPP-time-stat","0","2","all","0","4.794852","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.114085","-","-","1"
"FAPP-time-stat","0","3","all","0","4.778231","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114108","-","-","1"
"FAPP-time-stat","0","1","all","0","4.760579","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.113972","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0240","0x0241","0x0330","0x0274","0x01a4","0x01b4","0x01a5","0x01b5"
"FAPP-cpupa","Process","0","0","-","all","0","12","2134417568","37141545278","2720498830","3005629629","1292935463","480353389","938002589","13845894529","590118981","9441973276"
"FAPP-cpupa","Thread","0","0","0","all","0","1","483039296","4260126314","1798488901","2062777864","116430141","452317883","149741141","1952332065","132521448","2120377532"
"FAPP-cpupa","Thread","0","0","1","all","0","1","146349376","2895461105","83665821","85652601","106797826","2415982","71686238","1081383760","41573897","665185408"
"FAPP-cpupa","Thread","0","0","2","all","0","1","146077056","2921493274","83814066","85605383","106721169","2495754","71648338","1080747104","41611591","665788400"
"FAPP-cpupa","Thread","0","0","3","all","0","1","146076416","2895446040","83817641","85586163","106703817","2483452","71660953","1081128688","41598699","665582144"
"FAPP-cpupa","Thread","0","0","4","all","0","1","146126720","2922423590","83803615","85674884","106782322","2495321","71675399","1081541152","41584269","665351776"
"FAPP-cpupa","Thread","0","0","5","all","0","1","166133056","3318234292","83930892","85628885","107643731","2521090","71646647","1080809152","41613377","665817472"
"FAPP-cpupa","Thread","0","0","6","all","0","1","154054688","3065832384","83872966","85731913","107088957","2626224","71665624","1081427760","41593780","665503392"
"FAPP-cpupa","Thread","0","0","7","all","0","1","146076256","2921411561","83689401","85812662","106702641","2508299","71634996","1080850080","41624964","666002736"
"FAPP-cpupa","Thread","0","0","8","all","0","1","146077280","2920390492","83850753","85723295","106711945","2561572","71651126","1081239600","41609063","665748304"
"FAPP-cpupa","Thread","0","0","9","all","0","1","154205824","3074364670","83895121","85796024","107358803","2676210","71676843","1081549872","41582960","665330176"
"FAPP-cpupa","Thread","0","0","10","all","0","1","154124544","3061850285","83792738","85906216","107307337","2651788","71657976","1081221904","41602072","665636960"
"FAPP-cpupa","Thread","0","0","11","all","0","1","146077056","2884511271","83876915","85733739","106686774","2599814","71657308","1081663392","41602861","665648976"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","141021760","2819679348","1001916486","1028213729","1193644949","35525652","851874525","12842825536","493701967","7899231488"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11752864","234984023","92182586","96583455","99470661","8684256","71492122","1071634496","40646355","650341696"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11752512","234986346","82553068","84632225","99471835","2310136","70969449","1070287296","41161293","658580688"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11752768","234987300","82713640","84595567","99472029","2390887","70932243","1069660448","41198523","659176368"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11752672","234987471","82708200","84568486","99472030","2378316","70944633","1069998256","41186068","658977088"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11752768","234986641","82693094","84656102","99471839","2389396","70959142","1070369360","41171687","658746992"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11752768","234987325","82760762","84582583","99472044","2402350","70930178","1069675760","41200478","659207648"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11749216","234936912","82762113","84717732","99466417","2514753","70949829","1070317600","41180831","658893296"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11748992","234932176","82577388","84795550","99466221","2402785","70919030","1069745584","41211716","659387456"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11752800","234987628","82738024","84700277","99472101","2456490","70934568","1070104976","41196155","659138480"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11752768","234986532","82781163","84777436","99471857","2564619","70960609","1070427696","41170133","658722128"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11752768","234987440","82671219","84882497","99471984","2539566","70941715","1070086416","41189011","659024176"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11748864","234929554","82775229","84721819","99465931","2492098","70941007","1070517648","41189717","659035472"
