"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:10 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.843073","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117502","-","-","1"
"FAPP-time-stat","0","2","all","0","4.816873","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.117612","-","-","1"
"FAPP-time-stat","0","3","all","0","4.796835","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114115","-","-","1"
"FAPP-time-stat","0","1","all","0","4.775728","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.117555","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0325","0x0003","0x0049","0x0017","0x0300","0x80ad","0x80ae","0x0326"
"FAPP-cpupa","Process","0","0","-","all","0","12","2180338304","39158889411","8580080","31696313","12710249","37859705","18427377","99287413","250","1347658"
"FAPP-cpupa","Thread","0","0","0","all","0","1","484313952","5523994690","798640","5241936","1693157","4142496","1817145","8274293","250","152554"
"FAPP-cpupa","Thread","0","0","1","all","0","1","149974784","2958811243","679327","2406341","1005737","3046431","1490056","8273920","0","116517"
"FAPP-cpupa","Thread","0","0","2","all","0","1","149968032","2973669976","699913","2406003","1001839","3060106","1504968","8273920","0","111169"
"FAPP-cpupa","Thread","0","0","3","all","0","1","149968416","2964062253","689907","2405932","1004569","3049006","1495619","8273920","0","110092"
"FAPP-cpupa","Thread","0","0","4","all","0","1","150195680","2967510004","705397","2406213","1004637","3063318","1494023","8273920","0","109350"
"FAPP-cpupa","Thread","0","0","5","all","0","1","159238080","3154898029","693469","2406280","1003918","3056239","1496043","8273920","0","112942"
"FAPP-cpupa","Thread","0","0","6","all","0","1","149922912","2998348234","720580","2403999","999411","3073265","1518634","8273920","0","103937"
"FAPP-cpupa","Thread","0","0","7","all","0","1","149968928","2974901348","705394","2404955","1001586","3067999","1515648","8273920","0","113781"
"FAPP-cpupa","Thread","0","0","8","all","0","1","169127712","3351589287","719769","2404655","1000737","3071808","1513412","8273920","0","102258"
"FAPP-cpupa","Thread","0","0","9","all","0","1","158799968","3175950308","717280","2403761","999667","3073160","1524422","8273920","0","107228"
"FAPP-cpupa","Thread","0","0","10","all","0","1","158936288","3136760208","720783","2403044","999390","3073822","1524431","8273920","0","104201"
"FAPP-cpupa","Thread","0","0","11","all","0","1","149923552","2978393831","729621","2403194","995601","3082055","1532976","8273920","0","103629"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","141062144","2820554184","8397465","28529432","11866249","36423964","17932660","98304000","0","1309072"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11756480","235064328","691036","2351133","959712","3045774","1489343","8192000","0","127099"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11756448","235066344","672899","2381376","995570","3015998","1475129","8192000","0","115256"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11756416","235066388","692908","2380563","991823","3028608","1489488","8192000","0","109881"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11753088","235013942","683416","2380831","994375","3018600","1480824","8192000","0","108886"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11756320","235065237","698455","2381202","994723","3032394","1478790","8192000","0","108089"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11752160","234994148","686735","2381226","993889","3025555","1481129","8192000","0","111733"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11752704","235006600","713646","2379057","989357","3042365","1503481","8192000","0","102754"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11756512","235065903","698800","2379348","991491","3037241","1500443","8192000","0","112565"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11756160","235065220","712846","2379566","990669","3040939","1498130","8192000","0","101089"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11756416","235066586","710207","2378906","989727","3042127","1509190","8192000","0","106059"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11753152","235013761","713940","2378054","989270","3043229","1509089","8192000","0","103164"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11756288","235065727","722577","2378170","985643","3051134","1517624","8192000","0","102497"
"FAPP-cpupa","Process","0","2","-","all","0","12","2110251424","36483771249","8592904","30938927","12702015","37881682","18467407","99287413","250","1358702"
"FAPP-cpupa","Thread","0","2","0","all","0","1","481693792","3980234793","799957","4486101","1693530","4152287","1851826","8274293","250","160453"
