"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:16 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.638319","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117469","-","-","1"
"FAPP-time-stat","0","1","all","0","4.618737","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.114052","-","-","1"
"FAPP-time-stat","0","2","all","0","4.614641","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.117592","-","-","1"
"FAPP-time-stat","0","3","all","0","4.584483","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114087","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8010","0x8028","0x8034","0x0070","0x0071","0x8085","0x8086","0x8087"
"FAPP-cpupa","Process","0","0","-","all","0","12","2108314464","37376762565","854177546","595739502","1763","4239579583","410157284","1145321135","102124064","74525269"
"FAPP-cpupa","Thread","0","0","0","all","0","1","463838400","4766832537","182955566","49660782","1763","3271162290","335114783","199622568","29583453","6263912"
"FAPP-cpupa","Thread","0","0","1","all","0","1","144937152","2876849063","61020180","49643520","0","88037365","6821481","85972597","6594601","6205576"
"FAPP-cpupa","Thread","0","0","2","all","0","1","144886368","2859570728","61020180","49643520","0","88036057","6820800","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","0","3","all","0","1","154912704","3055828109","61020180","49643520","0","88037605","6822144","85972597","6594601","6205579"
"FAPP-cpupa","Thread","0","0","4","all","0","1","164956384","3298971060","61020180","49643520","0","88039379","6823616","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","0","5","all","0","1","144936768","2872523115","61020180","49643520","0","88044260","6825245","85972597","6594601","6205582"
"FAPP-cpupa","Thread","0","0","6","all","0","1","144885824","2859324150","61020180","49643520","0","88036093","6820833","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","0","7","all","0","1","154938784","3071502698","61020180","49643520","0","88038129","6822412","85972597","6594601","6205579"
"FAPP-cpupa","Thread","0","0","8","all","0","1","155051776","3080322599","61020180","49643520","0","88038851","6822745","85972597","6594601","6205576"
"FAPP-cpupa","Thread","0","0","9","all","0","1","144886912","2866136592","61020180","49643520","0","88037779","6821783","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","0","10","all","0","1","145152512","2870334301","61020180","49643520","0","88036683","6821122","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","0","11","all","0","1","144930880","2898567613","61020180","49643520","0","88035092","6820320","85972597","6594601","6205577"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","141022784","2819711307","724992000","589824000","0","1045665981","80792042","1021459311","78354715","73729284"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11753408","234998544","60416000","49152000","0","87149064","6739926","85125473","6533240","6144107"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11749728","234947232","60416000","49152000","0","87137885","6732006","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11753440","234999267","60416000","49152000","0","87137897","6732006","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11753344","234998586","60416000","49152000","0","87137944","6732030","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11747136","234893843","60416000","49152000","0","87137859","6731987","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11753408","234998555","60416000","49152000","0","87137974","6732045","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11753280","234998776","60416000","49152000","0","87137917","6732022","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11753120","234997671","60416000","49152000","0","87137890","6732003","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11749600","234942422","60416000","49152000","0","87137858","6731987","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11749504","234940532","60416000","49152000","0","87137930","6732023","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11753376","234997628","60416000","49152000","0","87137894","6732009","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11753440","234998251","60416000","49152000","0","87137869","6731998","85121258","6529225","6144107"
"FAPP-cpupa","Process","0","1","-","all","0","12","2089082208","36311881357","854177539","595739502","1763","2462707376","414414971","1145322644","102124856","74525516"
"FAPP-cpupa","Thread","0","1","0","all","0","1","461880384","3859691229","182955559","49660782","1763","1494299814","339377846","199624077","29584245","6264165"
"FAPP-cpupa","Thread","0","1","1","all","0","1","144783040","2885947438","61020180","49643520","0","88036883","6821350","85972597","6594601","6205579"
"FAPP-cpupa","Thread","0","1","2","all","0","1","144824192","2880139675","61020180","49643520","0","88036692","6821199","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","1","3","all","0","1","144781504","2880473784","61020180","49643520","0","88036661","6821173","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","1","4","all","0","1","144831136","2896572589","61020180","49643520","0","88035413","6820596","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","1","5","all","0","1","152797600","3053487142","61020180","49643520","0","88038886","6822714","85972597","6594601","6205576"
"FAPP-cpupa","Thread","0","1","6","all","0","1","162594752","3251777755","61020180","49643520","0","88038328","6822966","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","1","7","all","0","1","153095264","3060747997","61020180","49643520","0","88037805","6822172","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","1","8","all","0","1","145052000","2896768372","61020180","49643520","0","88036898","6821347","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","1","9","all","0","1","144780096","2873813854","61020180","49643520","0","88036211","6820946","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","1","10","all","0","1","144830720","2896499609","61020180","49643520","0","88036645","6821185","85972597","6594601","6205576"
"FAPP-cpupa","Thread","0","1","11","all","0","1","144831520","2875961913","61020180","49643520","0","88037140","6821477","85972597","6594601","6205578"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","136933600","2737885490","724992000","589824000","0","1045666002","80792040","1021459311","78354715","73729284"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","11412064","228170598","60416000","49152000","0","87149102","6739946","85125473","6533240","6144107"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","11411968","228169939","60416000","49152000","0","87137884","6732004","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","11412064","228170380","60416000","49152000","0","87137878","6732001","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","11412096","228170374","60416000","49152000","0","87137886","6732001","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","11412096","228170788","60416000","49152000","0","87137862","6731989","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","11408544","228121443","60416000","49152000","0","87138116","6732115","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","11408064","228112699","60416000","49152000","0","87137872","6731994","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","11412064","228169682","60416000","49152000","0","87137860","6731988","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","11412096","228170336","60416000","49152000","0","87137856","6731986","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","11412096","228171208","60416000","49152000","0","87137918","6732017","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","11412096","228170477","60416000","49152000","0","87137898","6732007","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","11408352","228117566","60416000","49152000","0","87137870","6731992","85121258","6529225","6144107"
"FAPP-cpupa","Process","0","2","-","all","0","12","2069385600","36283337904","854177539","595739502","1763","3531386037","408186497","1145321837","102124370","74525084"
"FAPP-cpupa","Thread","0","2","0","all","0","1","461470560","4283976189","182955559","49660782","1763","2562976547","333150171","199623270","29583759","6263730"
"FAPP-cpupa","Thread","0","2","1","all","0","1","143305312","2865991732","61020180","49643520","0","88035822","6820600","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","2","2","all","0","1","143528288","2854405557","61020180","49643520","0","88036677","6821060","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","2","3","all","0","1","143305984","2851220227","61020180","49643520","0","88038229","6821849","85972597","6594601","6205580"
"FAPP-cpupa","Thread","0","2","4","all","0","1","151564544","3020424220","61020180","49643520","0","88038827","6822458","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","2","5","all","0","1","158573312","3171413105","61020180","49643520","0","88037475","6822339","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","2","6","all","0","1","151264896","3008915616","61020180","49643520","0","88037667","6821964","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","2","7","all","0","1","143300288","2840149920","61020180","49643520","0","88035966","6820685","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","2","8","all","0","1","143306496","2844530209","61020180","49643520","0","88036514","6820974","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","2","9","all","0","1","143254880","2854453014","61020180","49643520","0","88037911","6821632","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","2","10","all","0","1","143255328","2844631612","61020180","49643520","0","88037387","6821434","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","2","11","all","0","1","143255712","2843226503","61020180","49643520","0","88037015","6821331","85972597","6594601","6205578"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","141174816","2822739272","724992000","589824000","0","1045667751","80792921","1021459311","78354715","73729285"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","11765568","235238267","60416000","49152000","0","87149415","6740122","85125473","6533240","6144108"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","11761824","235188662","60416000","49152000","0","87138062","6732088","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","11765568","235242728","60416000","49152000","0","87138018","6732066","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","11765216","235242172","60416000","49152000","0","87138048","6732081","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","11765504","235242648","60416000","49152000","0","87137992","6732053","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","11765376","235241869","60416000","49152000","0","87138126","6732120","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","11765600","235243774","60416000","49152000","0","87138012","6732063","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","11765568","235242578","60416000","49152000","0","87138058","6732086","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","11765664","235243121","60416000","49152000","0","87138000","6732057","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","11765536","235242417","60416000","49152000","0","87138040","6732077","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","11761856","235188431","60416000","49152000","0","87138020","6732071","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","11761536","235182605","60416000","49152000","0","87137960","6732037","85121258","6529225","6144107"
"FAPP-cpupa","Process","0","3","-","all","0","12","2068064288","36755703958","854177539","595739502","1763","4214478857","403637242","1145322137","102124579","74525059"
"FAPP-cpupa","Thread","0","3","0","all","0","1","458454752","4711627482","182955559","49660782","1763","3246071454","328600988","199623570","29583968","6263702"
"FAPP-cpupa","Thread","0","3","1","all","0","1","150720096","3004703975","61020180","49643520","0","88037487","6821880","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","3","2","all","0","1","141130880","2822434162","61020180","49643520","0","88037194","6821352","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","3","3","all","0","1","160442016","3206428134","61020180","49643520","0","88038828","6823181","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","3","4","all","0","1","140902400","2786569001","61020180","49643520","0","88036388","6820933","85972597","6594601","6205580"
"FAPP-cpupa","Thread","0","3","5","all","0","1","150892992","2997206714","61020180","49643520","0","88038450","6822379","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","3","6","all","0","1","140902912","2813805612","61020180","49643520","0","88036004","6820631","85972597","6594601","6205578"
"FAPP-cpupa","Thread","0","3","7","all","0","1","150923552","3018361010","61020180","49643520","0","88036832","6821595","85972597","6594601","6205579"
"FAPP-cpupa","Thread","0","3","8","all","0","1","140902112","2792009630","61020180","49643520","0","88036063","6820666","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","3","9","all","0","1","140901760","2781113327","61020180","49643520","0","88035383","6820294","85972597","6594601","6205577"
"FAPP-cpupa","Thread","0","3","10","all","0","1","140854240","2815856048","61020180","49643520","0","88036982","6821184","85972597","6594601","6205576"
"FAPP-cpupa","Thread","0","3","11","all","0","1","151036576","3005588863","61020180","49643520","0","88037792","6822159","85972597","6594601","6205580"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","136972576","2738693260","724992000","589824000","0","1045666182","80792132","1021459311","78354715","73729284"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","11415648","228242236","60416000","49152000","0","87149082","6739935","85125473","6533240","6144107"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","11415680","228242739","60416000","49152000","0","87137906","6732010","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","11411712","228186966","60416000","49152000","0","87137882","6732002","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","11415648","228242421","60416000","49152000","0","87137886","6732000","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","11415776","228243292","60416000","49152000","0","87137910","6732016","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","11412096","228192511","60416000","49152000","0","87138150","6732132","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","11415776","228243076","60416000","49152000","0","87137898","6732010","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","11411520","228181495","60416000","49152000","0","87137874","6731994","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","11415776","228243810","60416000","49152000","0","87137890","6732006","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","11415648","228242746","60416000","49152000","0","87137946","6732030","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","11411936","228189710","60416000","49152000","0","87137882","6732002","85121258","6529225","6144107"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","11415360","228242258","60416000","49152000","0","87137876","6731995","85121258","6529225","6144107"
