"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:23 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.733541","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114096","-","-","1"
"FAPP-time-stat","0","0","all","0","4.720160","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117460","-","-","1"
"FAPP-time-stat","0","2","all","0","4.696821","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.117654","-","-","1"
"FAPP-time-stat","0","1","all","0","4.674936","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.117585","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0185","0x0182","0x0183","0x0180","0x0181","0x0187","0x0188","0x018a"
"FAPP-cpupa","Process","0","3","-","all","0","12","2047979040","36480651238","515414878","138709561","48599325","736772612","25839465","0","0","1417902646"
"FAPP-cpupa","Thread","0","3","0","all","0","1","473360320","5036740501","500147173","56200408","46886481","95153459","24020130","0","0","607368004"
"FAPP-cpupa","Thread","0","3","1","all","0","1","139994816","2799777316","1401149","6575862","156737","57560037","205939","0","0","73795572"
"FAPP-cpupa","Thread","0","3","2","all","0","1","139994976","2795645399","1386703","6824603","148810","58215308","182262","0","0","73582008"
"FAPP-cpupa","Thread","0","3","3","all","0","1","158252352","3164932460","1449160","7089926","139478","58017209","157027","0","0","73684373"
"FAPP-cpupa","Thread","0","3","4","all","0","1","140211520","2804075749","1371179","7494349","151284","58182082","160359","0","0","73580005"
"FAPP-cpupa","Thread","0","3","5","all","0","1","139993472","2790111819","1353110","7048608","164562","58380049","132007","0","0","73519683"
"FAPP-cpupa","Thread","0","3","6","all","0","1","139988640","2784635061","1359466","7700096","168850","58439807","148878","0","0","73639497"
"FAPP-cpupa","Thread","0","3","7","all","0","1","139987584","2795457354","1377202","7857768","161988","58648627","169655","0","0","73727327"
"FAPP-cpupa","Thread","0","3","8","all","0","1","147957312","2957983631","1428421","7934065","155992","58615804","162675","0","0","73806200"
"FAPP-cpupa","Thread","0","3","9","all","0","1","148254624","2963879951","1413580","7820592","154272","58015545","167347","0","0","73723138"
"FAPP-cpupa","Thread","0","3","10","all","0","1","139993760","2797423185","1369928","7670224","154541","58721866","172430","0","0","73618564"
"FAPP-cpupa","Thread","0","3","11","all","0","1","139989664","2789988812","1357807","8493060","156330","58822819","160756","0","0","73858275"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","136981728","2738870756","5218256","87511687","1185224","693465966","1374632","0","0","871745621"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","11416704","228262628","593969","6457417","82627","59032992","169200","0","0","69256239"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","11416736","228263147","450752","6461302","109595","56901770","141607","0","0","73062314"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","11416736","228263684","435134","6695249","94825","57559480","119788","0","0","72852680"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","11412896","228206931","412037","6968726","93380","57386193","111003","0","0","72952695"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","11410176","228153593","424900","7360630","93586","57526361","110188","0","0","72850009"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","11412384","228199031","406995","6917303","108853","57728217","80738","0","0","72787721"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","11416640","228262982","417237","7567244","113607","57787467","93060","0","0","72909342"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","11416736","228262619","419266","7721728","103056","57970433","107947","0","0","72994797"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","11416480","228263774","421566","7792852","93623","57973813","109409","0","0","73072988"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","11416704","228262306","408965","7682190","97994","57362885","108160","0","0","72992840"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","11416736","228263683","416658","7536636","96552","58056022","114682","0","0","72885723"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","11412800","228206378","410777","8350410","97526","58180333","108850","0","0","73128273"
"FAPP-cpupa","Process","0","0","-","all","0","12","2108947072","36462729629","564321623","179606638","70188455","758061566","23873455","0","0","1406013952"
"FAPP-cpupa","Thread","0","0","0","all","0","1","472022624","3840700014","548808063","77201095","68467730","98616199","22248971","0","0","607878842"
"FAPP-cpupa","Thread","0","0","1","all","0","1","145608096","2912055011","1410819","8617583","160144","59423946","167733","0","0","72703923"
