"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:30 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","2","all","0","4.815011","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.114041","-","-","1"
"FAPP-time-stat","0","1","all","0","4.795175","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.117601","-","-","1"
"FAPP-time-stat","0","3","all","0","4.762430","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114068","-","-","1"
"FAPP-time-stat","0","0","all","0","4.750260","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117450","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0192","0x0193","0x0194","0x018b","0x80c6","0x80c4","0x80c7","0x80c5"
"FAPP-cpupa","Process","0","2","-","all","0","12","2106265568","39751847714","474514548","239576793","4920432279","48919055","2655984044","0","120935076","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","481506624","7321927328","384197363","186956603","4318930358","48259827","221383084","0","120934856","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","151157664","3013001197","8167275","4816929","54669187","61087","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","156168544","3108236468","8279882","4759283","54670165","62518","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","144998528","2897299770","8211753","4800392","54658109","58703","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","144998624","2895040676","8305179","4761853","54663161","62271","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","145049088","2900869267","8220552","4785824","54674301","59178","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","151000480","3019902240","8162730","4792701","54699735","60577","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","144999232","2890295844","8207267","4772906","54695509","58176","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","145264992","2901051182","8218807","4774060","54687700","58979","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","151073760","3019071683","8205668","4779612","54686059","60808","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","145049376","2885290157","8147232","4789123","54710258","58653","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","144998656","2899861902","8190840","4787507","54687737","58278","221327360","0","20","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","136910624","2737469408","97044610","59297647","647148162","93265","2629632000","0","0","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","11410880","228148466","7903289","7229392","51625411","39715","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","11410880","228149522","8060663","4766531","54126082","5041","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","11410752","228149635","8173350","4709182","54126878","4899","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","11410880","228147777","8104927","4750724","54115115","5047","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","11406976","228087562","8192088","4710041","54118178","4500","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","11410880","228148293","8114913","4735518","54131073","5423","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","11406752","228085874","8057493","4742754","54156074","5033","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","11410816","228148579","8101828","4722938","54151806","4503","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","11410880","228147776","8113019","4724092","54144312","5080","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","11410624","228148315","8098764","4729636","54142382","4788","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","11404000","228030632","8041362","4738514","54166256","4662","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","11406304","228076977","8082914","4738325","54144595","4574","219136000","0","0","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2089814816","36097765984","467794751","223821206","1543419997","35851297","2655984044","0","120935076","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","479522848","3990188662","378334485","172426238","940137968","35204100","221383084","0","120934856","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","142595360","2851866481","8076814","4673278","54864910","56911","221327360","0","20","0"
