"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:38 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.832308","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114086","-","-","1"
"FAPP-time-stat","0","0","all","0","4.814415","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117448","-","-","1"
"FAPP-time-stat","0","2","all","0","4.793072","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.114066","-","-","1"
"FAPP-time-stat","0","1","all","0","4.777678","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.113973","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x01a6","0x01e0","0x03e0","0x03e8","0x01a0","0x01a1","0x01a2","0x01a3"
"FAPP-cpupa","Process","0","3","-","all","0","12","2078448160","36025072983","36220","4029882124","738796711","150828438","2434267151","2569889039","1825098458","1681428155"
"FAPP-cpupa","Thread","0","3","0","all","0","1","483236160","4156656084","35087","514476341","84325282","16690789","1610366695","1833218428","1597043011","1348059345"
"FAPP-cpupa","Thread","0","3","1","all","0","1","141096352","2812140487","103","310305791","57832200","11893074","74868742","67015598","20712401","30306995"
"FAPP-cpupa","Thread","0","3","2","all","0","1","141091456","2820568986","103","311223132","57996754","11922939","74881520","67020134","20763162","30241541"
"FAPP-cpupa","Thread","0","3","3","all","0","1","141318816","2825225257","103","311730740","58088501","11939444","74928662","66938512","20766122","30273410"
"FAPP-cpupa","Thread","0","3","4","all","0","1","149037504","2980646232","103","328727591","61133801","12490362","74949948","66938894","20608201","30411946"
"FAPP-cpupa","Thread","0","3","5","all","0","1","149185536","2974026738","103","328010528","61010087","12466984","74971769","66913403","20722940","30298020"
"FAPP-cpupa","Thread","0","3","6","all","0","1","141046752","2818435291","103","310968227","57954424","11915380","74916468","66957423","20749759","30280473"
"FAPP-cpupa","Thread","0","3","7","all","0","1","149067712","2978889397","103","328508374","61101384","12484076","74870271","66979603","20717245","30352443"
"FAPP-cpupa","Thread","0","3","8","all","0","1","141046496","2816619226","103","310760096","57918514","11908864","74968033","66922308","20676719","30346493"
"FAPP-cpupa","Thread","0","3","9","all","0","1","160138880","3198434274","103","352533938","65397503","13262525","74879273","66989647","20782703","30271533"
"FAPP-cpupa","Thread","0","3","10","all","0","1","141090976","2821642095","103","311313404","58017385","11926669","74851538","67004329","20796220","30256497"
"FAPP-cpupa","Thread","0","3","11","all","0","1","141091520","2821788916","103","311323962","58020876","11927332","74814232","66990760","20759975","30329459"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","136970688","2738653960","1212","332122044","86193355","31603531","888816766","796809080","248035122","356455985"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","11415648","228239938","101","28121062","7183183","2633692","73624032","67852169","22956596","26831665"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","11415456","228242158","101","27657976","7183247","2633707","74078844","66314818","20443500","29968372"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","11415648","228241162","101","27653235","7183222","2633703","74088872","66320256","20494014","29902003"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","11415552","228242110","101","27651818","7183243","2633705","74137736","66237888","20496664","29933877"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","11411424","228178461","101","27642349","7181830","2633466","74156600","66239183","20338723","30070183"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","11415648","228240866","101","27656063","7183210","2633698","74180290","66213201","20453275","29956809"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","11415648","228241548","101","27632010","7183228","2633703","74126693","66255657","20479666","29942006"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","11411552","228181726","101","27615674","7181905","2633480","74076958","66276001","20443162","30009047"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","11411232","228176107","101","27615288","7181794","2633463","74173245","66219878","20404641","30004305"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","11415552","228241305","101","27634554","7183223","2633702","74085220","66285545","20506625","29928876"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","11411776","228187135","101","27620624","7182039","2633508","74061516","66301418","20524887","29916388"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","11415552","228241444","101","27621391","7183231","2633704","74026760","66293066","20493369","29992454"
"FAPP-cpupa","Process","0","0","-","all","0","12","2105305888","38750211246","36761","4384139732","792009611","160426174","4737465205","4869035617","2909547728","2896094225"
"FAPP-cpupa","Thread","0","0","0","all","0","1","481446976","6534941411","35628","830920776","130817397","25117952","3913218497","4133228583","2679378143","2564267917"
"FAPP-cpupa","Thread","0","0","1","all","0","1","143462400","2833540170","103","312632233","58243571","11963193","74906478","66918275","20958902","30136704"
"FAPP-cpupa","Thread","0","0","2","all","0","1","143462208","2833384697","103","312605094","58240471","11962624","74909237","66921816","20962755","30127050"
"FAPP-cpupa","Thread","0","0","3","all","0","1","151651072","3008252139","103","331732645","61676843","12583435","74959126","66841202","20924510","30193877"
"FAPP-cpupa","Thread","0","0","4","all","0","1","143457888","2869116134","103","316520185","58939388","12089527","74936041","66870911","20946484","30144217"
"FAPP-cpupa","Thread","0","0","5","all","0","1","143462944","2839050030","103","313223017","58351825","11982879","75008873","66813466","20926024","30165264"
"FAPP-cpupa","Thread","0","0","6","all","0","1","143407104","2837785044","103","313075851","58326503","11978370","74954718","66865168","20927095","30162276"
"FAPP-cpupa","Thread","0","0","7","all","0","1","165034816","3275785753","103","360975978","66908324","13531924","74943818","66892619","20908941","30181886"
"FAPP-cpupa","Thread","0","0","8","all","0","1","151304320","3006620076","103","331550218","61630717","12577371","74958308","66883015","20872288","30201704"
"FAPP-cpupa","Thread","0","0","9","all","0","1","143678848","2832419841","103","312486045","58222094","11959196","74849874","66972792","20935556","30148508"
"FAPP-cpupa","Thread","0","0","10","all","0","1","143457440","2849761100","103","314380273","58560486","12020702","74962173","66872811","20887421","30192653"
"FAPP-cpupa","Thread","0","0","11","all","0","1","151479872","3029554851","103","334037417","62091992","12659001","74858062","66954959","20919609","30172169"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","140997888","2819256422","1212","340754858","87524800","31762097","888960787","795730295","249681533","355416612"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11751200","234953879","101","28795768","7294069","2646884","73428729","67630025","22507804","27327395"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11747040","234894671","101","28371432","7292764","2646675","74113645","66215936","20685436","29796364"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11747456","234901991","101","28362168","7292916","2646698","74115708","66219930","20689144","29787043"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11751040","234958558","101","28369563","7294215","2646930","74165978","66140316","20651354","29852851"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11750976","234957572","101","28375508","7294164","2646916","74146927","66174095","20678983","29807650"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11750848","234957512","101","28366330","7294169","2646918","74217010","66113463","20653975","29826413"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11751072","234956946","101","28357676","7294156","2646914","74162797","66165085","20656251","29823440"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11751136","234956362","101","28350680","7294138","2646911","74147975","66189453","20631287","29838940"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11751136","234956726","101","28365599","7294163","2646917","74165120","66182544","20599225","29860715"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11747712","234905929","101","28349481","7293006","2646717","74058654","66272856","20665127","29809608"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11747296","234898107","101","28345914","7292849","2646692","74171050","66170134","20613913","29852478"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11750976","234958169","101","28344739","7294191","2646925","74067194","66256458","20649034","29833715"
"FAPP-cpupa","Process","0","2","-","all","0","12","2072912832","37420321872","36183","4221217729","765968739","155761591","4024118932","4157947181","2568554805","2520636719"
"FAPP-cpupa","Thread","0","2","0","all","0","1","479312576","5719041106","35050","724079079","114839047","22224646","3200525803","3421049224","2340392262","2187306016"
"FAPP-cpupa","Thread","0","2","1","all","0","1","141127200","2796703693","103","308619775","57523945","11837643","74866576","67012060","20702785","30318286"
"FAPP-cpupa","Thread","0","2","2","all","0","1","141138720","2807166532","103","309762524","57728595","11874721","74886905","67017218","20767777","30232912"
"FAPP-cpupa","Thread","0","2","3","all","0","1","141139360","2822679988","103","311453086","58031581","11929702","74932310","66929939","20765676","30276013"
"FAPP-cpupa","Thread","0","2","4","all","0","1","141360544","2827168783","103","311938947","58120096","11945672","74902015","66967279","20615654","30410809"
"FAPP-cpupa","Thread","0","2","5","all","0","1","141138944","2802279048","103","309223485","57633068","11857403","74985597","66916334","20709138","30293929"
"FAPP-cpupa","Thread","0","2","6","all","0","1","148967328","2958296936","103","326268185","60682706","12410306","74783993","67062225","20791251","30267999"
"FAPP-cpupa","Thread","0","2","7","all","0","1","149405344","2966845377","103","327197757","60864702","12440668","74954904","66916560","20689486","30350513"
"FAPP-cpupa","Thread","0","2","8","all","0","1","141126912","2807578624","103","309775550","57736531","11876185","74886249","66971615","20699097","30350065"
"FAPP-cpupa","Thread","0","2","9","all","0","1","141133888","2802276809","103","309197223","57632926","11857394","74730645","67098538","20843514","30233451"
"FAPP-cpupa","Thread","0","2","10","all","0","1","149107200","2967021800","103","327212208","60862395","12441211","74842478","66975445","20751492","30349502"
"FAPP-cpupa","Thread","0","2","11","all","0","1","157954816","3143263176","103","346489910","64313147","13066040","74821457","67030744","20826673","30247224"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","136944320","2738157495","1212","332076368","86186036","31601491","888519814","797038064","248147213","356433807"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","11413408","228198938","101","28111450","7182596","2633528","73627856","67850220","22953353","26843431"
