"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:45 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.691593","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117488","-","-","1"
"FAPP-time-stat","0","3","all","0","4.670638","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114138","-","-","1"
"FAPP-time-stat","0","1","all","0","4.646348","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.117539","-","-","1"
"FAPP-time-stat","0","2","all","0","4.625286","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.117586","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0049","0x0202","0x0059","0x0302","0x0005","0x002d","0x0001","0x0326"
"FAPP-cpupa","Process","0","0","-","all","0","12","2096923840","36810056291","12706631","12691619","19438964","19438389","2502223","17128","1132820","1356608"
"FAPP-cpupa","Thread","0","0","0","all","0","1","469164800","4377062420","1691975","1681775","2319109","2319046","2467102","16780","1114307","160713"
"FAPP-cpupa","Thread","0","0","1","all","0","1","144139232","2867602929","1006958","1006569","1556167","1556123","3171","27","1680","116660"
"FAPP-cpupa","Thread","0","0","2","all","0","1","144362624","2887212402","1002885","1002396","1561439","1561391","3005","30","1308","110437"
"FAPP-cpupa","Thread","0","0","3","all","0","1","144088608","2861210478","1002716","1002214","1556138","1556092","3126","25","1563","110850"
"FAPP-cpupa","Thread","0","0","4","all","0","1","162371328","3237746445","1004069","1003556","1566607","1566555","3200","28","1564","110163"
"FAPP-cpupa","Thread","0","0","5","all","0","1","152116832","3041083461","1002734","1002267","1562517","1562473","3508","49","2289","114488"
"FAPP-cpupa","Thread","0","0","6","all","0","1","152089024","3037441487","1001542","1001138","1557030","1556982","3412","39","2166","102806"
"FAPP-cpupa","Thread","0","0","7","all","0","1","144088864","2881673023","1000367","999955","1552476","1552433","3092","27","1515","114090"
"FAPP-cpupa","Thread","0","0","8","all","0","1","144089536","2879342384","1002218","1001795","1558565","1558521","3184","27","1688","101071"
"FAPP-cpupa","Thread","0","0","9","all","0","1","152234720","3044592032","997103","996692","1550735","1550691","3073","31","1488","108095"
"FAPP-cpupa","Thread","0","0","10","all","0","1","144088928","2850263429","997046","996648","1549045","1548994","3153","30","1674","104454"
"FAPP-cpupa","Thread","0","0","11","all","0","1","144089344","2844825801","997018","996614","1549136","1549088","3197","35","1578","102781"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","141040000","2820103674","11863640","11859168","18503539","18503428","2364","1","3310","1310794"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11755008","235032646","959030","958809","1556477","1556453","294","1","364","128184"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11751200","234977953","996951","996615","1540355","1540350","192","0","272","115351"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11754880","235033245","992918","992480","1545618","1545609","185","0","244","109179"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11754944","235033346","992685","992234","1540496","1540488","185","0","263","109568"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11754944","235032669","994070","993608","1550723","1550709","184","0","270","108910"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11754688","235033056","992722","992306","1546668","1546662","186","0","267","113213"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11754880","235032756","991554","991202","1541165","1541155","186","0","275","101580"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11754912","235032447","990452","990091","1536585","1536582","184","0","256","112761"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11751040","234971400","992124","991752","1542916","1542909","190","0","274","99935"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11750528","234961803","987108","986748","1535445","1535442","185","0","280","107009"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11751520","234981745","987075","986728","1533577","1533565","184","0","279","103350"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11751456","234980608","986951","986595","1533514","1533504","209","0","266","101754"
"FAPP-cpupa","Process","0","3","-","all","0","12","2044456032","36048494264","13736643","13720868","20104214","20103623","1590449","16162","1066745","1218125"
"FAPP-cpupa","Thread","0","3","0","all","0","1","467069056","4617010044","1802570","1791212","2329995","2329928","1577028","15711","1049830","148654"
"FAPP-cpupa","Thread","0","3","1","all","0","1","139791296","2784031038","1086577","1086211","1624470","1624421","1218","39","1652","99448"
