"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:10 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.723886","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.096464","-","-","1"
"FAPP-time-stat","0","2","all","0","4.701983","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.083961","-","-","1"
"FAPP-time-stat","0","0","all","0","4.678252","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.083793","-","-","1"
"FAPP-time-stat","0","1","all","0","4.652913","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.096720","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80c0","0x80c1","0x0017","0x0018","0x0325","0x0326","0x0121","0x8000"
"FAPP-cpupa","Process","0","3","-","all","0","12","2053839104","37147905754","2655984044","120935076","36480867","4577688","8455381","652422","13544627427","1558337308"
"FAPP-cpupa","Thread","0","3","0","all","0","1","472392384","5570580734","221383084","120934856","4239629","1668628","803902","87808","11653801574","131855537"
"FAPP-cpupa","Thread","0","3","1","all","0","1","138553600","2768607901","221327360","20","2932548","268507","697861","51408","171892182","129680161"
"FAPP-cpupa","Thread","0","3","2","all","0","1","146345280","2926874658","221327360","20","2924697","255729","689468","52017","171890212","129680161"
"FAPP-cpupa","Thread","0","3","3","all","0","1","146343200","2911727080","221327360","20","2939521","236337","703492","52299","171893041","129680161"
"FAPP-cpupa","Thread","0","3","4","all","0","1","138547872","2769798405","221327360","20","2932953","288167","696953","52487","171886981","129680161"
"FAPP-cpupa","Thread","0","3","5","all","0","1","156058240","3121047616","221327360","20","2924417","294104","688785","50667","171906039","129680161"
"FAPP-cpupa","Thread","0","3","6","all","0","1","138547648","2761195656","221327360","20","2939342","242566","705071","49256","171891921","129680161"
"FAPP-cpupa","Thread","0","3","7","all","0","1","146461952","2929139172","221327360","20","2916996","257072","679949","53085","171895346","129680161"
"FAPP-cpupa","Thread","0","3","8","all","0","1","138553728","2765988362","221327360","20","2936023","240618","701949","50822","171889332","129680161"
"FAPP-cpupa","Thread","0","3","9","all","0","1","138818016","2772111781","221327360","20","2929446","246715","692609","50827","171887023","129680161"
"FAPP-cpupa","Thread","0","3","10","all","0","1","146643424","2922401712","221327360","20","2933702","275071","700972","50413","171894120","129680161"
"FAPP-cpupa","Thread","0","3","11","all","0","1","146573760","2928432677","221327360","20","2931593","304174","694370","51333","171899656","129680161"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","115812800","2315574195","2629632000","0","34952845","3079742","8271367","608190","2039981429","1540753800"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","9652960","192993058","219136000","0","3040358","222770","696862","51371","170042318","128396150"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","9649248","192939324","219136000","0","2902623","263466","690776","50686","169996044","128396150"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","9652992","192994534","219136000","0","2894698","251094","682466","51326","169994920","128396150"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","9652992","192995019","219136000","0","2909640","231936","696467","51551","169994557","128396150"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","9650592","192956290","219136000","0","2903048","283748","689844","51849","169992731","128396150"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","9652864","192994718","219136000","0","2894339","288553","681887","49864","169995055","128396150"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","9648864","192930657","219136000","0","2909520","238118","698090","48547","169994865","128396150"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","9648640","192926041","219136000","0","2887014","252476","672836","52419","169994194","128396150"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","9649088","192934771","219136000","0","2906199","236230","694912","50181","169993304","128396150"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","9653056","192994828","219136000","0","2899515","241905","685620","50055","169994926","128396150"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","9652960","192993372","219136000","0","2904034","270420","694215","49692","169994926","128396150"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","9648544","192921583","219136000","0","2901857","299026","687392","50649","169993589","128396150"
"FAPP-cpupa","Process","0","2","-","all","0","12","2086759552","38538998523","2655984044","120935076","38490926","4569154","9637786","1080487","16498308623","1558337364"
"FAPP-cpupa","Thread","0","2","0","all","0","1","470202176","6317712528","221383084","120934856","4282803","1622712","882424","147063","14607453544","131855593"
"FAPP-cpupa","Thread","0","2","1","all","0","1","144236800","2882350988","221327360","20","3113947","250797","799203","85233","171895710","129680161"
"FAPP-cpupa","Thread","0","2","2","all","0","1","150016288","3000227199","221327360","20","3111365","269953","793481","89702","171898554","129680161"
"FAPP-cpupa","Thread","0","2","3","all","0","1","150454560","3009058700","221327360","20","3110678","314784","795119","86434","171893865","129680161"
"FAPP-cpupa","Thread","0","2","4","all","0","1","144242240","2880618194","221327360","20","3112536","342510","796049","86526","171893277","129680161"
"FAPP-cpupa","Thread","0","2","5","all","0","1","144235968","2853205630","221327360","20","3108593","227918","794233","86193","171894272","129680161"
"FAPP-cpupa","Thread","0","2","6","all","0","1","150076992","2991867854","221327360","20","3109219","192337","794356","85448","171899113","129680161"
"FAPP-cpupa","Thread","0","2","7","all","0","1","150188000","3003663833","221327360","20","3111963","249789","798812","83709","171899504","129680161"
