"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:13 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.721174","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.096348","-","-","1"
"FAPP-time-stat","0","0","all","0","4.707968","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.083779","-","-","1"
"FAPP-time-stat","0","2","all","0","4.684728","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.096474","-","-","1"
"FAPP-time-stat","0","1","all","0","4.666304","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.083818","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8091","0x8092","0x80bc","0x80af","0x809f","0x009f","0x8043","0x0012"
"FAPP-cpupa","Process","0","3","-","all","0","12","2024457152","34782005452","187723879","10545745","0","0","16","1608359","1582571","902648227"
"FAPP-cpupa","Thread","0","3","0","all","0","1","472120928","3849381655","15651121","880045","0","0","16","1608095","1582461","899015218"
"FAPP-cpupa","Thread","0","3","1","all","0","1","137736352","2738069766","15642978","878700","0","0","0","24","10","329421"
"FAPP-cpupa","Thread","0","3","2","all","0","1","137465376","2727386890","15642978","878700","0","0","0","24","10","334781"
"FAPP-cpupa","Thread","0","3","3","all","0","1","137464160","2749187230","15642978","878700","0","0","0","24","10","328114"
"FAPP-cpupa","Thread","0","3","4","all","0","1","137507328","2744444676","15642978","878700","0","0","0","24","10","328976"
"FAPP-cpupa","Thread","0","3","5","all","0","1","137514208","2745392745","15642978","878700","0","0","0","24","10","328905"
"FAPP-cpupa","Thread","0","3","6","all","0","1","153072160","3050296623","15642978","878700","0","0","0","24","10","332604"
"FAPP-cpupa","Thread","0","3","7","all","0","1","137507968","2750017928","15642978","878700","0","0","0","24","10","328904"
"FAPP-cpupa","Thread","0","3","8","all","0","1","145781120","2899186938","15642978","878700","0","0","0","24","10","331136"
"FAPP-cpupa","Thread","0","3","9","all","0","1","137463200","2738339496","15642978","878700","0","0","0","24","10","328269"
"FAPP-cpupa","Thread","0","3","10","all","0","1","145343232","2896528510","15642978","878700","0","0","0","24","10","330438"
"FAPP-cpupa","Thread","0","3","11","all","0","1","145481120","2893772995","15642978","878700","0","0","0","24","10","331461"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","115672064","2312722041","185856588","10440000","0","0","0","96","0","3425786"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","9641504","192758608","15488049","870000","0","0","0","8","0","289032"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","9636960","192692381","15488049","870000","0","0","0","8","0","285561"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","9641504","192760197","15488049","870000","0","0","0","8","0","285329"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","9637536","192702752","15488049","870000","0","0","0","8","0","285188"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","9638912","192723104","15488049","870000","0","0","0","8","0","284889"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","9641472","192758212","15488049","870000","0","0","0","8","0","285407"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","9641440","192759439","15488049","870000","0","0","0","8","0","285197"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","9635008","192653788","15488049","870000","0","0","0","8","0","285139"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","9637408","192700310","15488049","870000","0","0","0","8","0","284915"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","9641504","192758382","15488049","870000","0","0","0","8","0","284914"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","9641536","192758238","15488049","870000","0","0","0","8","0","285130"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","9637280","192696630","15488049","870000","0","0","0","8","0","285085"
"FAPP-cpupa","Process","0","0","-","all","0","12","2086448256","39032367221","187723830","10545745","0","0","16","1609140","1582782","3765953873"
"FAPP-cpupa","Thread","0","0","0","all","0","1","470800576","6868702145","15651072","880045","0","0","16","1608876","1582672","3762295101"
"FAPP-cpupa","Thread","0","0","1","all","0","1","148998240","2977496344","15642978","878700","0","0","0","24","10","332342"
"FAPP-cpupa","Thread","0","0","2","all","0","1","149017312","2974780342","15642978","878700","0","0","0","24","10","349787"
"FAPP-cpupa","Thread","0","0","3","all","0","1","143483712","2849088534","15642978","878700","0","0","0","24","10","329753"
"FAPP-cpupa","Thread","0","0","4","all","0","1","149385728","2950731892","15642978","878700","0","0","0","24","10","331543"
