"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:16 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.637775","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.083784","-","-","1"
"FAPP-time-stat","0","1","all","0","4.615698","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.096652","-","-","1"
"FAPP-time-stat","0","2","all","0","4.593119","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.096386","-","-","1"
"FAPP-time-stat","0","3","all","0","4.569895","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.096431","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0190","0x0191","0x0184","0x0186","0x0189","0x018c","0x018d","0x018e"
"FAPP-cpupa","Process","0","0","-","all","0","12","2050682144","37253645438","33255328553","412811502","1278155516","2528","1580412608","30275913365","0","30163765976"
"FAPP-cpupa","Thread","0","0","0","all","0","1","463781248","5627016089","2224237531","315649710","898715001","0","698388586","507532322","0","399358571"
"FAPP-cpupa","Thread","0","0","1","all","0","1","148483552","2969567952","2915450473","8821932","33429021","192","80120956","2801790603","0","2801497430"
"FAPP-cpupa","Thread","0","0","2","all","0","1","140431904","2806245254","2752087125","8864243","33982542","702","80177290","2637805849","0","2637294438"
"FAPP-cpupa","Thread","0","0","3","all","0","1","148415936","2968284782","2914180185","8830556","34471560","35","80010319","2799573158","0","2799063211"
"FAPP-cpupa","Thread","0","0","4","all","0","1","140430944","2807270647","2753129831","8804800","34249021","428","80233397","2638535399","0","2638198136"
"FAPP-cpupa","Thread","0","0","5","all","0","1","148577952","2961876179","2907768936","8803428","34642657","866","79904088","2793112357","0","2792823839"
"FAPP-cpupa","Thread","0","0","6","all","0","1","140702720","2798815251","2744618641","8876728","34717610","0","80281466","2629491991","0","2628957830"
"FAPP-cpupa","Thread","0","0","7","all","0","1","158084864","3135620877","3081470898","8835249","34992057","37","80001827","2966355902","0","2965975685"
"FAPP-cpupa","Thread","0","0","8","all","0","1","140429952","2788028064","2733871478","8860223","33906021","0","80562447","2619298686","0","2619020561"
"FAPP-cpupa","Thread","0","0","9","all","0","1","140431488","2777101012","2722973485","8800310","34730141","229","80382641","2607755796","0","2607475191"
"FAPP-cpupa","Thread","0","0","10","all","0","1","140480800","2805308089","2751175308","8826619","35025522","22","80240508","2635803809","0","2635522003"
"FAPP-cpupa","Thread","0","0","11","all","0","1","140430784","2808511242","2754364662","8837704","35294363","17","80109083","2638857493","0","2638579081"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","100603680","2011374662","1370289876","103157889","394694896","62","951412119","23943171","0","22597215"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","8385216","167634735","114328481","8453435","32302778","0","78776233","3211467","0","2999680"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","8384544","167635618","114223353","8597118","31872473","0","79270525","3066209","0","3028922"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","8385184","167636554","114176187","8646189","32472855","0","79328604","2344087","0","2085624"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","8385184","167636691","114233567","8608082","32917506","0","79160312","2125502","0","1870834"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","8380736","167566303","114143363","8575365","32646447","33","79373363","2110829","0","2075879"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","8384704","167634670","114233281","8578646","33075102","7","79049277","2095063","0","2058905"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","8384864","167635251","114157794","8646614","33136796","0","79424586","1567064","0","1311271"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","8380928","167569902","114138432","8600319","33336562","0","79142702","1641084","0","1531367"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","8385024","167634723","114175476","8642956","32398122","0","79711272","2052719","0","2018797"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","8381344","167579252","114148830","8583132","33235107","0","79532382","1367678","0","1323998"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","8381152","167574939","114143352","8607064","33520724","22","79387878","1222133","0","1185658"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","8384800","167636024","114187760","8618969","33780424","0","79254985","1139336","0","1106280"
"FAPP-cpupa","Process","0","1","-","all","0","12","2013490880","35632743799","32546793026","407807766","1469266625","181","1622972141","29337256773","0","29215341708"
"FAPP-cpupa","Thread","0","1","0","all","0","1","461573696","4644029156","2158315957","307373023","868569411","0","699722076","475284956","0","366772698"
