"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:45 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.733493","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.083796","-","-","1"
"FAPP-time-stat","0","2","all","0","4.709289","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.083773","-","-","1"
"FAPP-time-stat","0","3","all","0","4.680553","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.096425","-","-","1"
"FAPP-time-stat","0","1","all","0","4.661501","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.096721","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0185","0x0182","0x0183","0x0180","0x0181","0x0187","0x0188","0x018a"
"FAPP-cpupa","Process","0","0","-","all","0","12","2084243616","38073371262","576857259","116371800","71338432","336937912","23196041","494","96","1483312149"
"FAPP-cpupa","Thread","0","0","0","all","0","1","473353056","5967072488","559820388","75357120","69416360","50742311","21163095","0","0","615169150"
"FAPP-cpupa","Thread","0","0","1","all","0","1","142596768","2825862277","1533093","3009395","167169","25727335","213239","0","0","78855924"
"FAPP-cpupa","Thread","0","0","2","all","0","1","142597056","2851841293","1501329","3446788","165200","25955288","169293","0","0","78972367"
"FAPP-cpupa","Thread","0","0","3","all","0","1","142602976","2847660525","1587580","3419947","189561","26283172","202844","0","0","79007977"
"FAPP-cpupa","Thread","0","0","4","all","0","1","150791680","3000649695","1564827","3522765","172645","25936226","185142","0","0","78922963"
"FAPP-cpupa","Thread","0","0","5","all","0","1","150418880","3007230364","1581686","3882713","172786","26057684","188181","0","0","78938144"
"FAPP-cpupa","Thread","0","0","6","all","0","1","142867008","2857239184","1534834","3730379","169388","26150045","190784","0","0","78872760"
"FAPP-cpupa","Thread","0","0","7","all","0","1","160601824","3211934740","1609058","3815896","169610","25825609","171138","0","0","79000658"
"FAPP-cpupa","Thread","0","0","8","all","0","1","142597824","2849500602","1506151","3878750","184879","25790129","169947","494","0","78894438"
"FAPP-cpupa","Thread","0","0","9","all","0","1","150620992","2980901784","1566807","3992399","172905","26090883","182368","0","96","78905733"
"FAPP-cpupa","Thread","0","0","10","all","0","1","142598144","2842156896","1531331","4203592","183988","26044987","175487","0","0","78788045"
"FAPP-cpupa","Thread","0","0","11","all","0","1","142597408","2831321414","1520175","4112056","173941","26334243","184523","0","0","78983990"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","100618048","2011611088","6487066","43432677","1381557","306849271","1533696","0","0","937259029"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","8386368","167654504","659441","3506386","103829","24332783","188609","0","0","77739061"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","8386400","167654994","543084","2930142","118286","25404261","140606","0","0","78073626"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","8382336","167598280","526023","3354628","113026","25635052","116750","0","0","78189824"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","8386048","167653612","511989","3302857","110562","25907465","118424","0","0","78222012"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","8386336","167654961","524772","3426122","115807","25611985","121773","0","0","78137036"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","8386016","167654694","541793","3782012","114428","25715656","125207","0","0","78153125"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","8385888","167654569","543244","3638202","117131","25816425","125304","0","0","78090679"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","8381952","167589998","519021","3723621","117200","25497303","115785","0","0","78217623"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","8381920","167588864","511777","3770896","118729","25452965","115832","0","0","78112643"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","8386272","167655866","535214","3894411","117235","25765226","121045","0","0","78118565"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","8382208","167595454","542726","4097061","120884","25711744","124527","0","0","78003772"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","8386304","167655292","527982","4006339","114440","25998406","119834","0","0","78201063"
"FAPP-cpupa","Process","0","2","-","all","0","12","2032377376","37281379672","549234358","107376427","62310929","341250169","26012792","0","0","1484478074"
"FAPP-cpupa","Thread","0","2","0","all","0","1","470932768","6102017455","532453219","66392707","60375562","53756567","23956242","0","0","615781788"
"FAPP-cpupa","Thread","0","2","1","all","0","1","138167424","2763317859","1480051","3178805","166111","25414923","196879","0","0","79322848"
