"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:52 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.755121","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.083892","-","-","1"
"FAPP-time-stat","0","3","all","0","4.726596","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.096515","-","-","1"
"FAPP-time-stat","0","2","all","0","4.706442","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.096513","-","-","1"
"FAPP-time-stat","0","1","all","0","4.688488","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.096529","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0192","0x0193","0x0194","0x018b","0x80c6","0x80c4","0x80c7","0x80c5"
"FAPP-cpupa","Process","0","0","-","all","0","12","2041978560","36530561506","446637920","231346907","2739870034","41132880","2655984044","0","120935077","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","475515776","5505935083","375586991","173956478","2369959521","40484976","221383084","0","120934857","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","150468000","2990260795","6516733","5185912","33642133","65225","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","138249792","2740602736","6442153","5207455","33641723","56363","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","159458816","3189142116","6433850","5221605","33626586","63234","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","138249408","2739418952","6464974","5229278","33606085","56542","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","138249984","2724213392","6448356","5211410","33636018","56220","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","138247968","2723061219","6439631","5247676","33617086","56651","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","138494336","2733496389","6438310","5285230","33581840","56167","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","150296640","2976095695","6424338","5233895","33618303","60952","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","138250560","2744803199","6439524","5204961","33657050","60509","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","138248288","2733951238","6495938","5193081","33632636","56738","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","138248992","2729580692","6507122","5169926","33651053","59303","221327360","0","20","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","100735808","2013985084","76448489","61838446","399629365","52880","2629632000","0","0","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","8395936","167850843","6388412","5049935","33408881","4963","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","8395936","167851318","6421572","5130043","33305193","4637","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","8395936","167852098","6353702","5153381","33306904","4459","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","8395936","167851588","6344105","5167939","33291732","4094","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","8392320","167799401","6376000","5174937","33271203","4228","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","8392096","167795300","6360510","5156924","33301285","4425","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","8391840","167788742","6350714","5193574","33281877","4546","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","8396032","167851912","6350410","5230820","33247174","4240","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","8395936","167850977","6335252","5179723","33283113","4506","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","8395936","167851568","6345985","5148243","33320185","4549","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","8391936","167789978","6406866","5138401","33297524","4308","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","8395968","167851359","6414961","5114526","33314294","3925","219136000","0","0","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2049446016","36243098716","450155038","227906665","1998297563","38260056","2655984044","0","120935076","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","472663360","4776298678","374575584","170553342","1631484938","37610432","221383084","0","120934856","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","138150688","2760617318","6922483","5204391","33306449","56544","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","137929440","2758369560","6800218","5235889","33376574","60629","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","149748192","2984099519","6859917","5214594","33360316","60986","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","137917440","2743021730","6851186","5210164","33356085","59683","221327360","0","20","0"
