"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:59 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.744193","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.083867","-","-","1"
"FAPP-time-stat","0","3","all","0","4.707679","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.091537","-","-","1"
"FAPP-time-stat","0","2","all","0","4.694074","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.083889","-","-","1"
"FAPP-time-stat","0","1","all","0","4.668565","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.083895","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x01a6","0x01e0","0x03e0","0x03e8","0x01a0","0x01a1","0x01a2","0x01a3"
"FAPP-cpupa","Process","0","0","-","all","0","12","2067996224","35642383445","36748","3956550207","732354169","149208753","1734395375","1823591475","1448788291","1209472415"
"FAPP-cpupa","Thread","0","0","0","all","0","1","474423040","3882105826","35615","474103961","79057058","15698578","1225890975","1449444767","1421340735","1148627872"
"FAPP-cpupa","Thread","0","0","1","all","0","1","139355872","2784729278","103","305370851","57381925","11773755","46106333","33958594","2471581","5509380"
"FAPP-cpupa","Thread","0","0","2","all","0","1","151661568","3012658615","103","330292514","61851873","12581604","46090086","33964205","2484575","5519570"
"FAPP-cpupa","Thread","0","0","3","all","0","1","151363680","3017593387","103","330835986","61942787","12599192","46151607","33928913","2491646","5485771"
"FAPP-cpupa","Thread","0","0","4","all","0","1","139627584","2791407756","103","306110927","57514601","11797443","46372533","34092185","2515153","5579409"
"FAPP-cpupa","Thread","0","0","5","all","0","1","139406016","2761902380","103","302862804","56936698","11692552","46311141","34166055","2562533","5588333"
"FAPP-cpupa","Thread","0","0","6","all","0","1","151228672","3024409053","103","331576123","62066762","12623170","46062850","33965735","2491107","5514924"
"FAPP-cpupa","Thread","0","0","7","all","0","1","163469888","3269366942","103","358369288","66869865","13491995","46137347","33909639","2476171","5488380"
"FAPP-cpupa","Thread","0","0","8","all","0","1","139353792","2755610985","103","302180435","56812650","11670386","46132542","33974150","2438259","5467395"
"FAPP-cpupa","Thread","0","0","9","all","0","1","139352160","2782741655","103","305162603","57342578","11766581","46499560","34136001","2530857","5587701"
"FAPP-cpupa","Thread","0","0","10","all","0","1","139354624","2771904311","103","303957795","57130924","11728207","46173563","33922670","2469157","5483395"
"FAPP-cpupa","Thread","0","0","11","all","0","1","139399328","2787953257","103","305726920","57446448","11785290","46466838","34128561","2516517","5620285"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","100704192","2013358720","1212","229505850","72787258","28731077","548791680","403888752","28870034","65143062"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","8393440","167798698","101","19150956","6066009","2394322","45912684","33906272","2446414","5372827"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","8393408","167799529","101","19129041","6066048","2394331","45595831","33581064","2381228","5413325"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","8393440","167800584","101","19120655","6066064","2394338","45579569","33584835","2391527","5421125"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","8393248","167799496","101","19124161","6066027","2394326","45639759","33552160","2398481","5388951"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","8392960","167798912","101","19138594","6066022","2394325","45863489","33716358","2425495","5484081"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","8389408","167739055","101","19109321","6064701","2394104","45788253","33772296","2450439","5476761"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","8389728","167746268","101","19113257","6064868","2394132","45550545","33587620","2397112","5416846"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","8393440","167800427","101","19119868","6066064","2394337","45626091","33534456","2383436","5392032"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","8393216","167799789","101","19123609","6066051","2394334","45624177","33598582","2349541","5372818"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","8389536","167741821","101","19131938","6064750","2394109","45989381","33758352","2439461","5491617"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","8389152","167734854","101","19111566","6064622","2394091","45661576","33543356","2376657","5385816"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","8393216","167799287","101","19132884","6066032","2394328","45960325","33753401","2430243","5526863"
"FAPP-cpupa","Process","0","3","-","all","0","12","2027978880","36918164903","36162","4146464397","755673536","153166082","3856085681","3937982523","2435253142","2321167722"
