"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:06 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.664151","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.083799","-","-","1"
"FAPP-time-stat","0","1","all","0","4.637841","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.083865","-","-","1"
"FAPP-time-stat","0","2","all","0","4.617959","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.096499","-","-","1"
"FAPP-time-stat","0","3","all","0","4.592867","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.096468","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0049","0x0202","0x0059","0x0302","0x0005","0x002d","0x0001","0x0326"
"FAPP-cpupa","Process","0","0","-","all","0","12","2060268672","38819439639","21155732","17896410","24445990","21345103","3387635","18727","1140269","1078527"
"FAPP-cpupa","Thread","0","0","0","all","0","1","466418912","7075656631","2541646","2267246","2790863","2534122","3355216","18404","1121666","139868"
"FAPP-cpupa","Thread","0","0","1","all","0","1","141263648","2799244836","1695550","1424136","1972978","1714422","2853","28","1581","87529"
"FAPP-cpupa","Thread","0","0","2","all","0","1","141040512","2789269131","1689198","1417843","1959653","1701096","2913","26","1721","87991"
"FAPP-cpupa","Thread","0","0","3","all","0","1","141035232","2810954717","1686453","1415121","1957109","1698549","2990","31","1733","88270"
"FAPP-cpupa","Thread","0","0","4","all","0","1","140991456","2819796992","1694591","1423288","1975669","1717109","2772","22","1340","84665"
"FAPP-cpupa","Thread","0","0","5","all","0","1","149032640","2980552422","1696326","1424954","1974549","1715990","2836","32","1537","84059"
"FAPP-cpupa","Thread","0","0","6","all","0","1","141041632","2800181237","1695491","1424103","1974373","1715814","2921","31","1710","85419"
"FAPP-cpupa","Thread","0","0","7","all","0","1","159341152","3186648201","1691995","1420663","1970893","1712333","3181","29","1977","84310"
"FAPP-cpupa","Thread","0","0","8","all","0","1","148874880","2976351258","1693154","1421791","1969643","1711083","2859","38","1591","83563"
"FAPP-cpupa","Thread","0","0","9","all","0","1","141035520","2816471049","1693316","1421987","1972639","1714080","2968","29","1601","82911"
"FAPP-cpupa","Thread","0","0","10","all","0","1","149207648","2981579663","1688295","1416932","1962081","1703522","3227","30","2327","85858"
"FAPP-cpupa","Thread","0","0","11","all","0","1","140985440","2782733502","1689717","1418346","1965540","1706983","2899","27","1485","84084"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","100618528","2011688879","20134992","16919151","23405386","20335217","2377","2","3495","1029833"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","8387264","167663910","1705882","1445262","1968023","1713842","294","2","390","103752"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","8386176","167665311","1678611","1409898","1953098","1697094","186","0","283","86365"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","8381856","167589378","1672392","1403737","1939946","1683950","193","0","288","86916"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","8382336","167598987","1669589","1400957","1937244","1681248","202","0","294","87208"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","8386336","167664806","1677719","1409118","1955766","1699767","188","0","263","83522"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","8386080","167664621","1679496","1410826","1954743","1698744","185","0","276","82885"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","8382176","167596784","1678627","1409943","1954522","1698523","187","0","292","84313"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","8386080","167663910","1675199","1406568","1951023","1695024","191","0","267","83188"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","8385984","167663211","1676359","1407697","1949818","1693818","186","0","283","82527"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","8386304","167665308","1676569","1407936","1952860","1696860","190","0","281","81622"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","8381952","167588865","1671535","1402869","1942319","1686320","188","0","297","84622"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","8385984","167663788","1673014","1404340","1946024","1690027","187","0","281","82913"
"FAPP-cpupa","Process","0","1","-","all","0","12","2007293472","34539299422","21169451","17910034","24467023","21366116","2429565","18670","1097212","1091035"
"FAPP-cpupa","Thread","0","1","0","all","0","1","463787808","3723495034","2543219","2268793","2796110","2539355","2416201","18287","1079599","144625"
"FAPP-cpupa","Thread","0","1","1","all","0","1","136721216","2723445794","1695685","1424332","1972881","1714321","1209","39","1626","87119"
