"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:09 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.678076","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079732","-","-","1"
"FAPP-time-stat","0","3","all","0","4.659837","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.081359","-","-","1"
"FAPP-time-stat","0","1","all","0","4.641546","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081330","-","-","1"
"FAPP-time-stat","0","2","all","0","4.615110","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081511","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80c0","0x80c1","0x0017","0x0018","0x0325","0x0326","0x0121","0x8000"
"FAPP-cpupa","Process","0","0","-","all","0","12","2055149280","35883555838","2655984044","120935077","37695158","4556832","8023640","734945","10393586464","1881896778"
"FAPP-cpupa","Thread","0","0","0","all","0","1","467812128","4248347072","221383084","120934857","4215489","1707517","758402","98056","6831560874","158835779"
"FAPP-cpupa","Thread","0","0","1","all","0","1","140730240","2812177914","221327360","20","3052144","239728","662358","63131","323812437","156641909"
"FAPP-cpupa","Thread","0","0","2","all","0","1","140777568","2800390365","221327360","20","3047252","227664","663030","59220","323811885","156641909"
"FAPP-cpupa","Thread","0","0","3","all","0","1","140777888","2814370896","221327360","20","3045773","263148","665140","56802","323811827","156641909"
"FAPP-cpupa","Thread","0","0","4","all","0","1","148770688","2975261898","221327360","20","3047845","299843","665291","56325","323830863","156641909"
"FAPP-cpupa","Thread","0","0","5","all","0","1","141000864","2788524908","221327360","20","3045488","245302","660066","59809","323811634","156641909"
"FAPP-cpupa","Thread","0","0","6","all","0","1","140772704","2789343375","221327360","20","3040582","254415","659929","56108","323814534","156641909"
"FAPP-cpupa","Thread","0","0","7","all","0","1","140728256","2804788041","221327360","20","3040053","255225","657920","57643","323816668","156641909"
"FAPP-cpupa","Thread","0","0","8","all","0","1","148732512","2970165856","221327360","20","3040483","243170","658406","56119","323865111","156641909"
"FAPP-cpupa","Thread","0","0","9","all","0","1","148835584","2956106089","221327360","20","3039771","264625","656628","58134","323820216","156641909"
"FAPP-cpupa","Thread","0","0","10","all","0","1","155488512","3109666810","221327360","20","3037285","308532","655234","58248","323825929","156641909"
"FAPP-cpupa","Thread","0","0","11","all","0","1","140722336","2814412614","221327360","20","3042993","247663","661236","55350","323804486","156641909"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95734624","1913974009","2629632000","0","36183462","3079237","7855411","688603","3844986484","1861091400"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7979712","159524405","219136000","0","3044032","281859","663207","59837","320459924","155090950"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7979680","159524867","219136000","0","3021142","235444","655683","62356","320412464","155090950"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7979648","159524905","219136000","0","3016335","222946","656452","58414","320411684","155090950"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7979648","159524325","219136000","0","3014833","258344","658466","56036","320411718","155090950"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7976064","159472858","219136000","0","3016903","294696","658612","55595","320411430","155090950"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7979488","159525607","219136000","0","3014522","240471","653489","59002","320412328","155090950"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7976000","159471217","219136000","0","3009791","249600","653305","55429","320411289","155090950"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7975680","159466357","219136000","0","3009209","250366","651287","56915","320411219","155090950"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7973504","159419665","219136000","0","3009424","238791","651783","55394","320410980","155090950"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7979648","159525076","219136000","0","3008997","259808","650052","57379","320411319","155090950"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7975808","159468667","219136000","0","3006371","303726","648545","57629","320411471","155090950"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7979744","159526060","219136000","0","3011903","243186","654530","54617","320410658","155090950"
"FAPP-cpupa","Process","0","3","-","all","0","12","2034163936","35267503980","2655984044","120935076","39795698","4564025","9869647","921884","8964172295","1881893560"
"FAPP-cpupa","Thread","0","3","0","all","0","1","465988288","3973102820","221383084","120934856","4409682","1768195","902815","122033","5402216901","158832561"
