"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:12 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.770905","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079727","-","-","1"
"FAPP-time-stat","0","3","all","0","4.745801","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.081578","-","-","1"
"FAPP-time-stat","0","1","all","0","4.725817","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081520","-","-","1"
"FAPP-time-stat","0","2","all","0","4.699991","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081570","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8091","0x8092","0x80bc","0x80af","0x809f","0x009f","0x8043","0x0012"
"FAPP-cpupa","Process","0","0","-","all","0","12","2094821344","36125491626","5439030","15889","0","0","16","1609123","1786206","748712954"
"FAPP-cpupa","Thread","0","0","0","all","0","1","477094944","3842346045","460672","2557","0","0","16","1608859","1608336","735988901"
"FAPP-cpupa","Thread","0","0","1","all","0","1","142451968","2833796874","452578","1212","0","0","0","24","16170","1154615"
"FAPP-cpupa","Thread","0","0","2","all","0","1","142501728","2847565439","452578","1212","0","0","0","24","16170","1153966"
"FAPP-cpupa","Thread","0","0","3","all","0","1","142501408","2840221891","452578","1212","0","0","0","24","16170","1154932"
"FAPP-cpupa","Thread","0","0","4","all","0","1","152450816","3048983021","452578","1212","0","0","0","24","16170","1155653"
"FAPP-cpupa","Thread","0","0","5","all","0","1","152519680","3049253130","452578","1212","0","0","0","24","16170","1158267"
"FAPP-cpupa","Thread","0","0","6","all","0","1","162573344","3234418739","452578","1212","0","0","0","24","16170","1166003"
"FAPP-cpupa","Thread","0","0","7","all","0","1","142496032","2838371420","452578","1212","0","0","0","24","16170","1159028"
"FAPP-cpupa","Thread","0","0","8","all","0","1","142452288","2848947993","452578","1212","0","0","0","24","16170","1155095"
"FAPP-cpupa","Thread","0","0","9","all","0","1","142716864","2850026427","452578","1212","0","0","0","24","16170","1154261"
"FAPP-cpupa","Thread","0","0","10","all","0","1","142451360","2845398302","452578","1212","0","0","0","24","16170","1154658"
"FAPP-cpupa","Thread","0","0","11","all","0","1","152610912","3046162345","452578","1212","0","0","0","24","16170","1157575"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95728608","1913872623","5376588","14400","0","0","0","96","192000","13214252"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7979072","159510080","448049","1200","0","0","0","8","16000","1105273"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7974944","159452178","448049","1200","0","0","0","8","16000","1101185"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7979040","159514471","448049","1200","0","0","0","8","16000","1100726"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7975616","159465480","448049","1200","0","0","0","8","16000","1100928"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7978720","159515104","448049","1200","0","0","0","8","16000","1100685"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7979040","159513929","448049","1200","0","0","0","8","16000","1101175"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7975264","159456527","448049","1200","0","0","0","8","16000","1100836"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7978816","159513740","448049","1200","0","0","0","8","16000","1100635"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7979040","159513120","448049","1200","0","0","0","8","16000","1100666"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7978816","159512638","448049","1200","0","0","0","8","16000","1100826"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7975456","159460473","448049","1200","0","0","0","8","16000","1100658"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7974784","159444883","448049","1200","0","0","0","8","16000","1100659"
"FAPP-cpupa","Process","0","3","-","all","0","12","2030767840","35274477814","5439079","15889","0","0","16","1608352","1789347","1273046531"
"FAPP-cpupa","Thread","0","3","0","all","0","1","474585536","4294917759","460721","2557","0","0","16","1608088","1611477","1260349503"
"FAPP-cpupa","Thread","0","3","1","all","0","1","146463040","2897685918","452578","1212","0","0","0","24","16170","1155903"
"FAPP-cpupa","Thread","0","3","2","all","0","1","138216512","2727375548","452578","1212","0","0","0","24","16170","1152503"
"FAPP-cpupa","Thread","0","3","3","all","0","1","138210240","2748923140","452578","1212","0","0","0","24","16170","1154670"
