"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:19 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.665143","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079703","-","-","1"
"FAPP-time-stat","0","3","all","0","4.636511","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.081506","-","-","1"
"FAPP-time-stat","0","1","all","0","4.622249","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081469","-","-","1"
"FAPP-time-stat","0","2","all","0","4.589960","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081568","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80a5","0x80a6","0x8038","0x0105","0x0113","0x0108","0x0112","0x011a"
"FAPP-cpupa","Process","0","0","-","all","0","12","2026869824","36139087512","0","0","1283","617582008","22724897","35076","709303617","3939"
"FAPP-cpupa","Thread","0","0","0","all","0","1","466518720","5182059539","0","0","1085","71503002","22720365","33943","163220607","3939"
"FAPP-cpupa","Thread","0","0","1","all","0","1","137793024","2719531583","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","157826560","3156494609","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","137844064","2736878994","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","137793088","2734646076","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","137794208","2740214704","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","137843648","2730132854","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","137837952","2715248719","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","145786528","2915630504","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","145847424","2886059509","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","145926240","2886468446","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","138058368","2735721975","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95702432","1913334138","0","0","0","589830424","3915","1212","589833523","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7976768","159466697","0","0","0","49158413","340","101","49158124","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7976544","159465755","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7976544","159468504","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7976576","159466027","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7970656","159366324","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7976416","159466938","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7973024","159413169","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7976704","159466159","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7973088","159413667","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7976608","159466435","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7972896","159409396","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7976608","159465067","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","1985605728","35489970340","0","0","1281","617581785","22722997","34367","709301828","3939"
"FAPP-cpupa","Thread","0","3","0","all","0","1","463655648","5093244486","0","0","1083","71502779","22718465","33234","163218818","3939"
"FAPP-cpupa","Thread","0","3","1","all","0","1","135495264","2705478661","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","143494752","2869860388","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","150732192","3014608417","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","135488032","2707101308","0","0","18","49643546","412","103","49643910","0"
