"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:26 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.624120","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.091237","-","-","1"
"FAPP-time-stat","0","2","all","0","4.598472","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.091255","-","-","1"
"FAPP-time-stat","0","3","all","0","4.578682","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.083172","-","-","1"
"FAPP-time-stat","0","1","all","0","4.552625","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.091206","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8008","0x0198","0x0199","0x0139","0x0010","0x0012","-","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2051787328","35060173019","7504475949","71823349","3","7421670243","5897482","391724554","0","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","462416320","3309840561","3941595357","71343625","3","3859705632","5687564","379012142","0","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","141638464","2828022259","323891244","42880","0","323809116","18962","1154577","0","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","141640992","2828568593","323887566","42643","0","323806273","18938","1153702","0","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","141638592","2832681842","323885058","42449","0","323804125","18805","1153509","0","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","141638688","2832740577","323879169","42289","0","323798286","18792","1152641","0","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","152034112","3040646580","323893800","44780","0","323807756","18783","1155567","0","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","151926624","3037112806","323900650","44957","0","323814641","19042","1156511","0","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","141639040","2830314289","323889664","42480","0","323808628","19048","1154072","0","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","141636480","2829885451","323941619","46272","0","323854124","19890","1162104","0","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","151987936","3029622932","323897860","44723","0","323812042","19187","1156101","0","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","141955552","2829330813","323895195","42480","0","323814037","19048","1155046","0","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","141634528","2831406316","323918767","43771","0","323835583","19423","1158582","0","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","109543584","2190169874","3845337033","71278","0","3845222167","210642","13215989","0","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","9129952","182531521","320491188","6343","0","320481166","15958","1104866","0","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","9126880","182490647","320442288","6284","0","320431768","17672","1101463","0","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","9129600","182531780","320440165","5912","0","320430725","17697","1100908","0","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","9129952","182533632","320440569","6015","0","320430993","17591","1100987","0","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","9129888","182533689","320440791","5995","0","320431115","17723","1101029","0","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","9129824","182533212","320441505","6044","0","320431605","17743","1101259","0","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","9129792","182532239","320440734","5966","0","320431210","17816","1101078","0","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","9126752","182488666","320439960","5828","0","320430620","17723","1100857","0","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","9126592","182486082","320439051","5582","0","320430079","17626","1100693","0","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","9129920","182532574","320441127","5952","0","320431439","17991","1101161","0","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","9124544","182443967","320439794","5601","0","320430778","17639","1100872","0","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","9129888","182531865","320439861","5756","0","320430669","17463","1100816","0","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","1993069408","36211705748","17363040147","71289030","3","17280740690","5874133","2868795435","0","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","459851392","5685664046","13800287018","70827095","3","13718868015","5665032","2856104665","0","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","137599904","2747774713","323881639","41654","0","323801914","18886","1153296","0","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","137277792","2724899527","323923793","43714","0","323841313","19869","1159058","0","0"
