"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:33 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","2","all","0","4.597693","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.079801","-","-","1"
"FAPP-time-stat","0","1","all","0","4.597074","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.079715","-","-","1"
"FAPP-time-stat","0","0","all","0","4.576992","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079636","-","-","1"
"FAPP-time-stat","0","3","all","0","4.530506","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.079673","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8095","0x8096","0x807c","0x800e","0x0109","0x010a","0x0077","-"
"FAPP-cpupa","Process","0","2","-","all","0","12","2075535744","38479974216","2312","0","1840","492","596090918","9092126","0","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","459773408","6232360127","1938","0","1840","492","50012198","9091785","0","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","146294880","2916152025","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","145974528","2904254212","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","153572384","3068371644","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","145975520","2918296639","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","145982688","2919543742","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","145977824","2917159869","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","145974656","2915251569","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","146112192","2906236134","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","145972448","2908943350","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","140402080","2808005946","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","153523136","3065398959","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","95823008","1915751715","204","0","0","0","589824000","6424","0","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","7986496","159663467","17","0","0","0","49152000","6413","0","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","7983168","159617101","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","7986496","159663113","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","7982816","159608309","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","7982976","159611802","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","7986400","159664335","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","7986240","159663878","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","7986464","159663223","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","7982624","159605335","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","7986592","159663687","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","7986336","159663370","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","7986400","159664095","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2074297952","38338807559","2295","0","1840","492","596090913","9092116","0","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","459711744","6101050156","1921","0","1840","492","50012193","9091775","0","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","145687552","2909472786","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","145640864","2909226394","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","145644896","2910464780","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","146043008","2920826092","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","145640896","2911626338","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","155438720","3102744323","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","138088992","2761635910","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","155483200","3098191909","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","145639136","2903122681","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","145640576","2907965729","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","145638368","2902480461","34","0","0","0","49643520","31","0","0"
