"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:40 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.621407","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079777","-","-","1"
"FAPP-time-stat","0","1","all","0","4.550476","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.079731","-","-","1"
"FAPP-time-stat","0","2","all","0","4.527174","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.079662","-","-","1"
"FAPP-time-stat","0","3","all","0","4.499811","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.079676","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0230","0x0231","0x0232","0x0233","0x0234","0x0235","0x0236","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2064169312","37282791068","28044941","0","0","34871544","0","0","6754783","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","462144896","5293653136","3223820","0","0","3467585","0","0","1327455","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","145026624","2890360131","2257328","0","0","2889350","0","0","495570","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","151983200","3039567478","2256291","0","0","2879564","0","0","499559","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","145067264","2898773231","2256473","0","0","2865774","0","0","497242","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","145421824","2905691691","2257109","0","0","2860406","0","0","494479","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","145026080","2900426033","2253742","0","0","2863872","0","0","498897","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","145024960","2890720762","2256963","0","0","2848453","0","0","490075","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","145025120","2896186123","2256961","0","0","2845009","0","0","494546","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","151936672","3037595822","2256546","0","0","2843292","0","0","490042","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","145025920","2900422043","2256122","0","0","2833060","0","0","486555","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","137464576","2733682629","2257872","0","0","2849267","0","0","496505","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","145022176","2895711989","2255714","0","0","2825912","0","0","483858","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95789184","1915074109","26908569","0","0","33922237","0","0","5994124","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7984128","159611559","2333353","0","0","2829569","0","0","623672","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7984064","159614182","2234986","0","0","2860777","0","0","490483","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7980832","159570145","2233933","0","0","2850883","0","0","494258","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7980800","159569236","2234115","0","0","2837113","0","0","491864","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7980608","159564744","2234732","0","0","2831847","0","0","489032","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7984064","159613039","2231432","0","0","2835915","0","0","494005","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7984032","159613151","2234603","0","0","2820050","0","0","484725","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7978368","159520593","2234622","0","0","2816676","0","0","489257","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7983936","159613825","2234147","0","0","2814991","0","0","484815","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7980224","159557674","2233752","0","0","2804907","0","0","481385","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7984064","159612229","2235491","0","0","2821558","0","0","491794","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7984064","159613732","2233403","0","0","2797951","0","0","478834","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2103505856","38951660675","28044663","0","0","34825312","0","0","6732244","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","455051968","6130564380","3225181","0","0","3449568","0","0","1324919","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","158224800","3163340027","2256648","0","0","2889836","0","0","499612","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","158265920","3128303885","2256007","0","0","2860811","0","0","485109","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","148564864","2950723401","2256874","0","0","2865537","0","0","493045","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","148565344","2939787541","2256138","0","0","2860503","0","0","497543","0"
