"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:47 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","1","all","0","4.717996","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.079554","-","-","1"
"FAPP-time-stat","0","2","all","0","4.693514","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.079741","-","-","1"
"FAPP-time-stat","0","0","all","0","4.673461","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079688","-","-","1"
"FAPP-time-stat","0","3","all","0","4.645587","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.079677","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x02b2","0x02b1","0x02b0","0x02b8","0x02b9","0x0260","0x0261","-"
"FAPP-cpupa","Process","0","1","-","all","0","12","2073600640","38512582023","434","1251","292","71154273580","70849760619","4447142638","4428110622","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","471803808","6609576818","434","1251","292","62680554332","62464677867","3917535194","3904042956","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","154581952","3087415063","0","0","0","770744208","761888688","48171513","47618043","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","144417696","2888319438","0","0","0","770521472","762317792","48157592","47644862","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","136850496","2736863031","0","0","0","770223584","762529104","48138973","47658069","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","144811680","2859286316","0","0","0","770533632","762022224","48158352","47626387","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","144414720","2867681246","0","0","0","770539152","762406592","48158697","47650412","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","144435456","2888554457","0","0","0","770131600","762467152","48133219","47654194","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","144414784","2885915377","0","0","0","770501808","761800240","48156362","47612515","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","144409760","2856686181","0","0","0","770023824","761962528","48126487","47622659","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","144413408","2887132143","0","0","0","769928144","762650512","48120509","47665657","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","154635904","3082992774","0","0","0","769929808","762751680","48120613","47671978","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","144410976","2862159179","0","0","0","770642016","762286240","48165127","47642890","0"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","95521600","1909760963","0","0","0","9142639936","9054421920","571414991","565901377","0"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","7961696","159168857","0","0","0","764374816","754870032","47773424","47179379","0"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","7961696","159169955","0","0","0","762014960","754131664","47625934","47133230","0"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","7961408","159170323","0","0","0","761893696","754591184","47618356","47161948","0"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","7961632","159170504","0","0","0","761513728","754664608","47594608","47166538","0"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","7961472","159169302","0","0","0","761875488","754282272","47617219","47142642","0"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","7957664","159105203","0","0","0","761871392","754618080","47616962","47163631","0"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","7958624","159123054","0","0","0","761466720","754685280","47591670","47167830","0"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","7961472","159168816","0","0","0","761830496","754043664","47614405","47127730","0"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","7958400","159118635","0","0","0","761356688","754183600","47584792","47136476","0"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","7961312","159169171","0","0","0","761274688","754883088","47579668","47180195","0"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","7958016","159110347","0","0","0","761200064","754960144","47575003","47185009","0"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","7958208","159116796","0","0","0","761967200","754508304","47622950","47156769","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2053669600","35717325559","427","1246","292","30836341972","30567568531","1927271909","1910473606","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","469355616","4057197009","427","1246","292","22361603604","22182336131","1397600769","1386396581","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","152851488","3056994333","0","0","0","770772512","761779728","48173282","47611233","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","152794880","3046108782","0","0","0","770563520","762351488","48160218","47646969","0"
